year,country,title,doc,topic
2026,China,Threat anticipation and proactive response: The effect of defensive pessimism strategy on pilots' safety behavior,<title>Threat anticipation and proactive response: The effect of defensive pessimism strategy on pilots' safety behavior</title>,15
2026,France,Predictive validity of cognitive abilities for air traffic controllers selection among proficient scientific candidates,<title>Predictive validity of cognitive abilities for air traffic controllers selection among proficient scientific candidates</title>,-1
2026,United States,Time for a break? Perceptions and impacts of reconstitution among United States Air Force remotely piloted aircraft personnel,<title>Time for a break? Perceptions and impacts of reconstitution among United States Air Force remotely piloted aircraft personnel</title>,181
2026,China,Unraveling the complex relationships between mental health and safety operation behaviors among pilots: a network and latent profile analysis,<title>Unraveling the complex relationships between mental health and safety operation behaviors among pilots: a network and latent profile analysis</title>,16
2025,"Korea, Republic of","Building Sustainable Organizational Citizenship Behavior in Hospitality: Structural Relationships of Rapport, Trust, and Psychological Capital Among Airline Cabin Crew","<title>Building Sustainable Organizational Citizenship Behavior in Hospitality: Structural Relationships of Rapport, Trust, and Psychological Capital Among Airline Cabin Crew</title>",3
2025,China,Evidence-based fitness-to-fly assessment for military aviators with untreated unruptured intracranial aneurysms: A 5-year retrospective at a single center,<title>Evidence-based fitness-to-fly assessment for military aviators with untreated unruptured intracranial aneurysms: A 5-year retrospective at a single center</title>,-1
2025,Sao Tome and Principe - United States,Estimating hypoxia-induced brain dysfunction and cognitive decline through exhaled breath monitoring,<title>Estimating hypoxia-induced brain dysfunction and cognitive decline through exhaled breath monitoring</title>,6
2025,China,Construction of leadership competency model for civil aviation flight cadets: An empirical study from China,<title>Construction of leadership competency model for civil aviation flight cadets: An empirical study from China</title>,-1
2025,United States,Hierarchical Bayesian Modeling for Physiological Data in Small-N Aviation Human Factors Research,<title>Hierarchical Bayesian Modeling for Physiological Data in Small-N Aviation Human Factors Research</title>,-1
2025,,Optimizing Muscle Activation in Cadets Using Electromyography Biofeedback During Anti-G Training,<title>Optimizing Muscle Activation in Cadets Using Electromyography Biofeedback During Anti-G Training</title>,27
2025,,Spatial Disorientation Event During Flight Due to Proposed Reverse-Dip Visual Illusion,<title>Spatial Disorientation Event During Flight Due to Proposed Reverse-Dip Visual Illusion</title>,4
2025,United States,Development and Validation of the Military Readiness Scale in U.S. Naval Aircrew,<title>Development and Validation of the Military Readiness Scale in U.S. Naval Aircrew</title>,75
2025,France - Netherlands,Assessment of individual and dyadic workload of student and instructor pilots in real and simulated flight: An exploratory study,<title>Assessment of individual and dyadic workload of student and instructor pilots in real and simulated flight: An exploratory study</title>,7
2025,United States,Flight-associated cortisol dynamics and subjective assessments of pain and stress in fighter pilots: an exploratory study,<title>Flight-associated cortisol dynamics and subjective assessments of pain and stress in fighter pilots: an exploratory study</title>,205
2025,Italy - Pakistan,The Moderating Role of Resilience in the Relationship Between Occupational Stressors and Psychological Distress Among Aviation Pilots in Pakistan,<title>The Moderating Role of Resilience in the Relationship Between Occupational Stressors and Psychological Distress Among Aviation Pilots in Pakistan</title>,19
2025,,Post-COVID-19 Neurocognitive Screening in Routine Pilot Aeromedical Evaluations,<title>Post-COVID-19 Neurocognitive Screening in Routine Pilot Aeromedical Evaluations</title>,204
2025,,"Medical Reporting Behavior of Military, Commercial, and General Aviation Pilots","<title>Medical Reporting Behavior of Military, Commercial, and General Aviation Pilots</title>",-1
2025,Netherlands - United Kingdom,Quantifying the Impact of Spatial Disorientation on Pilot Mental Workload and Attentional Focus,<title>Quantifying the Impact of Spatial Disorientation on Pilot Mental Workload and Attentional Focus</title>,4
2025,China,Detection and risk factors of psycho-cardiological diseases in civil aviation aircrews; 民航空勤人员双心疾病检出情况及危险因素分析,<title>Detection and risk factors of psycho-cardiological diseases in civil aviation aircrews; 民航空勤人员双心疾病检出情况及危险因素分析</title>,-1
2025,"Korea, Republic of",Non-native English Communication and Anxiety in Military ATC: Insights from Korean Air Traffic Controllers,<title>Non-native English Communication and Anxiety in Military ATC: Insights from Korean Air Traffic Controllers</title>,69
2025,"Korea, Republic of",Effects of Flight Attendants' Mental Health Resulting From Emotion Regulation Among Coworkers on Flight Safety Attitudes: Moderating Effects of Behavioral Activation Systems,<title>Effects of Flight Attendants' Mental Health Resulting From Emotion Regulation Among Coworkers on Flight Safety Attitudes: Moderating Effects of Behavioral Activation Systems</title>,3
2025,Greece,Assessment of Occupational Health and Safety Performance in Air Traffic Control: An Empirical Investigation of Stress and Well-Being,<title>Assessment of Occupational Health and Safety Performance in Air Traffic Control: An Empirical Investigation of Stress and Well-Being</title>,-1
2025,United States,Evaluating the Impact of a Spine Training Program on Air Force Student Fighter Pilots,<title>Evaluating the Impact of a Spine Training Program on Air Force Student Fighter Pilots</title>,-1
2025,,"Cognitive Engagement Profiling of Pilots in High-Speed, High-Threat Scenarios","<title>Cognitive Engagement Profiling of Pilots in High-Speed, High-Threat Scenarios</title>",-1
2025,,Initial Psychometric Validation of a Self-Report Measure of the Symptoms of Mild Hypoxic Hypoxia,<title>Initial Psychometric Validation of a Self-Report Measure of the Symptoms of Mild Hypoxic Hypoxia</title>,6
2025,Australia,A duty to enhance? Genetic engineering for the human Mars settlement,<title>A duty to enhance? Genetic engineering for the human Mars settlement</title>,2
2025,China - Hong Kong - Sweden,Development and validation of a prediction model for the depressive symptom risk in commercial airline pilots,<title>Development and validation of a prediction model for the depressive symptom risk in commercial airline pilots</title>,92
2025,"Korea, Republic of",Development and validation of spatial disorientation scenarios using virtual reality and motion simulator,<title>Development and validation of spatial disorientation scenarios using virtual reality and motion simulator</title>,4
2025,France,Impact of automation level on airline pilots’ flying performance and visual scanning strategies: A full flight simulator study,<title>Impact of automation level on airline pilots’ flying performance and visual scanning strategies: A full flight simulator study</title>,62
2025,"China - India - Malaysia - Saudi Arabia - Taiwan, Province of China",Intelligent traffic management via personalized group consensus based on chimp optimization-guided random vector functional link and quantum theory: A perspective of randomization,<title>Intelligent traffic management via personalized group consensus based on chimp optimization-guided random vector functional link and quantum theory: A perspective of randomization</title>,107
2025,China - Thailand,Understanding the airborne experiences of passengers with depression in long-haul air travels,<title>Understanding the airborne experiences of passengers with depression in long-haul air travels</title>,179
2025,United States,XGate: Explainable Reinforcement Learning for Transparent and Trustworthy API Traffic Management in IoT Sensor Networks,<title>XGate: Explainable Reinforcement Learning for Transparent and Trustworthy API Traffic Management in IoT Sensor Networks</title>,107
2025,Austria - Germany,Assessing the Speed–Accuracy Tradeoff in Psychological Testing Using Experimental Manipulations,<title>Assessing the Speed–Accuracy Tradeoff in Psychological Testing Using Experimental Manipulations</title>,34
2025,United States,After the Accident: Is There a Blame Bias Against the Airline?,<title>After the Accident: Is There a Blame Bias Against the Airline?</title>,-1
2025,China,Comprehensive Evaluation of Remote Tower Controllers’ Situation Awareness Level Based on the Entropy Weight Method (EWM)–TOPSIS–Gray Relational Analysis Model,<title>Comprehensive Evaluation of Remote Tower Controllers’ Situation Awareness Level Based on the Entropy Weight Method (EWM)–TOPSIS–Gray Relational Analysis Model</title>,-1
2025,Australia,Identifying Human Factor Causes of Remotely Piloted Aircraft System Safety Occurrences in Australia,<title>Identifying Human Factor Causes of Remotely Piloted Aircraft System Safety Occurrences in Australia</title>,43
