year,country,title,doc
2026,China,Threat anticipation and proactive response: The effect of defensive pessimism strategy on pilots' safety behavior,"<title>Threat anticipation and proactive response: The effect of defensive pessimism strategy on pilots' safety behavior</title> <abstract>Human error is a significant cause of aviation accidents, and numerous individual psychological factors strongly influence pilots' safety behavior. Therefore, it is crucial to identify factors that may enhance pilots' safety behavior and explore their underlying mechanisms. Based on the Theory of Planned Behavior (TPB), this study examines whether, how, and under what conditions defensive pessimism affects pilots' safety behavior from a cognitive strategy perspective. Using a sample of 308 Chinese commercial airline pilots, we tested a moderated mediation model between defensive pessimism strategy and pilots' safety behaviors. The results indicate that defensive pessimism strategy has a direct positive effect on pilots' safety behavior and that this relationship is partially mediated by safety attitudes. Additionally, safety culture negatively moderates both the positive relationship between defensive pessimism strategy and safety attitudes and the indirect effects of this cognitive strategy on safety behavior through safety attitudes. On a theoretical level, this study first validates the effectiveness of the defensive pessimism strategy within the high-risk context of aviation safety, thereby advancing the understanding of its unique mechanisms. Second, by elucidating how individuals proactively employ specific cognitive strategies to shape behavioral attitudes and subsequently influence actual behavior, this study extends the Theory of Planned Behavior from a cognitive strategy perspective. Furthermore, it explores the boundary condition of safety culture, deepening our understanding of the interaction between organizational environments and individual cognitive strategies. Finally, on a practical level, this research offers valuable insights for aviation safety management, informing practices related to pilot selection, daily mental health support, and the exploratory development of the defensive pessimism strategy into a potential risk management tool. © 2025 The Authors</abstract>"
2026,France,Predictive validity of cognitive abilities for air traffic controllers selection among proficient scientific candidates,"<title>Predictive validity of cognitive abilities for air traffic controllers selection among proficient scientific candidates</title> <abstract>Most air traffic controllers (ATCO) are selected after high school graduation, partly based on cognitive abilities. On the contrary, French ATCO are selected after an intensive scientific post-secondary program without undergoing cognitive assessment. This study examines the potential incremental validity of cognitive predictors in ATCO training for such proficient applicants. Initial and unit training results were available for 414 and 277 ATCO students, respectively. All students took cognitive ability tests, encompassing visuospatial processing, quantitative knowledge, and work samples. We compared a baseline regression model with academic performance as sole predictor to an extended model with the addition of the cognitive abilities composite score. The R2 of the extended model increased significantly, by 0.04 (p < .001) and 0.06 (p < .001), respectively, for predicting practical initial and unit training outcome. In conclusion, even for scientific proficient candidates, cognitive assessment can enhance the success rate of ATCO training. © 2025 Elsevier Ltd.</abstract>"
2026,United States,Time for a break? Perceptions and impacts of reconstitution among United States Air Force remotely piloted aircraft personnel,"<title>Time for a break? Perceptions and impacts of reconstitution among United States Air Force remotely piloted aircraft personnel</title> <abstract>United States Air Force remotely piloted aircraft (RPA) aircrew and support personnel perform critical missions in support of military operations around the world. The high value placed on the work of these individuals has resulted in increased workload and heightened risk of adverse psychological health outcomes. The impact of this can be detrimental to the health of the individual as well as the success of the RPA mission. To address these concerns, a combat-to-reconstitution policy was developed to provide additional downtime and recovery to RPA personnel, and recently piloted in some units within the RPA community. A total of 397 RPA personnel, of which 26% (n = 103) indicated their schedule was either internal or external reconstitution, completed an anonymous occupational health assessment sometime between November 2021 and July 2022. Responses included a mixture of both positive and negative experiences during the implementation of reconstitution, along with recommendations for improvements. Certain reconstitution-related sources of stress (e.g. work overload, lack of resources), were found to increase risk of burnout or psychological distress. Overall, this preliminary study provides a foundational landscape for the scientific and operational understanding of reconstitution as an operational intervention to improve recovery. © This work was authored as part of the Contributor’s official duties as an Employee of the United States Government and is therefore a work of the United States Government. In accordance with 17 U.S.C. 105, no copyright protection is available for such works under U.S. Law.</abstract>"
2026,China,Unraveling the complex relationships between mental health and safety operation behaviors among pilots: a network and latent profile analysis,"<title>Unraveling the complex relationships between mental health and safety operation behaviors among pilots: a network and latent profile analysis</title> <abstract>As the guardians of aviation safety, pilots’ mental health is critical for ensuring flight safety. However, systematic research on the comorbidities of mental symptoms among pilots remains scarce, and the relationship between these symptoms and safety operation behaviors is unclear. This study aims to deepen our understanding of the interrelations among mental symptoms in pilots and to explore how these symptoms are associated with safety operation behaviors. A total of 612 male commercial pilots participated in a cross-sectional survey that assessed nine types of mental symptoms and safety operation behaviors. Descriptive statistics, network analysis, and latent profile analysis were utilized to examine their relationships systematically. The study revealed significant interconnections among mental symptoms in pilots, with obsessive-compulsive symptoms playing a pivotal role in the comorbidity network. Pilots were categorized into three groups based on symptom severity: high-, medium-, and low-level symptom groups. Pilots in the high-level symptom group exhibited significantly poorer safety operation behaviors. Nearly half of the mental symptoms are indirectly linked to safety operation behaviors through comorbidities, and these comorbidities have a direct association with these behaviors. In the low-level symptom group, there was greater integration among safety operation behaviors, whereas the high-level symptom group showed dissociation. In the high-level symptom group, interpersonal communication and cooperation played a key role, while the role of understanding the automated system was weaker, which may be related to compensation mechanisms, automation bias, and blind reliance. This study systematically analyzed the comorbidities of mental symptoms among pilots and their complex relationship with safety operation behaviors. The findings provide practical insights for airline management to promote pilots’ mental health and enhance aviation safety protocols. Additionally, the study contributes to aviation psychology and safety research by offering evidence-based recommendations. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2026.</abstract>"
2025,"Korea, Republic of","Building Sustainable Organizational Citizenship Behavior in Hospitality: Structural Relationships of Rapport, Trust, and Psychological Capital Among Airline Cabin Crew","<title>Building Sustainable Organizational Citizenship Behavior in Hospitality: Structural Relationships of Rapport, Trust, and Psychological Capital Among Airline Cabin Crew</title> <abstract>This study examines the structural relationships among rapport, trust, psychological capital (PsyCap), and organizational citizenship behavior (OCB) in the emotionally demanding work context of airline cabin crews. Grounded in the job demands–resources (JD-R) model and social exchange theory (SET), we propose and test a sequential mediation model in which rapport is positively associated with trust, trust is positively associated with PsyCap, and PsyCap is positively associated with OCB. Based on survey data from 248 South Korean flight attendants, structural equation modeling (SEM) demonstrates that rapport is indirectly associated with OCB through the sequential mediation of trust and PsyCap, rather than displaying a significant direct association. The findings indicate that rapport functions not merely as an immediate behavioral driver but as a relational asset that is linked to the psychological capacities essential for sustainable organizational behavior. This study contributes to the theory by integrating JD-R and SET perspectives to explain how relational and psychological resources are jointly related to OCB. While the primary focus was on mediation, future research should test potential moderation effects, such as how job demands or emotional labor may shape the strength of these pathways—aligning with the JD-R model’s interactive assumptions. Practically, the results suggest that airline organizations and other service industries can promote sustainable human resource management by cultivating trust-based relational capital and strengthening employees’ PsyCap through targeted training, mentoring, and supportive leadership practices. These insights extend beyond aviation to other service sectors characterized by high emotional labor demands, offering a pathway to strengthen human resource sustainability and organizational social sustainability. © 2025 by the authors.</abstract>"
2025,China,Evidence-based fitness-to-fly assessment for military aviators with untreated unruptured intracranial aneurysms: A 5-year retrospective at a single center,"<title>Evidence-based fitness-to-fly assessment for military aviators with untreated unruptured intracranial aneurysms: A 5-year retrospective at a single center</title> <abstract>The increasing detection of untreated unruptured intracranial aneurysms (UIAs) in military aviators poses a challenge for aeromedical clearance. This study aimed to introduce the fitness-to-fly criteria for military aviators with UIAs in our center and try to develop evidence-based aeromedical guidelines. We retrospectively reviewed active-duty military aviators diagnosed as UIAs by digital subtraction angiography (DSA) in a single center between 2019 and 2024. A multidisciplinary team performed comprehensive rupture risk stratification to determine patients for intervention. Afterwards, a dedicated aeromedical review board evaluated in-flight incapacitation risk and flight eligibility in the non-intervention group. Clinical features, aneurysm characteristics (size, location, morphology) and the final aeromedical disposition of these untreated cases were reported and analyzed. Twenty-three active-duty military aviators were diagnosed with UIAs by DSA at our institution over a 5-year period. Seven patients underwent intervention, whereas 16 were placed under conservative surveillance. All conservatively managed cases involved male aviators (mean age: 36 years) with small (< 5 mm), saccular UIAs, primarily in the paraclinoid internal carotid artery (ICA) segments (68.8%). None had hypertension or smoking history. The estimated annual rupture risk was < 0.5% for small paraclinoid aneurysms and nearly 0% for cavernous ICA aneurysms. Therefore, flight clearance was granted with operational restrictions for 11 pilots with small paraclinoid aneurysms (dual-seat or captaincy duties), while 5 with cavernous ICA aneurysms received unrestricted certification. Annual case-by-case inspections, along with MRA surveillance and psychological support, are required. This study represents one of the largest real-world practice of aeromedical certification for untreated UIAs. The annual rupture risk is extremely low (< 0.5%) for small saccular aneurysms located at the medial wall of the paraclinoid segment and nearly negligible for those in the cavernous segment of the ICA. Granting flight qualification to military personnel with such aneurysms is medically appropriate, provided enhanced surveillance protocols are implemented. Our protocol maximizes retention of experienced aircrew while ensuring operational safety. © The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature 2025.</abstract>"
2025,Sao Tome and Principe - United States,Estimating hypoxia-induced brain dysfunction and cognitive decline through exhaled breath monitoring,"<title>Estimating hypoxia-induced brain dysfunction and cognitive decline through exhaled breath monitoring</title> <abstract>Background: Hypoxia remains a concern for aircrew operating high performance aircraft. Sensing and mitigating hypoxia is a line of active research within the US Air Force and US Navy. It is hypothesized that changes in exhaled breath volatile organic compound content could indicate, not only changes in oxygen saturation (SpO<inf>2</inf>), but also brain activity and cognitive function. Methods: On-line exhaled breath monitoring via proton transfer reaction mass spectrometry was used to observe changes in volatile organic compound concentrations during mask-free hypoxic exposures. Additionally, electroencephalography measurements in response to an odd-ball paradigm and cognitive tasks were collected throughout the exposures. Results: The data show hypoxic exposures induced a physiological response including a significant reduction in SpO<inf>2</inf>, a decrease in the electroencephalography waveform peak-to-peak amplitude (p < 0.05), a significant increase in psychomotor vigilance test response time, and an increase in perceived symptomatology. Exhaled breath results indicate 19 volatile organic compound features are significantly different between hypoxia and normoxia (p < 0.05) with 13 showing an increase in exhaled breath compared to background measurements (p < 0.05). Linear mixed modeling with stepwise reduction demonstrates 7 of the features are significantly indicative of changes in SpO<inf>2</inf> with 3 and 4 features indicative of changes in brain wave functions and psychomotor vigilance test response times, respectively. Conclusions: The data establish, for the first time, differences in exhaled breath volatile concentrations that indicate changes in cognition derived from hypoxic insult. © This is a U.S. Government work and not under copyright protection in the US; foreign copyright protection may apply 2025.</abstract>"
2025,China,Construction of leadership competency model for civil aviation flight cadets: An empirical study from China,"<title>Construction of leadership competency model for civil aviation flight cadets: An empirical study from China</title> <abstract>Human factors are often linked to unsafe events in civil aviation transport, with the competency level and decision-making abilities of flight crews playing a significant role. The leadership and teamwork competency of the flight crew in the cockpit directly influences the occurrence of aviation safety incidents. Leadership is a developmental and trainable skill. This study aims to explore the key components of leadership and the competency model for civil aviation flight cadets. Based on classic leadership theories and leadership development theories, the research adopts a qualitative analysis using grounded theory and utilizes Nvivo 11.0 software for data analysis. An initial leadership evaluation index system for flight cadets was developed. Through a survey of 319 civil aviation pilots and using SPSS 26.0 software for data processing, an evaluation index system was established, covering 4 dimensions—core values, leader competency, outstanding thinking, and positive behavior—with 22 indicators. The study also applied AMOS 24.0 software to conduct validation factor analysis and path analysis and construct the BLVT model of leadership development for civil aviation flight cadets. The findings indicate that, within the 4 dimensions of leadership and the BLVT model, core values influence positive behavior through leader competency and outstanding thinking, resulting in appropriate performance by flight cadets. Outstanding thinking directly affects leader competency, thereby driving the leadership development of flight cadets, who form the development of their leadership skills by recognizing their leadership competencies. The results of this study clarify the 4 key elements of leadership composition and development for civil aviation flight cadets, providing valuable insights into leadership training and development. This study significantly contributes to bridging the gap in civil aviation pilot leadership training and offers a clear pathway for enhancing pilot leadership. © The Author(s) 2025.</abstract>"
2025,United States,Hierarchical Bayesian Modeling for Physiological Data in Small-N Aviation Human Factors Research,"<title>Hierarchical Bayesian Modeling for Physiological Data in Small-N Aviation Human Factors Research</title> <abstract>Monitoring pilot cognitive state in real time is becoming increasingly important as automation plays a larger role in aviation. Traditional workload assessments, such as questionnaires or task-based performance metrics, provide useful insights but can be limited in rapidly changing flight environments. Physiological measures, including heart rate, respiration, and electroencephalogram (EEG), offer continuous data streams, yet their variability and complexity present challenges for analysis. This study explores the use of a hierarchical Bayesian framework to quantify patterns from physiological signals recorded during high-fidelity flight simulations. Five certified pilots flew scenarios that varied in automation level and working memory demand while heart rate, respiration rate, and EEG-derived workload estimates were monitored. The model generated individualized and condition-specific estimates, quantified uncertainty, and remained stable with a small participant pool. Heart rate appeared to be the most consistent indicator, followed by EEG-derived workload, while respiration rate was less reliable across conditions. These results suggest that Bayesian inference may provide a promising way to interpret physiological data in aviation settings and could support the development of adaptive automation that responds to pilot workload. The approach emphasizes transparency and efficiency, offering complementary value to existing modeling techniques for aerospace human factors and flight deck applications. © 2025 by the authors.</abstract>"
2025,,Optimizing Muscle Activation in Cadets Using Electromyography Biofeedback During Anti-G Training,"<title>Optimizing Muscle Activation in Cadets Using Electromyography Biofeedback During Anti-G Training</title> <abstract>INTRODUCTION: Effective execution of the anti-G straining maneuver (AGSM) is essential for pilots to maintain consciousness under high gravitational forces (+Gz). This study evaluated whether electromyographic (EMG) biofeedback enhances muscle activation patterns during AGSM training in novice cadets. METHODS: There were 58 Brazilian Air Force cadets (age: 25 ± 1 yr) who performed two AGSM sessions involving sustained submaximal isometric contractions of the gastrocnemius, vastus medialis, and rectus abdominis muscles, synchronized with rhythmic breathing every 3 s. Subjects completed trials under counterbalanced visual EMG feedback conditions (real-time visualization vs. no visualization) and were randomly assigned to verbal feedback conditions (instructor guidance vs. no guidance). EMG signals were recorded at 1500 Hz and normalized to each subject's peak amplitude during the AGSM trials. RESULTS: Muscle-specific responses to feedback were observed. Verbal feedback enhanced gastrocnemius activation but reduced vastus medialis activation. Combined visual and verbal feedback produced the highest activation in the rectus abdominis. Visual feedback alone had minimal effect across all muscles. Despite submaximal instructions, brief peak activations were sufficient for normalization. DISCUSSION: EMG biofeedback facilitated motor learning of AGSM by selectively improving activation in targeted muscles. However, effects varied by muscle group, suggesting the need for tailored instructional strategies. Although task-based normalization offers ecological validity, it may limit comparisons with MVC-based protocols. Incorporating EMG biofeedback may enhance AGSM training, particularly in novice populations or settings without centrifuge access. Massaferri R, Calvo APC, Coutinho ABB, Guimarães TT, Farinatti P. Optimizing muscle activation in cadets using electromyography biofeedback during anti-G training. Aerosp Med Hum Perform. 2025; 96(11):985-992.</abstract>"
