Topic,Count,Name,Representation,Representative_Docs
-1,416,-1_cabin_cabin crew_displays_burnout,"['cabin', 'cabin crew', 'displays', 'burnout', 'imagery', 'behavior', 'controller', 'locus control', 'behavioural', 'environments']","['<title>Coping with stress, control of emotions and biochemical markers as a common protective element in the inflammatory response to stress</title> <excerpt>Aim. Based on a comprehensive approach to the problem of stress, we have decided to evaluate all components of a stress response – immunological (IL-1, IL-2, IL-6, IL-10, CRP, TNF-alpha) and hormonal one (CRH, ACTH), as well as to evaluate the psychological indicators of stress, coping with stress, and controlling emotional reactions as psychological markers that predispose to the most beneficial adaption in relation to stressors affecting flight personnel taking part in peace missions abroad.</excerpt>', ""<title>Designing energy display formats for civil aircraft: Reply to Amelink, Mulder, van Paassen, and Flach</title> <excerpt>In their recent article on total energy-based flight-path displays, Amelink, Mulder, van Paassen, and Flach (2005) quite rightly pointed out that energy issues are covered in descriptions of the piloting task, which tend to be based on the machine's behavior, rather than the system's functions and their relation to the goals to be achieved. Taking a more holistic approach, referred to by Amelink et al as ecological interface design, will lead to greater pilot situation awareness, flight safety, and efficiency.</excerpt>"", '<title>MBTI personality types of korean cabin crew in middle eastern airlines and their associations with cross-cultural adjustment competency, occupational competency, coping competency, mental health and turnover intention</title> <excerpt>The purposes of this study were (1) to identify MBTI (Myers–Briggs Type Indicator) personality profiles of Korean cabin crew in Middle Eastern airlines, (2) to determine whether MBTI personality affects their cross-cultural adjustment competency, occupational competency, and coping competency, and (3) to analyze the impact of these variables on their mental health and turnover intention. Furthermore, we verified (4) the moderating effect of cabin crew’s previous overseas experience on the relationship between cross-cultural adjustment competency and turnover intention.</excerpt>', '<title>Effects of sex and gender on adaptation to space: Behavioral health</title> <excerpt>This article is part of a larger body of work entitled, ""The Impact of Sex and Gender on Adaptation to Space."" It was developed in response to a recommendation from the 2011 National Academy of Sciences Decadal Survey, ""Recapturing a Future for Space Exploration: Life and Physical Sciences for a New Era,"" which emphasized the need to fully understand sex and gender differences. In this article, our workgroup - consisting of expert scientists and clinicians from academia and the private sector - investigated and summarized the current body of published and unpublished human research performed to date related to sex- and gender-based differences in behavioral adaptations to human spaceflight.</excerpt>', '<title>Cognitive and Noncognitive Determinants and Consequences of Complex Skill Acquisition</title> <excerpt>Integration of multiple perspectives on the determinants of individual differences in skill acquisition is provided by examination of a wide array of predictors: ability (spatial, verbal, mathematical, and perceptual speed), personality (neuroticism, extroversion, openness, conscientiousness, and agreeableness), vocational interests (realistic and investigative), self-estimates of ability, self-concept, motivational skills, and task-specific self-efficacy. Ninety-three trainees were studied over the course of 15 hr (across 2 weeks) of skill acquisition practice on a complex, air traffic controller simulation task (Terminal Radar Approach Controller; TRACON; Wesson International; Austin, TX).</excerpt>']"
0,117,0_pilot selection_force pilot_air force pilot_pilot training,"['pilot selection', 'force pilot', 'air force pilot', 'pilot training', 'personality traits', 'pilot candidates', 'predictors', 'naval aviators', 'training success', 'personality factors']","['<title>Predicting Success in Primary Flying School From the Canadian Automated Pilot Selection System: Derivation and Cross-Validation</title> <excerpt>This research derived and cross-validated an equation predicting outcome in Primary Flying School (PFS)öthe initial stage of Canadian Forces (CF) pilot trainingöfrom the Canadian Automated Pilot Selection System (CAPSS), a computer-driven, moving-base flight simulator recording up to 250,000 instrument readings per candidate. For the derivation study, 225 pilot candidates operated CAPSS before entering PFS.</excerpt>', '<title>Personality Trait Comparison of Pararescue Personnel and Elite Athletes</title> <excerpt>INTRODUCTION: Pararescue personnel (PJs) deploy in high-risk environments and perform extraordinary missions under intense conditions, requiring an unusual combination of physical and psychological abilities. The rigorous nature of PJ training and the superior levels of fitness and cognitive functioning to perform challenging physical feats in high-pressure, high-intensity environments have prompted military commanders and embedded health care providers to compare successful performance in the PJ mission with the characteristics required of elite, Olympic-level athletes.</excerpt>', '<title>Selection of Air Force Pilot Candidates: A Case Study on the Predictive Accuracy of Discriminant Analysis, Logistic Regression, and Four Neural Network Types</title> <excerpt>We evaluated the predictive classification accuracy of discriminant analysis, logistic regression and four neural network typologies (multiple layer perceptrons, radial basis networks, probabilistic neural networks, and linear neural networks) on a flight screening program with a pass-fail criterion using several psychometric tests as predictors. A stepwise (for logistic regression and discriminant analysis) and sensitivity (for neural networks) selection procedure identified spatial visualization, eye-hand-foot coordination, and concentration capacity as significant predictors.</excerpt>', '<title>Predicting honest behavior based on Eysenck personality traits and gender: an explainable machine learning study using SHAP analysis</title> <excerpt>Introduction: This study bridges a critical gap in aviation safety research by examining how Eysenck personality traits (Neuroticism, Psychoticism, Extraversion) and gender predict dishonest behavior in high-risk aviation contexts. While prior studies have focused on the Big Five and HEXACO models in ethical decision-making, empirical applications of the Eysenck framework to honesty prediction remain scarce-particularly in aviation, where dishonest acts (eg, underreporting safety incidents) carry severe public safety consequences.</excerpt>', '<title>Improving the Selection of Air Force Pilot Candidates Using Latent Trajectories: An Application of Latent Growth Mixture Modeling</title> <excerpt>Latent growth mixture modeling is a statistical approach that models longitudinal data, grouping individuals who share similar longitudinal data patterns into latent classes. We evaluated the application of this method in a sample of ab initio pilot applicants (N\xa0=\xa0297), using longitudinal data collected from a military flight-screening program (where the applicants flew seven required flights), resulting in a final pass–fail outcome.</excerpt>']"
1,89,1_transfer training_aeronautical decision making_aeronautical decision_aviation training,"['transfer training', 'aeronautical decision making', 'aeronautical decision', 'aviation training', 'flight training', 'training transfer', 'pilot training', 'flight simulators', 'based training', 'ab initio pilot']","['<title>The prediction of judgment in realistic tasks: An investigation of self-insight</title> <excerpt>Two approaches to policy-capturing research - mathematical and verbal - were compared to determine if flight instructors, psychology professors, and college football coaches evaluating ""paper students"" in profile booklets had self-insight into their judgment policies. Contrary to a widely accepted view that people lack self-insight, results suggested that many of the judges, particularly among the flight instructors, demonstrated self-insight; fewer professors and coaches showed self-insight as defined for this study.</excerpt>', ""<title>Personal Computer Aviation Training Devices: Their Effectiveness for Maintaining Instrument Currency</title> <excerpt>This study examined the effectiveness of personal computer aviation training devices (PCATDs) for maintaining the Federal Aviation Administration's instrument-currency requirement. One hundred and six instrument-current pilots received an instrument proficiency check (IPC) and were assigned equally to 3 independent training groups (aircraft, flight training device [FTD], and PC AID) and to a control group who received no training.</excerpt>"", '<title>Evaluation of computer-based situation awareness training for general aviation pilots</title> <excerpt>This article describes the evaluation of 6 different computer-based training modules created to teach skills that underlie the development and maintenance of situation awareness, a competency shown to be critical in pilot decision-making performance. The modules targeted basic skills training for low-time pilots (checklist completion, air traffic control comprehension, psychomotor skills) as well as training on higher order cognitive skills (attention sharing, contingency planning) and intensive preflight planning.</excerpt>', ""<title>Effectiveness of Ab Initio Flight Training Using Either Linked or Unlinked Primary-Axis Flight Controls</title> <excerpt>Twenty ab initio student pilots flew a scries of simulated approaches in either a linked or unlinked primary flight control configuration The results indicated that those pilots who performed the task in the unlinked configuration flew less smoothly than those in the linked condition and showed no evidence of skill acquisition, it is suggested that the physical linkage of the student's and instructor's primary flight controls is an important channel of communication that enhances skill development in trainee pilots. © 1995, Taylor & Francis Group, LLC.</excerpt>"", '<title>Application of a multifactor approach to transfer of training research</title> <excerpt>A multifactor, multicriterion transfer of training experiment involving a computer-generated horizontal tracking task was conducted to establish relationships among training and transfer scores for manual control of a maneuvering vehicle, to determine the response surfaces for training and transfer, and to demonstrate a new transfer research paradigm that makes economically feasible the simultaneous investigation of the effects of a large number of training-equipment and use variables on transfer to multiple-criterion vehicle configurations. There were 80 experimental participants, 48 of whom were trained and tested on individually unique combinations of training and transfer conditions.</excerpt>']"
2,82,2_workload_mental workload_cognitive workload_workload assessment,"['workload', 'mental workload', 'cognitive workload', 'workload assessment', 'pilot workload', 'workload flight', 'subjective workload', 'task load index', 'nasa task load', 'rate variability hrv']","['<title>Computer modeling of operator mental workload and situational awareness in simulated air-to-ground combat: An assessment of predictive validity</title> <excerpt>The predictive validity of computer modeling of operator mental workload and situational awareness during a simulated air-to-ground combat mission was assessed. In Phase 1 of the study, 12 participants completed a series of simulated flights and provided Subjective Workload Assessment Technique (SWAT) ratings of workload and Situational Awareness Rating Technique (SART) ratings of situational awareness.</excerpt>', '<title>Comparison between artificial neural network and multilinear regression models in an evaluation of cognitive workload in a flight simulator</title> <excerpt>In this study, the performances of artificial neural network (ANN) analysis and multilinear regression (MLR) model-based estimation of heart rate were compared in an evaluation of individual cognitive workload. The data comprised electrocardiography (ECG) measurements and an evaluation of cognitive load that induces psychophysiological stress (PPS), collected from 14 interceptor fighter pilots during complex simulated F/A-18 Hornet air battles.</excerpt>', '<title>Fuzzy-TLX: Using fuzzy integrals for evaluating human mental workload with NASA-Task Load indeX in laboratory and field studies</title> <excerpt>The aim of this study was to assess mental workload in which various load sources must be integrated to derive reliable workload estimates. We report a new algorithm for computing weights from qualitative fuzzy integrals and apply it to the National Aeronautics and Space Administration -Task Load indeX (NASA-TLX) subscales in order to replace the standard pair-wise weighting technique (PWT).</excerpt>', '<title>Some Measurement and Methodological Considerations in the Application of Subjective Workload Measurement Techniques</title> <excerpt>Previous research with the NASA Task Load Index (TLX) and the Subjective Workload Assessment Technique (SWAT) has demonstrated their sensitivity to variations in workload under flight and other complex work conditions but has not addressed some important measurement and methodological issues regarding their application. This article reviews data that address several such issues including the effects of delayed workload ratings, the effects of previous workload levels on ratings, and procedures used to combine subscale ratings into one overall estimate of subjective workload.</excerpt>', ""<title>Subjective stress assessment: a new, simple method to determine pilot workload</title> <excerpt>Charged with the preparation of an expert opinion concerning psychophysical workload on pilots, the Aviation Psychology Branch of the GAF/IAM studied the 'Subjective Stress Assessment' in which 217 Army, Air Force and Navy pilots filled in a standardized questionnaire. This questionnaire included 170 items to force the pilots into rating their on- and off-duty life; the answers of these people (117 jet, 41 multiple-prop, 14 single-engine, and 45 helicopter pilots) were evaluated quantitatively and qualitatively It may be said - with all reservations towards subjectivity of pilots' opinions - that the pilots' image certainly requires some corrections, in particular as it relates to the ideal and material assessment of the activities of the separate groups of jet, helicopter, and prop pilots.</excerpt>""]"
3,55,3_aviation psychology_psychology program_aviation psychology program_army air forces,"['aviation psychology', 'psychology program', 'aviation psychology program', 'army air forces', 'air forces', 'psychology program army', 'program army air', 'aaf aviation psychology', 'aaf aviation', 'activities psychological']","[""<title>The shape of aviation psychology II: Inspiration and continuation</title> <excerpt>The present study follows that undertaken by O'Hare and Lawrence (2000) that reviewed 104 articles published in The International Journal of Aviation Psychology (IJAP) for the period from 1991 to 1995 (inclusive). Utilizing the same methodology, continuity and change were traced in the 112 articles published during 1996 to 2000 (inclusive) on the dimensions examined in the inaugural review.</excerpt>"", '<title>World War II and other historical influences on the formation of the Ergonomics Research Society</title> <excerpt>Little has been written about wartime ergonomics and the role this played in prompting the need for a society dedicated to ergonomics within the UK, namely the formation of the Ergonomics Research Society (ERS) in early 1950. This article aims to fill this gap in our understanding of the history of ergonomics in the UK and provide further details of the types of research undertaken by wartime research groups and committees such as the Institute of Aviation Medicine, Medical Research Council Applied Psychology Unit and the Flying Personnel Research Committee.</excerpt>', '<title>History, organization and research activities, Psychological Research Project (Navigator), Army Air Forces</title> <excerpt>The ninth in a series of reports describing the Aviation Psychology Program of the Army Air Forces, this article covers the work of the application of psychological and statistical techniques to research in navigation. It deals with the following points: (1) objective measures of skill in navigation; (2) research in training; (3) research on the selection of instructors; and (4) work in the Navigation Schools.</excerpt>', ""<title>Some lasting consequences of US Psychology Programs in World Wars I and II</title> <excerpt>Applied research in psychology not only has contributed directly to societal advances but often has fostered basic research as well. Prominent examples are die programs directed by Yerkes in World War I to develop the Army Alpha test and several programs in World War II, including The American Soldier diat assessed soldiers' attitudes during the war; a program for selecting agents for the Office of Strategic Services; and the Aviation Psychology Program to select and classify applicants for flight training in the Army Air Forces.</excerpt>"", '<title>Psychological activities in the Training Command, Army Air Forces</title> <excerpt>The development of the Aviation Psychology Program in the AAF Training Command since an earlier report in 1943 (see 18: 1497) is treated, consisting largely of a report of the activities of the Psychological Section, Medical Division, Headquarters, AAF Training Command. The report is made under the following headings: mission of the section; organization and personnel; supervision of classification testing and processing; maintenance of basic data; development and validation of devices for predicting aircrew success; application of the classification test battery to other groups; training research problems; special research studies; publications; and prospectus.</excerpt>']"
4,48,4_spaceflight_astronauts_duration space_space missions,"['spaceflight', 'astronauts', 'duration space', 'space missions', 'long duration space', 'space flight', 'suborbital spaceflight', 'prolonged spaceflight', 'spaceflight introduction', 'space habitat']","['<title>Operational psychology countermeasures during the Lunar-Mars Life Support Test Project.</title> <excerpt>The Crew and Thermal Systems Division at the NASA Johnson Space Center conducted a series of human-rated tests, termed the Lunar-Mars Life Support Test Project (LMLSTP), designed to advance technology in closed life support systems. As the duration of these tests lengthened, the psychological factors associated with placing humans in these environments became increasingly salient to successful mission completion.</excerpt>', ""<title>Changes in stress hormones and metabolism during a 105-day simulated Mars mission</title> <excerpt>Background: The Mars-105 project was aimed at simulating crew ' s activities, workload, and communication during a mission to Mars, evaluating the homeostatic adaptations to prolonged confinement and cohabitation. Methods: Fasting plasma glucose (FPG) and insulin, C-peptide, leptin, cortisol, and NGF and BDNF plasma levels were monitored in six healthy nonsmoking male subjects taking part in a 105-d Mars mission simulation.</excerpt>"", ""<title>Some psychological and engineering aspects of the extravehicular activity of astronauts.</title> <excerpt>One of the main in-flight problems being fulfilled by astronauts is the preparation for and realization of egress into open space for the purpose of different kinds of extravehicular activity, such as, the performance of scientific experiments, repairing and dismantling operations etc. The astronaut's activity outside the space vehicle is the most difficult item of the space flight programme, which is complicated by a number of space factors affecting a man, viz dynamic weightlessness, work in a space suit under conditions of excessive pressure, difficulties of space orientation etc.</excerpt>"", '<title>Human performance during spaceflight.</title> <excerpt>The paper focuses on three different questions: (1) What attributes cause space to be an extreme environment for humans? (2) What do we know about mental performance during spaceflight? (3) What kinds of psychological countermeasures are currently applied and/or conceivable for prolonged spaceflight which might help maintain mental efficiency and stabilize the emotional state of astronauts? Topics discussed include stressors that originate in the space environment, stressors related to the space habitat and its life-support system, stressors related to the mission specific workload of astronauts, stressors that arise from the psychosocial situation in a space habitat, manual performance during spaceflight, and psychological countermeasures for prolonged spaceflight..</excerpt>', '<title>Psychological and behavioral health issues of long-duration space missions.</title> <excerpt>It will be the responsibility of the long-duration space flight crew to take the actions necessary to maintain their health and well-being and to cope with medical emergencies without direct assistance from support personnel, including maintaining mental health and managing physiological and psychological changes that may impair decision making and performance. The Behavior and Performance Integrated Product Team at Johnson Space Center, working within the Space Medicine, Monitoring, and Countermeasures Program, has identified critical questions pertaining to long-duration space crew behavioral health, psychological adaptation, human factors and habitability, and sleep and circadian rhythms.</excerpt>']"
5,42,5_traffic controllers_air traffic controllers_stress air traffic_atc,"['traffic controllers', 'air traffic controllers', 'stress air traffic', 'atc', 'traffic controllers atcs', 'controllers atcs', 'air traffic control', 'italian air traffic', 'stress burnout', 'fatigue air traffic']","['<title>Psychophysical conditions of air traffic controllers evaluated by the standard shiftwork index</title> <excerpt>In the ambit of a large epidemiological survey on the Italian population of air traffic controllers, an evaluation of their health conditions was carried out using the Standard Shiftwork Index (SSI). The study took into consideration 572 male air traffic controllers, aged between 23 and 59 years, of whom 301 were engaged in three large Regional Centres, 189 in thirteen Airport Towers and 82.</excerpt>', '<title>A Quasi-Experimental One Group Pre-Post Test Design in Air Traffic Controller in Indonesia: Progressive Muscle Relaxation</title> <excerpt>Objectives: The effectiveness of progressive muscle relaxation (PMR) in assessing the general health of air traffic controllers (ATC) is still insufficient, specifically when examining the psychological conditions of workers who use questionnaire instruments. Therefore, this research aimed to evaluate the use of PMR program in ATC by developing a model using biomarkers (saliva) tested on the cocorometer stress diagnostic tool and validity, including observing related determinants in the work environment.</excerpt>', '<title>Research on the influence of bad working state on air traffic control effect based on multi-independent sample Kruskal-Wallis test</title> <excerpt>This study examines the influence of bad working states on the control effect of air traffic controllers by establishing a scoring standard for control performance assessment with eight assessment items, such as the standard radiotelephony communications, and 25 specific assessment contents, such as the completeness of control instructions. Combined with equipment for tower control simulations, this standard assesses and counts the scores of controllers in different states, namely, sober, fatigue, stress, and fatigue & stress.</excerpt>', '<title>Effects of an alternating work shift on air traffic controllers and the relationship with excessive daytime sleepiness and stress; Efeitos do turno de trabalho alternado em controladores de tráfego aéreo e relação com sonolência diurna excessiva e estresse</title> <excerpt>Objective: To evaluate symptoms of stress and excessive daytime sleepiness (EDS) in air traffic control (ATC) officers in Brazil. Methods: Fifty-two ATC officers participated, based at three air traffic control units, identified as A, B and C.</excerpt>', '<title>The Prospective impact of psychosocial variables on rates of illness and injury in professional employees</title> <excerpt>From a prospective study of health changes in air traffic controllers, it was determined that high scores on self-report measures of work-related life change distress, other life changes outside the worksetting, the type A behavior pattern, and dissatisfaction with management were positively related to future rates of injuries and physician-diagnosed acute illness episodes. Depending on the risk factor involved, high scorers on these psychosocial risk predictors incurred from 80% to 252% more future accidental injuries and from 38% to 69% wore future total morbidity over a 27-month follow-up period than the men in the low scoring groups.</excerpt>']"
6,41,6_aircraft accidents_aircraft mishaps_pilots safety behavior_aircraft accident,"['aircraft accidents', 'aircraft mishaps', 'pilots safety behavior', 'aircraft accident', 'pilots safety', 'undergraduate pilot student', 'anticipated negative emotions', 'naval aircraft mishaps', 'aircraft accidents emotional', 'accidents emotional']","['<title>Counseling of emotional blocking in an aviator</title> <excerpt>This is a case report of counseling which revealed the cause of emotional blocking of a failing pilot trainee and enabled him to cope with the repressed and displaced father-hatred. Although ""washed out"" soon after counseling started, the boy has adjusted as an aviation machinist\'s mate and is now more likely to succeed as a pilot when he gets another chance.</excerpt>', '<title>The aggressive ward visitor: a critical incident analysis.</title> <excerpt>Since its conception by the aviation psychologist Flanagan the critical incident technique has been used in nursing studies to investigate many aspects of nursing practice. While its use as a nursing research tool and a classroom teaching aid have been discussed, little has been written on the use of the technique for individual reflection for those doing post-registration courses.</excerpt>', '<title>Psychological safety in aviation new product development teams: Case study of 737 max airplane</title> <excerpt>The goal of current study is to discern the antecedents of two airplane accidents involving the Boeing MAX 737. The theory of normal accidents serves as a lens to comprehend the hazard stemming from MAX design with dissonance between two critical systems: engine propulsion and flight control.</excerpt>', ""<title>Dare to Fly? Analyzing psychological reactions and travel attitudes of Chinese social media users post-aviation accidents through text mining</title> <excerpt>Background: Commercial air travel is essential to modern society, but aviation accidents can have profound psychological impacts. The public's emotional responses and attitudes toward air travel are shaped by factors such as the severity of the incident and its social repercussions.</excerpt>"", '<title>Community psychological effects following a non-fatal aircraft accident</title> <excerpt>Following a non-fatal military aircraft accident, two of the authors interviewed the crewmen involved in the accident, their spouses, fellow squadron members and their spouses, and individuals from the fire crew and control tower on duty during the accident. A total of 37 respondents completed questionnaires which reported the presence of intrusive, avoidant, depressive/anxious, and post-traumatic stress symptoms.</excerpt>']"
7,40,7_automation_automation bias_flight deck automation_deck automation,"['automation', 'automation bias', 'flight deck automation', 'deck automation', 'cockpit automation', 'flight deck', 'flight deck information', 'automation surprises', 'automation interaction', 'level automation']","['<title>Humans and intelligent vehicles: The hope, the help, and the harm</title> <excerpt>Intelligent vehicles offer hope for a world in which crashes are rare, congestion is reduced, carbon emissions are decreased, and mobility is extended to a wider population. As long as humans are in the loop, over a half century of research in human factors suggests that this hope is unlikely to become a reality unless careful attention is paid to human behavior and, conversely, the potential for harm is real if little attention is given to said behavior.</excerpt>', ""<title>Using System-Wide Trust Theory to Reveal the Contagion Effects of Automation False Alarms and Misses on Compliance and Reliance in a Simulated Aviation Task</title> <excerpt>System-wide trust theory (Keller & Rice, 2010) suggests that automated aids associated with multiple independent gauges tend to be treated as one system. Meyer's (2001, 2004) compliance-reliance model indicates that false-alarm-prone and miss-prone automated aids affect operator behavior differently.</excerpt>"", ""<title>The retention of manual flying skills in the automated cockpit</title> <excerpt>Objective: The aim of this study was to understand how the prolonged use of cockpit automation is affecting pilots' manual flying skills.Background: There is an ongoing concern about a potential deterioration of manual flying skills among pilots who assume a supervisory role while cockpit automation systems carry out tasks that were once performed by human pilots.Method: We asked 16 airline pilots to fly routine and nonroutine flight scenarios in a Boeing 747-400 simulator while we systematically varied the level of automation that they used, graded their performance, and probed them about what they were thinking about as they flew.Results: We found pilots' instrument scanning and manual control skills to be mostly intact, even when pilots reported that they were infrequently practiced. However, when pilots were asked to manually perform the cognitive tasks needed for manual flight (eg, tracking the aircraft's position without the use of a map display, deciding which navigational steps come next, recognizing instrument system failures), we observed more frequent and significant problems.</excerpt>"", '<title>Automation bias and errors: Are crews better than individuals?</title> <excerpt>The availability of automated decision aids can sometimes feed into the general human tendency to travel the road of least cognitive effort. Is this tendency toward ""automation bias"" (the use of automation as a heuristic replacement for vigilant information seeking and processing) ameliorated when more than one decision maker is monitoring system events? This study examined automation bias in two-person crews versus solo performers under varying instruction conditions.</excerpt>', '<title>Anthropomorphic AI: Sociopathic AI Features as Predictors of Career Opportunities and Threats Perceived by Pilots in Commercial Aviation</title> <excerpt>Objective: The study aims to investigate how anthropomorphic, particularly sociopathic, features ascribed to AI affect commercial pilots’ perceptions of career threats, opportunities, and performance benefits of AI integration in the cockpit. Background: Although technology has long been an irreplaceable, valuable ally for airline pilots, artificial intelligence (AI) differs significantly from previously used technologies and pilots perceive AI not only as a tool but as an agent with human-like attributes.</excerpt>']"
8,34,8_circadian_circadian rhythms_time zone_jet lag,"['circadian', 'circadian rhythms', 'time zone', 'jet lag', 'time zone changes', 'time zones', 'long haul cabin', 'transmeridian flights', 'rapid time zone', 'time cues']","['<title>Predicting jet lag in long-haul cabin crew: The role of illness cognitions and behaviour</title> <excerpt>Objective: Established risk factors for jet lag are mostly physiological including circadian preference, age, gender, the number of flight zones crossed and to some extent direction of travel. Some research has also highlighted a role for psychosocial factors including sleep, diet and ‘circadian’ health behaviours and illness cognitions although this remains relatively untested.</excerpt>', ""<title>Circadian adaptation of airline pilots during extended duration operations between the USA and Asia</title> <excerpt>This study tracked circadian adaptation among airline pilots before, during, and after trips where they flew from Seattle (SEA) or Los Angeles (LAX) to Asia (7-9 time zones westward), spent 7-12d in Asia, and then flew back to the USA. In Asia, pilots' exposures to local time cues and sleep opportunities were constrained by duty (short-haul flights crossing 1 time zone/24h).</excerpt>"", '<title>Eastward long distance flights, sleep and wake patterns in air crews in connection with a two-day layover</title> <excerpt>The present study describes the spontaneous sleep/wake pattern in connection with an eastward (Stockholm to Tokyo, +8 h) transmeridian flight and short (51 h) layovers. To describe all sleep episodes and the recovery process across 4 days, and to relate adjustment to individual differences, 49 Scandinavian Airlines System (SAS) air crew were monitored for 9 days with activity monitors and sleep/wake diary before-during-after flight.</excerpt>', '<title>Individual differences in phase shifts of the human circadian system and performance deficit.</title> <excerpt>At periodic intervals throughout the biological day, assessments were made for a week prior to intercontinental flight yielding a reference of biological time set to the environment of origin, for two weeks at the temporally displaced environment of destination, and for a week following return to the environment of origin. Assessments made included rectal temperature, heart rate, respiratory rate, palmar evaporative water loss, urinalysis, reaction time, decision time, critical flicker fusion, subjective fatigue and well-being, and intellectual facility.</excerpt>', ""<title>Circadian arrhythmia: Shiftwork, travel and health</title> <excerpt>There are many reasons why employees' working hours may come into conflict with the inherent (circadian) rhythms of their bodies. Vital services such as police, ambulance, hospitals, electricity must be maintained 24 hours a day; expensive equipment is more profitable if used continuously; machinery such as furnaces may be damaged if shut down.Work patterns which conflict with our circadian rhythms may produce fatigue, a tendency to make errors, accident-proneness, 'jet-lag' and perhaps ill health.Those most at risk are shiftworkers and aircrew: whilst the latter must cope with changing shift patterns and time-zone changes, the former are required to adapt to changes in work/sleep patterns against an environmental background disruptive to such an adaptation.More difficulties arise when we consider those with chronic health problems since employees on long-term medication may not be able to reconcile an unvarying drug regimen to an ever-changing work pattern.</excerpt>""]"
