year,country,title,doc
2026,China,Threat anticipation and proactive response: The effect of defensive pessimism strategy on pilots' safety behavior,"<title>Threat anticipation and proactive response: The effect of defensive pessimism strategy on pilots' safety behavior</title> <excerpt>Human error is a significant cause of aviation accidents, and numerous individual psychological factors strongly influence pilots' safety behavior. Therefore, it is crucial to identify factors that may enhance pilots' safety behavior and explore their underlying mechanisms.</excerpt>"
2026,France,Predictive validity of cognitive abilities for air traffic controllers selection among proficient scientific candidates,"<title>Predictive validity of cognitive abilities for air traffic controllers selection among proficient scientific candidates</title> <excerpt>Most air traffic controllers (ATCO) are selected after high school graduation, partly based on cognitive abilities. On the contrary, French ATCO are selected after an intensive scientific post-secondary program without undergoing cognitive assessment.</excerpt>"
2026,United States,Time for a break? Perceptions and impacts of reconstitution among United States Air Force remotely piloted aircraft personnel,<title>Time for a break? Perceptions and impacts of reconstitution among United States Air Force remotely piloted aircraft personnel</title> <excerpt>United States Air Force remotely piloted aircraft (RPA) aircrew and support personnel perform critical missions in support of military operations around the world. The high value placed on the work of these individuals has resulted in increased workload and heightened risk of adverse psychological health outcomes.</excerpt>
2026,China,Unraveling the complex relationships between mental health and safety operation behaviors among pilots: a network and latent profile analysis,"<title>Unraveling the complex relationships between mental health and safety operation behaviors among pilots: a network and latent profile analysis</title> <excerpt>As the guardians of aviation safety, pilots’ mental health is critical for ensuring flight safety. However, systematic research on the comorbidities of mental symptoms among pilots remains scarce, and the relationship between these symptoms and safety operation behaviors is unclear.</excerpt>"
2025,"Korea, Republic of","Building Sustainable Organizational Citizenship Behavior in Hospitality: Structural Relationships of Rapport, Trust, and Psychological Capital Among Airline Cabin Crew","<title>Building Sustainable Organizational Citizenship Behavior in Hospitality: Structural Relationships of Rapport, Trust, and Psychological Capital Among Airline Cabin Crew</title> <excerpt>This study examines the structural relationships among rapport, trust, psychological capital (PsyCap), and organizational citizenship behavior (OCB) in the emotionally demanding work context of airline cabin crews. Grounded in the job demands–resources (JD-R) model and social exchange theory (SET), we propose and test a sequential mediation model in which rapport is positively associated with trust, trust is positively associated with PsyCap, and PsyCap is positively associated with OCB.</excerpt>"
2025,China,Evidence-based fitness-to-fly assessment for military aviators with untreated unruptured intracranial aneurysms: A 5-year retrospective at a single center,<title>Evidence-based fitness-to-fly assessment for military aviators with untreated unruptured intracranial aneurysms: A 5-year retrospective at a single center</title> <excerpt>The increasing detection of untreated unruptured intracranial aneurysms (UIAs) in military aviators poses a challenge for aeromedical clearance. This study aimed to introduce the fitness-to-fly criteria for military aviators with UIAs in our center and try to develop evidence-based aeromedical guidelines.</excerpt>
2025,Sao Tome and Principe - United States,Estimating hypoxia-induced brain dysfunction and cognitive decline through exhaled breath monitoring,<title>Estimating hypoxia-induced brain dysfunction and cognitive decline through exhaled breath monitoring</title> <excerpt>Background: Hypoxia remains a concern for aircrew operating high performance aircraft. Sensing and mitigating hypoxia is a line of active research within the US Air Force and US Navy.</excerpt>
2025,China,Construction of leadership competency model for civil aviation flight cadets: An empirical study from China,"<title>Construction of leadership competency model for civil aviation flight cadets: An empirical study from China</title> <excerpt>Human factors are often linked to unsafe events in civil aviation transport, with the competency level and decision-making abilities of flight crews playing a significant role. The leadership and teamwork competency of the flight crew in the cockpit directly influences the occurrence of aviation safety incidents.</excerpt>"
2025,United States,Hierarchical Bayesian Modeling for Physiological Data in Small-N Aviation Human Factors Research,"<title>Hierarchical Bayesian Modeling for Physiological Data in Small-N Aviation Human Factors Research</title> <excerpt>Monitoring pilot cognitive state in real time is becoming increasingly important as automation plays a larger role in aviation. Traditional workload assessments, such as questionnaires or task-based performance metrics, provide useful insights but can be limited in rapidly changing flight environments.</excerpt>"
2025,,Optimizing Muscle Activation in Cadets Using Electromyography Biofeedback During Anti-G Training,<title>Optimizing Muscle Activation in Cadets Using Electromyography Biofeedback During Anti-G Training</title> <excerpt>INTRODUCTION: Effective execution of the anti-G straining maneuver (AGSM) is essential for pilots to maintain consciousness under high gravitational forces (+Gz). This study evaluated whether electromyographic (EMG) biofeedback enhances muscle activation patterns during AGSM training in novice cadets.</excerpt>
2025,,Spatial Disorientation Event During Flight Due to Proposed Reverse-Dip Visual Illusion,"<title>Spatial Disorientation Event During Flight Due to Proposed Reverse-Dip Visual Illusion</title> <excerpt>BACKGROUND: Spatial disorientation is a leading nontechnical cause of fatal military aviation accidents, triggered by insufficient or misleading cues mainly from the visual and vestibular systems. Spatial disorientation accounts for 20-38% of fatal military aviation accidents, but case reports describing specific illusions during actual flight are rare.</excerpt>"
