year,title,doc
2026,Business travel stress and the moderating effect of corporate aircraft utilization on employee Well-Being: Business aviation from a stakeholder perspective,<title>Business travel stress and the moderating effect of corporate aircraft utilization on employee Well-Being: Business aviation from a stakeholder perspective</title>
2026,Research on the relationship between work-family conflict and burnout among civil aviation pilots after the COVID-19 pandemic,<title>Research on the relationship between work-family conflict and burnout among civil aviation pilots after the COVID-19 pandemic</title>
2026,Research on optimization of exhaust structure and exhaust noise reduction for an aviation piston two-stroke engine,<title>Research on optimization of exhaust structure and exhaust noise reduction for an aviation piston two-stroke engine</title>
2026,Heat of the Moment: Exploring the Influence of Stress and Workload on Facial Temperature Dynamics,<title>Heat of the Moment: Exploring the Influence of Stress and Workload on Facial Temperature Dynamics</title>
2026,Impact of Experience on Cognitive Load and Physiological Responses in Aviation Pilots,<title>Impact of Experience on Cognitive Load and Physiological Responses in Aviation Pilots</title>
2026,Investigating Transfer of Input Device Practice on Psychomotor Performance in an Aviation Selection Test,<title>Investigating Transfer of Input Device Practice on Psychomotor Performance in an Aviation Selection Test</title>
2026,Measuring cognitive load by a score-based causal network model with multichannel physiological signals,<title>Measuring cognitive load by a score-based causal network model with multichannel physiological signals</title>
2026,Mental Health in the Association of Working Environment Stress and Work Performance among Aviation Crew Members: A Nationwide Cross-sectional Study,<title>Mental Health in the Association of Working Environment Stress and Work Performance among Aviation Crew Members: A Nationwide Cross-sectional Study</title>
2026,Assessing pilot cognitive overload risk with a random forest framework: A non-contact approach based on a novel cardiopulmonary feature,<title>Assessing pilot cognitive overload risk with a random forest framework: A non-contact approach based on a novel cardiopulmonary feature</title>
2026,New frontiers in comfort research: Integrating human needs and design in future mobility,<title>New frontiers in comfort research: Integrating human needs and design in future mobility</title>
2026,Unraveling the complex relationships between mental health and safety operation behaviors among pilots: a network and latent profile analysis,<title>Unraveling the complex relationships between mental health and safety operation behaviors among pilots: a network and latent profile analysis</title>
2026,The impact of social media usage frequency on air travel behavior: an empirical analysis from China,<title>The impact of social media usage frequency on air travel behavior: an empirical analysis from China</title>
2026,Predictive validity of cognitive abilities for air traffic controllers selection among proficient scientific candidates,<title>Predictive validity of cognitive abilities for air traffic controllers selection among proficient scientific candidates</title>
2026,Fatigue risk management in healthcare: A scoping literature review,<title>Fatigue risk management in healthcare: A scoping literature review</title>
2026,Threat anticipation and proactive response: The effect of defensive pessimism strategy on pilots' safety behavior,<title>Threat anticipation and proactive response: The effect of defensive pessimism strategy on pilots' safety behavior</title>
2026,Flying high or saying goodbye? passenger incivility and flight attendants’ turnover intention: A serial mediation model of surface acting and emotional exhaustion,<title>Flying high or saying goodbye? passenger incivility and flight attendants’ turnover intention: A serial mediation model of surface acting and emotional exhaustion</title>
2026,"Leadership, safety climate, and neuroticism: Integrating organizational and individual factors into the prediction of air technicians’ safety behaviors","<title>Leadership, safety climate, and neuroticism: Integrating organizational and individual factors into the prediction of air technicians’ safety behaviors</title>"
