year,title,doc,topic
2026,Research on the relationship between work-family conflict and burnout among civil aviation pilots after the COVID-19 pandemic,"<title>Research on the relationship between work-family conflict and burnout among civil aviation pilots after the COVID-19 pandemic</title> <excerpt>To examine the impact of work-family conflict on occupational burnout among pilots following the COVID-19 pandemic, this study employed the Maslach Burnout Inventory-General Survey and the Zhao Xinyuan Bi-directional Scale of Work-Family Conflict as research instruments. The data were analyzed using correlation analysis and Structural Equation Modeling (SEM) to explore the relationship between work-family conflict and burnout. The results indicate a significant correlation between work-family conflict and burnout, as well as the three dimensions of burnout.</excerpt>",3
2026,The impact of social media usage frequency on air travel behavior: an empirical analysis from China,"<title>The impact of social media usage frequency on air travel behavior: an empirical analysis from China</title> <excerpt>This study examines how the frequency of social media usage influences the air travel behavior of Chinese residents by integrating the Theory of Planned Behavior (TPB) and Media System Dependency (MSD) theory. Utilizing 2022 CFPS data, we have applied Logit regression, instrumental variable analysis, mediation analysis, marginal effect analysis, and Blinder-Oaxaca decomposition. Key findings include: (1) Frequent social media usage significantly increases the likelihood of air travel, especially among individuals with poorer health; (2) Online information dependency has a positive mediating effect, whereas mobile device dependency has a negative one; (3) The negative impact of income satisfaction arises from interactions within intra-group characteristics.</excerpt>",-1
2026,Heat of the Moment: Exploring the Influence of Stress and Workload on Facial Temperature Dynamics,"<title>Heat of the Moment: Exploring the Influence of Stress and Workload on Facial Temperature Dynamics</title> <excerpt>In high-stress aviation environments, maintaining optimal pilot performance is critical for flight safety. This study investigates the relationship between cognitive workload, stress, and facial thermal responses during simulated Airbus A320 takeoff procedures. Utilizing a multimodal approach, facial thermography, heart rate monitoring, and EEG-derived workload measures were recorded from ten participants—five with and five without prior simulation experience—while they navigated 12 distinct flight scenarios comprising both standard and engine failure conditions.</excerpt>",0
2026,Impact of Experience on Cognitive Load and Physiological Responses in Aviation Pilots,"<title>Impact of Experience on Cognitive Load and Physiological Responses in Aviation Pilots</title> <excerpt>This study explores the impact of aviation experience on cognitive and physiological responses during simulated flight scenarios, focusing on heart rate, cognitive workload, and facial temperature. This research builds on previous studies showing how experience helps manage stress and cognitive demands in aviation. We did two experiments at different times divided into two experience groups: Experts, consisting of licensed pilots and pilot engineers, and Novices, including individuals with and without simulation experience.</excerpt>",0
2026,Investigating Transfer of Input Device Practice on Psychomotor Performance in an Aviation Selection Test,"<title>Investigating Transfer of Input Device Practice on Psychomotor Performance in an Aviation Selection Test</title> <excerpt>Objective: We explored transfer of learning from brief practice with different input devices in the Navy’s Performance Based Measures Battery (PBM), a psychomotor subset of the Aviation Selection Test Battery (ASTB). Background: The PBM is a set of computerized tests used as a part of the ASTB to select aviators in the U.S. military.</excerpt>",-1
2026,Measuring cognitive load by a score-based causal network model with multichannel physiological signals,"<title>Measuring cognitive load by a score-based causal network model with multichannel physiological signals</title> <excerpt>Cognitive load significantly affects performance in safety-sensitive fields like aviation, where excessive cognitive demands are linked to increased operational errors and heightened risks. However, cognitive load measurement faces the challenge of neglecting spatio-temporal and causal dependencies in multi-channel physiological signals. We present a score-based causal representation model that captures causal structural diversity and spatio-temporal dependencies within single channels and inter-dependencies among multiple channels.</excerpt>",0
2026,Mental Health in the Association of Working Environment Stress and Work Performance among Aviation Crew Members: A Nationwide Cross-sectional Study,"<title>Mental Health in the Association of Working Environment Stress and Work Performance among Aviation Crew Members: A Nationwide Cross-sectional Study</title> <excerpt>Introduction: Aviation crew members often face high work stress, which is under-researched. This study investigates the association between working environment stress and work performance among aviation crew members while examining the mediating role of mental health. Methods: A total of 19,137 aviation crew members (61.6% male), with a mean age of 32.2 ± 6.2 years, were included in the analysis.</excerpt>",3
2026,Assessing pilot cognitive overload risk with a random forest framework: A non-contact approach based on a novel cardiopulmonary feature,"<title>Assessing pilot cognitive overload risk with a random forest framework: A non-contact approach based on a novel cardiopulmonary feature</title> <excerpt>Accurate, real-time assessment of operator mental workload(MWL) is critical for ensuring safety and efficiency in complex systems like aviation. However, existing methods are limited by the latency of subjective scales and the intrusiveness of contact-based physiological sensors. In order to address the challenge of real-time, interference-free monitoring of operator cognitive states in complex systems such as flight, this study proposes and validates a new non-contact psychological load assessment method based on cardiopulmonary coupling joint entropy.</excerpt>",0
2026,New frontiers in comfort research: Integrating human needs and design in future mobility,"<title>New frontiers in comfort research: Integrating human needs and design in future mobility</title> <excerpt>Comfort is a pivotal construct in human-centered design, connecting technical functionality with well-being across products, services, and systems. The 2023 International Comfort Congress (ICC2023) brought together researchers and practitioners to explore how new contexts of use, predictive approaches, and user diversity are reshaping this field. Contributions in this special issue address comfort in automated driving and turboprop aviation, where physical, psychological, and environmental factors converge.</excerpt>",89
2026,Unraveling the complex relationships between mental health and safety operation behaviors among pilots: a network and latent profile analysis,"<title>Unraveling the complex relationships between mental health and safety operation behaviors among pilots: a network and latent profile analysis</title> <excerpt>As the guardians of aviation safety, pilots’ mental health is critical for ensuring flight safety. However, systematic research on the comorbidities of mental symptoms among pilots remains scarce, and the relationship between these symptoms and safety operation behaviors is unclear. This study aims to deepen our understanding of the interrelations among mental symptoms in pilots and to explore how these symptoms are associated with safety operation behaviors.</excerpt>",-1
