"Title","Year","Source title","DOI","Link","Abstract","Author Keywords","Index Keywords"
"Predictive Validity of Selection and Training for Ab Initio Air Traffic Controllers","2025","Aviation Psychology and Applied Human Factors","10.1027/2192-0923/a000294","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009407078&doi=10.1027%2F2192-0923%2Fa000294&partnerID=40&md5=ec9f1bb79a1aef284083c65f82966a63","The German Aerospace Center (DLR) provides a selection procedure to identify suitable applicants for ab initio air traffic controller (ATCO) training at DFS Deutsche Flugsicherung GmbH. The selection phases comprise cognitive and work sample tests, team exercises, and an interview with a final assessment by a selection board. DFS ATCO training consists of initial training (IT) and unit training (UT). For the first time, performance data from the UT were available. A validation sample of 603 ATCO trainees was used to analyze the selection and training data. Cognitive performance was predictive of IT criteria and work sample performance was predictive of both IT and UT criteria. Final selection board assessments showed predictive validity for training criteria. Overall, the validity of the DLR selection procedure was confirmed. © 2025 Hogrefe Publishing.","air traffic controller; selection; training; validation study; validity",""
"The Invisible Copilot?: Assessing Task Engagement and Team Dynamics in a Virtual Flight Environment Using Eye-Tracking Metrics","2025","Aviation Psychology and Applied Human Factors","10.1027/2192-0923/a000293","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009402584&doi=10.1027%2F2192-0923%2Fa000293&partnerID=40&md5=2d4e97a65dbe433dac806bbcd66412b8","Gaze behavior represents a vital predictor of flight performance in pilots operating an aircraft. However, its role in collaborative settings with a copilot has been largely disregarded. Our study addressed this gap by simulating a flight environment with role division into a pilot flying (PF) and pilot monitoring (PM). Analyses of linear mixed-effects models revealed that different eye-tracking metrics significantly differed between the PF and the PM. Additionally, classification analysis revealed that these eye-tracking metrices were suitable for discerning between PF and PM with high predictive accuracy (97%) and precision (97%). We discuss implications for a role-based user state diagnosis for adaptive assistance system design in the cockpit, thereby advancing aviation safety. © 2025 The Author(s).","adaptive assistance; eye-tracking; multitasking; team work",""
"Navigating Trust in the Aviation System","2025","Aviation Psychology and Applied Human Factors","10.1027/2192-0923/a000295","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009401994&doi=10.1027%2F2192-0923%2Fa000295&partnerID=40&md5=5bfc491af087314068839faeb88c51a8","[No abstract available]","",""
"Effect of Pilot Expertise on Visual Scanning and Precision of Flight Maneuvers in Military Aviation","2025","Aviation Psychology and Applied Human Factors","10.1027/2192-0923/a000287","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105005079915&doi=10.1027%2F2192-0923%2Fa000287&partnerID=40&md5=1e253fda7a0aef3add352b8684ed0f8e","This study explored how expertise affects visual scanning strategies and the precision of flight maneuvers in military aviation. A total of 38 French Air Force pilots of three different expertise levels performed horizontal and vertical maneuvers in a flight simulator. Flight performance analysis showed that novices had larger deviations in roll, heading, and speed compared to cadets and experts, underlining the role of expertise on the precision of flight maneuvers. Eye-tracking analysis revealed that expert pilots used more efficient gaze strategies, focusing on key parameters such as pitch and power. Our results suggest that eye-tracking could significantly enhance pilot training by providing insights into expertisespecific visual behaviors. Future work will explore the use of real-time eye-tracking data to deliver immediate feedback, guiding pilots visual focus during training. © 2025 Hogrefe Publishing.","eye-tracking; military aviation; pilot expertise; visual scanning strategies",""
"Anchoring as a Mechanism for Modifying Risk-Taking Behavior in Military Aviation","2025","Aviation Psychology and Applied Human Factors","10.1027/2192-0923/a000290","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105005068405&doi=10.1027%2F2192-0923%2Fa000290&partnerID=40&md5=e582041c7bf5658cd5c41f863702f60d","This study explores the possibility of using anchoring biases to change the risk-taking behavior assessed by the Balloon Analogue Risk Task (BART). The study involved 90 military aviators who participated in a United Nations-led peacekeeping mission. We used an experimental design in which participants performed BART tasks distributed differently in the experimental groups to change the risk-taking behavior. After three stages, our results showed that the values of the indicator measuring risk-taking behavior were reduced in the low-anchor experimental group when operating in conditions of uncertainty. This indicator is influenced, in risk conditions, by both motor impulsivity and anchoring bias. Impulsivity is moderately associated with risk-taking behavior. The results also show that Big Five personality factors are not significantly associated with risk-taking behavior. In conclusion, these results confirm the role of the anchoring mechanism in changing risk-taking behavior and verify the strong relationship between impulsivity and risk behavior when individuals act in risky conditions. © 2025 Hogrefe Publishing.","anchoring; BART tasks; behavior change; impulsivity; risk-taking; uncertainty",""
"Cognitive Incapacitation in Aviation: A Scoping Review","2025","Aviation Psychology and Applied Human Factors","10.1027/2192-0923/a000286","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003930735&doi=10.1027%2F2192-0923%2Fa000286&partnerID=40&md5=b64e50a833a035e5ff271f5ef95c2d89","In aviation, cognitive incapacitation refers to a temporary reduction in a pilot's cognitive performance, typically triggered by unexpected and stressful events. This situation can alter perception, reasoning, decision-making performance, and ultimately the ability to perform cockpit duties effectively. Cognitive incapacitation has been identified as an important factor in many aviation accidents and incidents. However, research is scarce, and varying terminology is used to describe the phenomenon. Additionally, the methods to effectively induce and measure cognitive incapacitation remain debated. We conducted a comprehensive scoping review to enhance our understanding of this phenomenon and gain clearer insights into the research protocols. This review may be applied for improving training and developing solutions to mitigate the effects of cognitive incapacitation. © 2025 Hogrefe Publishing.","aviation safety; cognitive incapacitation; mental workload; pilot performance; stressful events",""
"Could Pilots and Controllers Learn to Adequately Trust Their Partners?: A First Experimental Response","2025","Aviation Psychology and Applied Human Factors","10.1027/2192-0923/a000289","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003907584&doi=10.1027%2F2192-0923%2Fa000289&partnerID=40&md5=af3e393567d590a7e4fdceab1ddb72ad","To find out whether it is possible to train pilots and controllers to adequately trust their partners, and thus modify their behavior and increase their performance, this study experimentally tested whether individuals disposition to trust is influenced by their social learning. Objective measurements related to the task to perform, collected over two successive phases, were used for two different groups of aviation staff. The results highlight a link between swift trust, supervision strategies, and time management and point to the social nature of the disposition to trust. This opens the way to a new experimental approach to the study of behaviors induced by interpersonal trust and to new pedagogical levers for optimizing the activity of ephemeral teams through training. © 2025 Hogrefe Publishing.","experimental design; interpersonal trust; swift trust",""
"Impact of CRM on Trust and Conflict Between Civil Aviation Pilots and Cabin Crew","2025","International Journal of Aerospace Psychology","10.1080/24721840.2025.2464133","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218835507&doi=10.1080%2F24721840.2025.2464133&partnerID=40&md5=aedb35d2bc4d5a512bbe7699deebbb8f","Objective: This study investigates the impact of Crew Resource Management (CRM) training on trust and conflict between civil aviation pilots and cabin crew. The aim is to understand if shared perception of CRM training affects trust enhancement and conflict reduction among these two professional groups. Background: CRM training emphasizes non-technical skills vital for operational efficiency and aviation safety, including leadership, situational awareness, and teamwork. Prior research has established that human factors contribute significantly to aviation accidents, and CRM training targets these by improving communication and collaborative skills among flight teams. Method: The study utilized a survey distributed to civil aviation pilots and cabin crew within several domestic airlines. Respondents rated their perceptions of CRM training and its impact on trust and conflict in their professional interactions. Statistical analyses, including multiple regression, were employed to interpret the survey data, focusing on the mediating effect of age. Results: Findings revealed that positive perceptions of CRM training significantly correlate with increased trust and reduced conflict between pilots and cabin crew. Older participants showed stronger positive correlations, indicating age as a significant moderator in the effectiveness of CRM training. Conclusion: CRM training plays a crucial role in enhancing trust and reducing conflict among aviation professionals, with age significantly influencing these outcomes. Continuous focus on CRM’s role in fostering teamwork can further support safety and operational efficacy in civil aviation. © 2025 Taylor & Francis Group, LLC.","",""
"Modelling Pilot Decisions During One Engine Inoperative in Maritime SAR Helicopter Hoist Task: RPDM and PCM","2025","International Journal of Aerospace Psychology","10.1080/24721840.2025.2464115","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218822480&doi=10.1080%2F24721840.2025.2464115&partnerID=40&md5=00552e1ca6a4209160c408324ba6d1a0","This paper undertakes a comprehensive examination of pilot decision-making in response to a single-engine failure during maritime search and rescue (SAR) helicopter hoist tasks, employing two distinct decision models–namely, RPDM and PCM. The primary goal of this research is to assess the strengths and weaknesses of each model in accounting for the decision-making processes involved in this critical scenario. Through a comparative analysis, the findings indicate that the PCM encompasses a more extensive array of steps related to emergency evacuation procedures and emphasizes the importance of awaiting the search and rescue (SAR) team to maximize survivability. This study aims to contribute valuable insights into how different theoretical frameworks can enhance our understanding of pilot responses in high-stakes situations. © 2025 Taylor & Francis Group, LLC.","",""
"Pilot-Related Factors Involved in Runway Incursions: An Epidemiological Approach","2025","International Journal of Aerospace Psychology","10.1080/24721840.2025.2452443","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216533014&doi=10.1080%2F24721840.2025.2452443&partnerID=40&md5=10cf7f0f8598e7353ce08d2798e2f51e","Objective: This research investigates the role of pilot deviation in runway incursions, a persistent safety risk for aviation safety. Background: Despite many research efforts focusing primarily on the evaluation of advanced technical systems as mitigation solutions, there remains a significant lack of studies investigating the central figure in this issue: the pilot, as well as the underlying human factors and mitigating circumstances that contribute to runway incursions. Method: An in-depth analysis of incident and accident reports from 1993 to 2021, sourced from both Australia and the United States was employed. A comprehensive codebook was developed to capture key information for investigating significant relationships between variables. An extended taxonomy derived from the U.S. Department of Defence - DoD HFACS was used to systematically analyze pilot-related causal factors. Results: The results highlight critical causal factors from a human factors perspective, with wide-ranging issue such as miscommunication being prevalent. Statistically significant relationships were observed between the severity of runway incursions and other key factors. Conclusion: The study underscores the importance of considering pilot-related causal factors of runway incursions to gain better understanding of potential mitigation solutions. © 2025 Taylor & Francis Group, LLC.","",""
