"Title","Year","Source title","Link","Abstract"
"Leadership, safety climate, and neuroticism: Integrating organizational and individual factors into the prediction of air technicians’ safety behaviors","2026","Journal of Air Transport Management","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105021827104&partnerID=40&md5=488191b3ba53c3c84f489f412f48b575","Air technicians' safety behavior is crucial to aviation safety, and thus it is important to identify factors that may enhance such behavior and explore its mechanisms. By incorporating Safety-Specific Transformational Leadership (SSTL), safety climate, and neuroticism, this study examines whether, how, and when SSTL predicts air technicians' safety behaviors from the perspective of both organizational and individual factors. Correlation, mediation, and moderation analyses were conducted on data from a sample of 995 air technicians from six aviation enterprises in China. The results indicate that SSTL was positively related to air technicians' safety behavior and that this relationship was partially mediated by safety climate. Moreover, neuroticism moderated this effect, such that the positive relationship between SSTL and safety behavior was stronger in air technicians with a higher level of neuroticism. Theoretically, this study combines leadership and personality in a unified framework, enriching understanding of their joint role in predicting safety behaviors. Practically, it guides aviation enterprises to strengthen SSTL and adopt personality-sensitive management to enhance technicians’ safety behaviors. © 2025 Elsevier Ltd."
"Business travel stress and the moderating effect of corporate aircraft utilization on employee Well-Being: Business aviation from a stakeholder perspective","2026","Journal of Air Transport Management","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017573458&partnerID=40&md5=d97d70a0768a56579f3aa61718b19324","This study investigates how access to corporate aircraft moderates the relationship between business travel stress and employee well-being. Using the Job-Demands-Resources and Person-Environment Fit models, this research reveals that business travel stress relates to time pressure, travel environment, and work-family conflict, which affect physical, psychological, and social well-being. However, corporate aircraft use restores control, relieves stress, and reduces fatigue, emotional exhaustion, and work-family conflict. Additionally, it offers positive travel experiences that enhance employee energy, engagement, and job satisfaction. This study addresses a research gap by being the first to explore business travel stress and well-being in corporate aircraft operations, expanding the Job-Demands-Resources model. These findings provide a foundation for future research to further investigate the nuanced relationship between business travel stress and employee well-being. Organizations can benefit from the findings by redefining their business case for corporate aircraft, prioritizing stakeholder well-being as a primary source of return on investment. © 2025 The Authors"
"Flying high or saying goodbye? passenger incivility and flight attendants’ turnover intention: A serial mediation model of surface acting and emotional exhaustion","2026","Journal of Air Transport Management","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015435371&partnerID=40&md5=efccd260430bed082a8e7dea4ca7813b","This study aims to examine a serial mediation model in which passenger incivility affects emotional labour (i.e. surface acting), which in turn influences emotional exhaustion, which ultimately increases the intention to leave among flight attendants. The mediating roles of surface acting and emotional exhaustion are also examined in this model. Data from a sample of 203 flight attendants of major airlines in China was collected and analysed. The results indicate that passenger incivility does not directly influence turnover intention but that the link is partially mediated by emotional exhaustion. However, surface acting was found not to mediate the relationship between passenger incivility and turnover intention. This study is among the first to highlight the consequences of passenger incivility in the Chinese aviation industry. © 2025 Elsevier Ltd"
"Threat anticipation and proactive response: The effect of defensive pessimism strategy on pilots' safety behavior","2026","Acta Psychologica","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105023996680&partnerID=40&md5=afd790552c1db690061c1b07930a1362","Human error is a significant cause of aviation accidents, and numerous individual psychological factors strongly influence pilots' safety behavior. Therefore, it is crucial to identify factors that may enhance pilots' safety behavior and explore their underlying mechanisms. Based on the Theory of Planned Behavior (TPB), this study examines whether, how, and under what conditions defensive pessimism affects pilots' safety behavior from a cognitive strategy perspective. Using a sample of 308 Chinese commercial airline pilots, we tested a moderated mediation model between defensive pessimism strategy and pilots' safety behaviors. The results indicate that defensive pessimism strategy has a direct positive effect on pilots' safety behavior and that this relationship is partially mediated by safety attitudes. Additionally, safety culture negatively moderates both the positive relationship between defensive pessimism strategy and safety attitudes and the indirect effects of this cognitive strategy on safety behavior through safety attitudes. On a theoretical level, this study first validates the effectiveness of the defensive pessimism strategy within the high-risk context of aviation safety, thereby advancing the understanding of its unique mechanisms. Second, by elucidating how individuals proactively employ specific cognitive strategies to shape behavioral attitudes and subsequently influence actual behavior, this study extends the Theory of Planned Behavior from a cognitive strategy perspective. Furthermore, it explores the boundary condition of safety culture, deepening our understanding of the interaction between organizational environments and individual cognitive strategies. Finally, on a practical level, this research offers valuable insights for aviation safety management, informing practices related to pilot selection, daily mental health support, and the exploratory development of the defensive pessimism strategy into a potential risk management tool. © 2025 The Authors"
"Fatigue risk management in healthcare: A scoping literature review","2026","International Journal of Nursing Studies","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105022195539&partnerID=40&md5=445c13ba8ac69bf3b8429528afd40364","Background: Occupational fatigue among healthcare professionals is a complex, multifaceted issue associated with increased likelihood of medical error, compromised patient safety and negative impacts on staff mental and physical health. While safety-critical sectors such as aviation and rail have implemented formal systems to manage fatigue-related risks, it remains unclear whether similarly structured approaches exist or operate effectively within healthcare. Objective: This scoping literature review aimed to examine the current state of knowledge regarding fatigue risk management strategies and countermeasures in healthcare and explore the barriers and facilitators to their implementation. This review sought to highlight gaps and provide insights into advancing fatigue risk management practices within the healthcare context. Methods: A systematic literature search to June 2025 was conducted across Medline, CINAHL Ultimate, and Scopus databases. Search terms were developed based on key concepts related to healthcare professions and fatigue risk management. Studies were included if they examined fatigue risk management strategies, countermeasures or organisational perceptions of fatigue in healthcare. Results: Thirty-two studies met the inclusion criteria, including quantitative (n = 18), qualitative (n = 9), and mixed-methods (n = 5) designs. Findings were grouped into conceptual categories based on the study focus and/or intervention type. The majority of studies (n = 18) evaluated isolated interventions including informal/individual fatigue management strategies, napping, use of biomathematical models to predict fatigue risk, fatigue education, and the impact of scheduling practices. Only two studies reported on comprehensive, multi-component programmes. Nine studies explored staff perceptions and attitudes towards fatigue-related strategies, and three examined broader organisational understanding or design principles related to fatigue management. Key barriers to implementation included normalised cultural attitudes towards fatigue, limited managerial support, and inadequate infrastructure. Facilitators included improved staffing levels, better workload distribution, supportive leadership, and the development of non-punitive safety cultures that encouraged fatigue reporting. Conclusions: Despite growing awareness of the risks associated with occupational fatigue, healthcare systems continue to rely on fragmented, informal, and largely individual approaches to fatigue management. In contrast to other high-risk industries, healthcare has yet to embed fatigue management within formal safety governance structures. Advancing practice in this area requires a shift towards system-level thinking that is supported by organisational leadership, effective fatigue monitoring, and workforce education. Additionally, this shift also demands a cultural reorientation that recognises fatigue as a predictable and manageable safety risk that necessitates organisational accountability rather than individual resilience to prioritise both staff wellbeing and patient safety. © 2025 The Authors"
"Predictive validity of cognitive abilities for air traffic controllers selection among proficient scientific candidates","2026","Applied Ergonomics","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020850027&partnerID=40&md5=9bcfc8b32c7bd22c458c5e718c5d3758","Most air traffic controllers (ATCO) are selected after high school graduation, partly based on cognitive abilities. On the contrary, French ATCO are selected after an intensive scientific post-secondary program without undergoing cognitive assessment. This study examines the potential incremental validity of cognitive predictors in ATCO training for such proficient applicants. Initial and unit training results were available for 414 and 277 ATCO students, respectively. All students took cognitive ability tests, encompassing visuospatial processing, quantitative knowledge, and work samples. We compared a baseline regression model with academic performance as sole predictor to an extended model with the addition of the cognitive abilities composite score. The R2 of the extended model increased significantly, by 0.04 (p < .001) and 0.06 (p < .001), respectively, for predicting practical initial and unit training outcome. In conclusion, even for scientific proficient candidates, cognitive assessment can enhance the success rate of ATCO training. © 2025 Elsevier Ltd."
"Unraveling the complex relationships between mental health and safety operation behaviors among pilots: a network and latent profile analysis","2026","Current Psychology","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105026874485&partnerID=40&md5=83e0aed4677714362469c1c1185ceb1d","As the guardians of aviation safety, pilots’ mental health is critical for ensuring flight safety. However, systematic research on the comorbidities of mental symptoms among pilots remains scarce, and the relationship between these symptoms and safety operation behaviors is unclear. This study aims to deepen our understanding of the interrelations among mental symptoms in pilots and to explore how these symptoms are associated with safety operation behaviors. A total of 612 male commercial pilots participated in a cross-sectional survey that assessed nine types of mental symptoms and safety operation behaviors. Descriptive statistics, network analysis, and latent profile analysis were utilized to examine their relationships systematically. The study revealed significant interconnections among mental symptoms in pilots, with obsessive-compulsive symptoms playing a pivotal role in the comorbidity network. Pilots were categorized into three groups based on symptom severity: high-, medium-, and low-level symptom groups. Pilots in the high-level symptom group exhibited significantly poorer safety operation behaviors. Nearly half of the mental symptoms are indirectly linked to safety operation behaviors through comorbidities, and these comorbidities have a direct association with these behaviors. In the low-level symptom group, there was greater integration among safety operation behaviors, whereas the high-level symptom group showed dissociation. In the high-level symptom group, interpersonal communication and cooperation played a key role, while the role of understanding the automated system was weaker, which may be related to compensation mechanisms, automation bias, and blind reliance. This study systematically analyzed the comorbidities of mental symptoms among pilots and their complex relationship with safety operation behaviors. The findings provide practical insights for airline management to promote pilots’ mental health and enhance aviation safety protocols. Additionally, the study contributes to aviation psychology and safety research by offering evidence-based recommendations. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2026."
"New frontiers in comfort research: Integrating human needs and design in future mobility","2026","Work","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105026701449&partnerID=40&md5=047ceba79f3b23fc665a8f3b8b83e566","Comfort is a pivotal construct in human-centered design, connecting technical functionality with well-being across products, services, and systems. The 2023 International Comfort Congress (ICC2023) brought together researchers and practitioners to explore how new contexts of use, predictive approaches, and user diversity are reshaping this field. Contributions in this special issue address comfort in automated driving and turboprop aviation, where physical, psychological, and environmental factors converge. Advances in predictive comfort science demonstrate how objective measures, physiological sensing, and modeling complement traditional self-reports. At the same time, inclusive design approaches—ranging from XR-based co-creation to analyses of posture and movement variability—highlight the importance of accounting for heterogeneous user needs and comfort trade-offs. Together, these studies illustrate a shift toward more adaptive, accessible, and sustainable systems, underscoring comfort as a multidimensional construct that evolves with technological innovation and societal change. © The Author(s) 2025"
"Research on the relationship between work-family conflict and burnout among civil aviation pilots after the COVID-19 pandemic","2026","PLOS ONE","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105026527002&partnerID=40&md5=ab36c077fca4ce1039f26a234747f73f","To examine the impact of work-family conflict on occupational burnout among pilots following the COVID-19 pandemic, this study employed the Maslach Burnout Inventory-General Survey and the Zhao Xinyuan Bi-directional Scale of Work-Family Conflict as research instruments. The data were analyzed using correlation analysis and Structural Equation Modeling (SEM) to explore the relationship between work-family conflict and burnout. The results indicate a significant correlation between work-family conflict and burnout, as well as the three dimensions of burnout. Specifically, the correlation coefficients between work interfering with family (WIF) and family interfering with work (FIW) with occupational burnout were found to be 0.737 and 0.496, respectively. In the path analysis of the SEM, the estimated effects of WIF and FIW on burnout were both 0.49. Mediation analysis revealed that WIF indirectly influences burnout through FIW, with a mediation effect value of 0.117. Additionally, while pilot-related factors did not significantly affect burnout, they were found to have a notable impact on work-family conflict. These findings underscore the significant role of work-family conflict in contributing to burnout and provide a theoretical foundation for targeted interventions aimed at mitigating burnout among pilots. ©: © 2026 Chen et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited."
"Assessing pilot cognitive overload risk with a random forest framework: A non-contact approach based on a novel cardiopulmonary feature","2026","International Journal of Industrial Ergonomics","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105024436374&partnerID=40&md5=970b2d3c4824dfef35d97401d8f14241","Accurate, real-time assessment of operator mental workload(MWL) is critical for ensuring safety and efficiency in complex systems like aviation. However, existing methods are limited by the latency of subjective scales and the intrusiveness of contact-based physiological sensors. In order to address the challenge of real-time, interference-free monitoring of operator cognitive states in complex systems such as flight, this study proposes and validates a new non-contact psychological load assessment method based on cardiopulmonary coupling joint entropy. We recorded electrocardiogram (ECG) and respiration (RSP) signals from thirty flight trainees using a 77 GHz millimeter-wave radar as they performed a simulated flight task with four escalating levels of difficulty. Subjective workload ratings (NASA-TLX) and task performance were collected concurrently for validation. Results confirmed the experimental manipulation's effectiveness, with NASA-TLX scores(F (3,87) = 34.87, p <0.001), reaction times(F (3,87) = 25.712, p < 0.001), and error rates(F (3,87) = 34.881, p < 0.05) all increasing significantly with task difficulty. The joint entropy value exhibited a monotonic increase with workload levels(F (3,87) = 16.578, p = 0.002), demonstrating its high sensitivity. Feature importance analysis identified joint entropy as the most significant predictor of MWL. Notably, a classification model utilising only the joint entropy feature achieved superior predictive accuracy compared to a model using the full feature set, highlighting the metric's robustness and efficiency. This study validates non-contact cardiopulmonary coupling joint entropy as a sensitive and reliable biomarker for MWL. This method provides a practical path for developing intelligent safety management systems capable of warning of cognitive overload, preventing human errors, and promoting adaptive human-machine collaboration. These systems can serve as key inputs for AI-driven adaptive interfaces, promoting dynamic human-machine collaboration in line with Industry 5.0 principles. Relevance to industry: This study presents a practical approach to the real-time, objective and non-intrusive monitoring of operators' MWL in high-risk sectors such as aviation and nuclear power. The verified joint entropy index can be integrated into safety management systems to develop AI-powered intelligent assistance systems and adaptive human-machine interfaces that can dynamically adjust to the operator's cognitive state. These systems can warn of cognitive overload, effectively preventing human error and improving the overall safety and operational efficiency of complex systems. This method relies on a single efficient feature, which significantly simplifies the technical requirements for real-time deployment on board or on site. © 2025"
