year,country,affiliations,title,doc,topic
2026,China,"School of Psychology, Shaanxi Normal University, Xi'an, Shaanxi, China; Flight Academy, Civil Aviation University of China, Tianjin, Tianjin, China; School of Sociology, China University of Political Science and Law, Beijing, China; Shaanxi Provincial Key Laboratory of Behavior and Cognitive Neuroscience, Xi'an, Shaanxi, China",Threat anticipation and proactive response: The effect of defensive pessimism strategy on pilots' safety behavior,"<title>Threat anticipation and proactive response: The effect of defensive pessimism strategy on pilots' safety behavior</title> <excerpt>Human error is a significant cause of aviation accidents, and numerous individual psychological factors strongly influence pilots' safety behavior. Therefore, it is crucial to identify factors that may enhance pilots' safety behavior and explore their underlying mechanisms. Based on the Theory of Planned Behavior (TPB), this study examines whether, how, and under what conditions defensive pessimism affects pilots' safety behavior from a cognitive strategy perspective.</excerpt>",-1
2026,France,"Université de Toulouse, Toulouse, Occitanie, France; Laboratoire Cognition, Langues, Langage, Ergonomie, Toulouse, Occitanie, France",Predictive validity of cognitive abilities for air traffic controllers selection among proficient scientific candidates,"<title>Predictive validity of cognitive abilities for air traffic controllers selection among proficient scientific candidates</title> <excerpt>Most air traffic controllers (ATCO) are selected after high school graduation, partly based on cognitive abilities. On the contrary, French ATCO are selected after an intensive scientific post-secondary program without undergoing cognitive assessment. This study examines the potential incremental validity of cognitive predictors in ATCO training for such proficient applicants.</excerpt>",13
2026,United States,"NeuroStat Analytical Solutions, LLC, Great Falls, VA, United States; Department of Psychological Science, Northern Kentucky University, Highland Heights, KY, United States; Aerospace Medicine Department, U.S. Air Force School of Aerospace Medicine, Dayton, OH, United States",Time for a break? Perceptions and impacts of reconstitution among United States Air Force remotely piloted aircraft personnel,<title>Time for a break? Perceptions and impacts of reconstitution among United States Air Force remotely piloted aircraft personnel</title> <excerpt>United States Air Force remotely piloted aircraft (RPA) aircrew and support personnel perform critical missions in support of military operations around the world. The high value placed on the work of these individuals has resulted in increased workload and heightened risk of adverse psychological health outcomes. The impact of this can be detrimental to the health of the individual as well as the success of the RPA mission.</excerpt>,123
2026,China,"School of Psychology, Shaanxi Normal University, Xi'an, Shaanxi, China; Ltd., Zhuhai, Guangdong, China",Unraveling the complex relationships between mental health and safety operation behaviors among pilots: a network and latent profile analysis,"<title>Unraveling the complex relationships between mental health and safety operation behaviors among pilots: a network and latent profile analysis</title> <excerpt>As the guardians of aviation safety, pilots’ mental health is critical for ensuring flight safety. However, systematic research on the comorbidities of mental symptoms among pilots remains scarce, and the relationship between these symptoms and safety operation behaviors is unclear. This study aims to deepen our understanding of the interrelations among mental symptoms in pilots and to explore how these symptoms are associated with safety operation behaviors.</excerpt>",108
2025,"Korea, Republic of","Asiana Airlines, Seoul, South Korea; Graduate School of Service Management, Kyonggi University, Suwon, Gyeonggi-do, South Korea","Building Sustainable Organizational Citizenship Behavior in Hospitality: Structural Relationships of Rapport, Trust, and Psychological Capital Among Airline Cabin Crew","<title>Building Sustainable Organizational Citizenship Behavior in Hospitality: Structural Relationships of Rapport, Trust, and Psychological Capital Among Airline Cabin Crew</title> <excerpt>This study examines the structural relationships among rapport, trust, psychological capital (PsyCap), and organizational citizenship behavior (OCB) in the emotionally demanding work context of airline cabin crews. Grounded in the job demands–resources (JD-R) model and social exchange theory (SET), we propose and test a sequential mediation model in which rapport is positively associated with trust, trust is positively associated with PsyCap, and PsyCap is positively associated with OCB. Based on survey data from 248 South Korean flight attendants, structural equation modeling (SEM) demonstrates that rapport is indirectly associated with OCB through the sequential mediation of trust and PsyCap, rather than displaying a significant direct association.</excerpt>",27
2025,China,"Department of Neurosurgery, Air Force Medical University, Xi'an, Shaanxi, China; Air Force Medical University, Xi'an, Shaanxi, China",Evidence-based fitness-to-fly assessment for military aviators with untreated unruptured intracranial aneurysms: A 5-year retrospective at a single center,<title>Evidence-based fitness-to-fly assessment for military aviators with untreated unruptured intracranial aneurysms: A 5-year retrospective at a single center</title> <excerpt>The increasing detection of untreated unruptured intracranial aneurysms (UIAs) in military aviators poses a challenge for aeromedical clearance. This study aimed to introduce the fitness-to-fly criteria for military aviators with UIAs in our center and try to develop evidence-based aeromedical guidelines. We retrospectively reviewed active-duty military aviators diagnosed as UIAs by digital subtraction angiography (DSA) in a single center between 2019 and 2024.</excerpt>,35
2025,Sao Tome and Principe - United States,"711th Human Performance Wing, Air Force Research Laboratory, Dayton, OH, United States; Naval Medical Research Unit Dayton, Wright-Patterson AFB, OH, United States; Leidos Inc., Reston, VA, United States; 711th Human Performance Wing, UES Inc., Dayton, OH, United States; Inc, Fairborn, OH, United States",Estimating hypoxia-induced brain dysfunction and cognitive decline through exhaled breath monitoring,"<title>Estimating hypoxia-induced brain dysfunction and cognitive decline through exhaled breath monitoring</title> <excerpt>Background: Hypoxia remains a concern for aircrew operating high performance aircraft. Sensing and mitigating hypoxia is a line of active research within the US Air Force and US Navy. It is hypothesized that changes in exhaled breath volatile organic compound content could indicate, not only changes in oxygen saturation (SpO<inf>2</inf>), but also brain activity and cognitive function.</excerpt>",65
2025,China,"Flight Branch, Civil Aviation University of China, Tianjin, Tianjin, China; Jilin Branch of CCTS, Changchun, China; Civil Aviation University of China, Tianjin, Tianjin, China; Air Traffic Management Bureau CAAC Tianjin Branch, Tianjin, Tianjin, China; School of Safety Science and Engineering, Civil Aviation University of China, Tianjin, Tianjin, China",Construction of leadership competency model for civil aviation flight cadets: An empirical study from China,"<title>Construction of leadership competency model for civil aviation flight cadets: An empirical study from China</title> <excerpt>Human factors are often linked to unsafe events in civil aviation transport, with the competency level and decision-making abilities of flight crews playing a significant role. The leadership and teamwork competency of the flight crew in the cockpit directly influences the occurrence of aviation safety incidents. Leadership is a developmental and trainable skill.</excerpt>",22
2025,United States,"Architecture, College of Engineering, Architecture and Technology, Stillwater, OK, United States; Architecture, Oklahoma State University, Stillwater, OK, United States",Hierarchical Bayesian Modeling for Physiological Data in Small-N Aviation Human Factors Research,"<title>Hierarchical Bayesian Modeling for Physiological Data in Small-N Aviation Human Factors Research</title> <excerpt>Monitoring pilot cognitive state in real time is becoming increasingly important as automation plays a larger role in aviation. Traditional workload assessments, such as questionnaires or task-based performance metrics, provide useful insights but can be limited in rapidly changing flight environments. Physiological measures, including heart rate, respiration, and electroencephalogram (EEG), offer continuous data streams, yet their variability and complexity present challenges for analysis.</excerpt>",3
2025,,,Optimizing Muscle Activation in Cadets Using Electromyography Biofeedback During Anti-G Training,"<title>Optimizing Muscle Activation in Cadets Using Electromyography Biofeedback During Anti-G Training</title> <excerpt>INTRODUCTION: Effective execution of the anti-G straining maneuver (AGSM) is essential for pilots to maintain consciousness under high gravitational forces (+Gz). This study evaluated whether electromyographic (EMG) biofeedback enhances muscle activation patterns during AGSM training in novice cadets. METHODS: There were 58 Brazilian Air Force cadets (age: 25 ± 1 yr) who performed two AGSM sessions involving sustained submaximal isometric contractions of the gastrocnemius, vastus medialis, and rectus abdominis muscles, synchronized with rhythmic breathing every 3 s.</excerpt>",67
