Topic,Count,Name,Representation,Representative_Docs
-1,467,-1_learning_situation_technology_flight training,"['learning', 'situation', 'technology', 'flight training', 'situation awareness', 'leadership', 'psychophysiological', 'simulated', 'task performance', 'spatial ability']","['<title>Rumination and psychological resilience in Chinese civil aviation flight students: the chain mediating role of proactive coping and generalized anxiety disorder</title> <excerpt>Background: As the focus of aviation safety shifts from technology to human factors, the central role of psychological resilience in flight safety has become increasingly prominent. However, the internal mechanism of how rumination affects psychological resilience, particularly the chain mediating effect of proactive coping and generalized anxiety, has not been thoroughly explored in high-stress populations. Methods: Employing a cross-sectional design, 1,235 flight students from the Civil Aviation Flight University of China were surveyed using the Ruminative Response Scale (RRS), Connor-Davidson Resilience Scale (CD-RISC), Simplified Coping Style Questionnaire (SCSQ), and Generalized Anxiety Disorder Scale (GAD-7) to gather data.</excerpt>', '<title>Social acceptance of increased usage of the ballistic parachute system in a general aviation aircraft</title> <excerpt>Background: An airframe parachute (""Chute"") available in certain aircraft is designed to lower the airplane safely to the ground for emergency situations that occur 500 ft (152 m) above ground level (AGL): the ""Chute altitude envelope."" This study will explore the change in Chute use before and after 2012 to better understand factors that increased usage and improved accident outcomes. Methods: Using the public National Transportation Safety Board (NTSB) accident database from January 1, 2001, through August 31, 2018, a regression model was developed to identify factors that may predict Chute use. Results: In accidents occurring after January 1, 2013, pilots were 5 times more likely to use the Chute, while 2.9 times less likely to use the Chute when the accident involved pilot-related causes.</excerpt>', '<title>Overcoming barriers to patient safety</title> <excerpt>▶ The IOM Report Keeping Patients Safe outlined five trouble spots leading to patient safety concerns on nursing units: unclear unit values, the fear of punishment for errors, the lack of systematic analysis of mistakes, the complexity of the work, and inadequate teamwork. ▶ When observing high reliability organizations (HROs), like air traffic control centers or nuclear power plants, a ""culture of safety"" transcends the culture and operations to manage unexpected events in a manner that minimizes fatal errors. ▶ These organizational characteristics and actions mirror the trouble spots outlined by the IOM: clarify values, encourage and reward reporting of mistakes, consistently analyze mistakes and near misses, look for the unexpected, simplify work, minimize interruptions, commit to resilience, encourage deference to expertise, and promote teamwork.</excerpt>', ""<title>The “Break-Off” Phenomenon: A Precipitant of Anxiety in Jet Aviators</title> <excerpt>Icarus, flushed with excitement and exhilaration, soared even higher toward the sun—despite the cries and warnings of his father. At last he flew so high that the heat of the sun melted the wax, and off dropped the wings. CONTEMPORARY developments in bioastronautics have challenged the once held assumption that “man is a sea-level, lowspeed, one G, 12-hour animal.”49 The physical dangers of space flight for the astronaut previously anticipated with uncertainty, have thus far been technologically overcome.2,4,7,9 But even after the successes of recent short-term space explorations,26,27 the question of man's capacity to withstand the emotional and psychological effects of sensory isolation and deprivation is not fully answered.* It is now thought, however, that the use of two-man teams will obviate in large part the hazards of acute sensory deprivation.52 In 1957, Clark and Graybiel found in their study of the.</excerpt>"", ""<title>Third-culture kid pilots and multi-cultural identity efects on pilots' attitudes</title> <excerpt>IP: 103.3.231.66 On: Thu, 09 Jan 2020 04:17:02 Copyright: Aerospace Medical Association BACKGROUND: Current attempts to culturally tailor human factors training in aviation segregates cultural identities based on geopoliti- cal, passport nationality, and is therefore poorly suited for (adult) 'Third Culture Kids' (TCKs) whose cross-cultural upbringing has led to the development of multicultural individual identities that do not relect their passport nationali- ties. In this study, respondents' self-categorization of personal cultural identity, as opposed to passport nationality, was used to determine whether there were cultural diferences in airline pilots' behaviors. METHOD: A survey with items imported from established scales was distributed to pilots of an international airline to measure pilots' work values, light management attitudes, and cultural dimensions, with respondents segregated into Western, TCK, or Asian cultural groups.</excerpt>""]"
0,53,0_human error_human factors_human errors_aviation accidents,"['human error', 'human factors', 'human errors', 'aviation accidents', 'human factors analysis', 'accident investigation', 'aviation safety', 'analysis classification hfacs', 'human factors training', 'general aviation accidents']","['<title>Socio-technical probabilistic risk assessment: Its application to aviation maintenance</title> <excerpt>This article describes the process of socio-technical probabilistic risk assessment (ST-PRA). What makes ST-PRA an evolutionary step is that the entire risk model is made up of human errors and at-risk behaviors, attempting to model the as-is state of a predominantly human process. Where traditional PRA will generally model a technical system with some input of human errors (eg, THERP or WASH 1400; Kanki & Marx, 2004), the ST-PRA attempts to model human errors and human variations, where, given behavioral norms, 1 task can be performed many different ways within 1 risk model.</excerpt>', '<title>Identifying Human Factor Causes of Remotely Piloted Aircraft System Safety Occurrences in Australia</title> <excerpt>Remotely piloted aircraft are a fast-emerging sector of the aviation industry. Although technical failures have been the largest cause of accident occurrences for Remotely Piloted Aircraft Systems (RPASs), if they are to follow the path of conventionally crewed aviation, Human Factors (HFs) will increasingly contribute to accidents as the technology of RPASs improves. Examining an RPAS accident database from 2008–2019 for HF-caused accidents and coding to the Human Factors Analysis and Classification System (HFACS) taxonomy, an exploration of RPAS HFs is carried out and the predominant HF issues for RPAS pilots identified.</excerpt>', '<title>Structured methods for identifying and correcting potential human errors in space operations</title> <excerpt>Human performance plays a significant role in the development and operation of any complex system, and human errors are significant contributors to degraded performance, incidents, and accidents for technologies as diverse as medical systems, commercial aircraft, offshore oil platforms, nuclear power plants, and space systems. To date, serious accidents attributed to human error have fortunately been rare in space operations. However, as flight rates go up and the duration of space missions increases, the accident rate could increase unless proactive action is taken to identify and correct potential human errors in space operations.</excerpt>', '<title>Effect of HFACS and Non-HFACS-Related Factors on Fatalities in General Aviation Accidents Using Neural Networks</title> <excerpt>This study applied a backpropagation artificial neural network approach to investigate both the Human Factors Analysis and Classification System (HFACS)-related unsafe act tiers of factors and other non-HFACS factors in an attempt to recognize patterns for general aviation accident fatalities. Data were obtained from the HFACS database and extracted from the National Transportation Safety Board database from 1990 to 2002. Multiple neural network models were created and the best fit model was selected based on a sequence of criteria.</excerpt>', ""<title>Qualitative Analysis of General Aviation Pilots’ Aviation Safety Reporting System Incident Narratives Using the Human Factors Analysis and Classification System</title> <excerpt>NASA's Aviation Safety Reporting System (ASRS) gathers data from voluntary aviation safety reports for nonfatal accidents and incidents. These reports are a valuable resource in identifying unsafe occurrences and hazardous situations in the aviation industry. A tool known as the Human Factors Analysis and Classification System (HFACS), initially developed for military use, has proven useful for root cause analysis of human causes in aviation accidents and incidents, including in commercial contexts.</excerpt>""]"
1,35,1_circadian_circadian rhythms_time zone_jet lag,"['circadian', 'circadian rhythms', 'time zone', 'jet lag', 'time zone changes', 'time zones', 'transmeridian', 'long haul cabin', 'temperature rhythm', 'time cues']","[""<title>Circadian adaptation of airline pilots during extended duration operations between the USA and Asia</title> <excerpt>This study tracked circadian adaptation among airline pilots before, during, and after trips where they flew from Seattle (SEA) or Los Angeles (LAX) to Asia (7-9 time zones westward), spent 7-12d in Asia, and then flew back to the USA. In Asia, pilots' exposures to local time cues and sleep opportunities were constrained by duty (short-haul flights crossing 1 time zone/24h). Fourteen captains and 16 first officers participated (median age=56 versus 48 yrs, p.U)<0.001).</excerpt>"", '<title>Effects of 10 h time zone changes on female flight attendants’ circadian rhythms of body temperature, alertness, and visual search</title> <excerpt>The aim of the study was to analyse the effects of rapid time zone changes on the circadian rhythms of flight attendants. The mean age of the 40 female subjects was 30·0 (SD=6·9) years. Measurements of oral temperature, alertness, and visual search were performed at two hour intervals two days before the flight from Helsinki to Los Angeles, during the second and the fourth day in the USA and during the second and fourth day after the return flight to Finland.</excerpt>', '<title>Eastward long distance flights, sleep and wake patterns in air crews in connection with a two-day layover</title> <excerpt>The present study describes the spontaneous sleep/wake pattern in connection with an eastward (Stockholm to Tokyo, +8 h) transmeridian flight and short (51 h) layovers. To describe all sleep episodes and the recovery process across 4 days, and to relate adjustment to individual differences, 49 Scandinavian Airlines System (SAS) air crew were monitored for 9 days with activity monitors and sleep/wake diary before-during-after flight. The outbound flight involved a period of wakefulness extended to 21 h, frequently (87% of air crew) terminated by a long nap in Tokyo which was calm but difficult to wake up from.</excerpt>', '<title>Individual differences in phase shifts of the human circadian system and performance deficit.</title> <excerpt>At periodic intervals throughout the biological day, assessments were made for a week prior to intercontinental flight yielding a reference of biological time set to the environment of origin, for two weeks at the temporally displaced environment of destination, and for a week following return to the environment of origin. Assessments made included rectal temperature, heart rate, respiratory rate, palmar evaporative water loss, urinalysis, reaction time, decision time, critical flicker fusion, subjective fatigue and well-being, and intellectual facility. The intercontinental flights consisted of east-west and west-east flights which permitted a comparative analysis of bidirectional effects of time zone displacements and a north-south flight which provided an appraisal of effects solely attributable to prolonged flight.</excerpt>', ""<title>Circadian arrhythmia: Shiftwork, travel and health</title> <excerpt>There are many reasons why employees' working hours may come into conflict with the inherent (circadian) rhythms of their bodies. Vital services such as police, ambulance, hospitals, electricity must be maintained 24 hours a day; expensive equipment is more profitable if used continuously; machinery such as furnaces may be damaged if shut down.Work patterns which conflict with our circadian rhythms may produce fatigue, a tendency to make errors, accident-proneness, 'jet-lag' and perhaps ill health.Those most at risk are shiftworkers and aircrew: whilst the latter must cope with changing shift patterns and time-zone changes, the former are required to adapt to changes in work/sleep patterns against an environmental background disruptive to such an adaptation.More difficulties arise when we consider those with chronic health problems since employees on long-term medication may not be able to reconcile an unvarying drug regimen to an ever-changing work pattern. Furthermore, there is evidence that the potency of drugs may vary according to the time of administration.There is much to be learned about the health effects of shiftwork; here we review what is known.</excerpt>""]"
2,35,2_older pilots_age related_age flight_pilot age,"['older pilots', 'age related', 'age flight', 'pilot age', 'age 60', 'pilots age', 'aging pilot', 'exposure flight safety', 'interventions older pilots', 'redesign interventions older']","['<title>Intergenerational conflict at US airlines: an unresolved Oedipal Complex?</title> <excerpt>Purpose: The purpose of this paper is to investigate how, if at all, organizational dynamics changed at US airlines after an industry wide modification to mandatory retirement age regulations in 2007. Findings challenge assumptions that society, organizations, and employees will all unequivocally benefit from abolishing mandatory retirement by investigating the impact of age-related policy changes on US airline pilots. Design/methodology/approach: In total, 43 semi-structured interviews were conducted with captains and copilots from US airlines between September 2010 and July 2011.</excerpt>', '<title>Effects of age and flight exposure on flight safety performance: Evidence from a large cross-sectional pilot sample</title> <excerpt>Generally, flight experience protects against the effect of the normal aging process on pilots’ incident involvement, but some studies have shown a negative effect of flight hours on flight safety performance. The purpose of this study was to investigate the relationship between age, flight exposure, and flight safety performance in a large cross-sectional sample of commercial airline pilots (N = 1291). We examined the role that flight exposure plays in mediating age and flight safety performance, as well as the role that age plays in moderating flight exposure and flight safety performance in different age groups.</excerpt>', '<title>Quality of Life Trajectories Predict Mortality in Older Men: The Manitoba Follow-Up Study</title> <excerpt>Objective: To describe quality of life trajectories of older men over a 10-year time frame in mental and physical health domains, and to determine if these trajectories predict death over a subsequent 9-year period. Method: A cohort study of Royal Canadian Air Force aircrew veterans. We used Short Form–36 (SF-36) measures of mental and physical functioning collected prospectively at six time points between 1996 to 2006 (734 men with a mean age of 85.5 [SD 3.0] years in 2006) to determine trajectories.</excerpt>', '<title>The effect of pilot age on perceptions of pilot performance and attitudes toward the implementation of ergonomic redesign interventions for older pilots</title> <excerpt>As the workforce increasingly ages, it will be critical to find ways of accommodating the decrements in abilities that come with age. Finding accommodations will be of particular concern for occupations such as airline pilot, in which small errors may result in fatal accidents. This study examined the perceived performance of older pilots, if information on ergonomic redesign interventions had a significant effect on attitudes toward ergonomic redesign interventions for older pilots, and how perceived performance and type of information interacted to affect attitudes toward ergonomic redesign interventions for older pilots.</excerpt>', ""<title>Reasons for eliminating the 'age 60' regulation for airline pilots</title> <excerpt>The calendar age of 60 is no longer medically justifiable as an upper age limit for airline pilots. Advances in gerontologic studies, clinical medicine, and operational flight proficiency evaluations, now allow individual pilot assessments for health status and performance capability. Individualizing the career duration of pilots by eliminating the present age 60 upper limitation will enhance flight safety and efficiency as the highly qualified, experienced, and proficient older healthy pilots continue their productive careers..</excerpt>""]"
3,29,3_eye tracking_gaze_visual scanning_using eye,"['eye tracking', 'gaze', 'visual scanning', 'using eye', 'gaze patterns', 'using eye tracking', 'independent scene dependent', 'eye metrics', 'pilot monitoring', 'gaze behavior']","['<title>Systolic array architecture for steerable multibeam VHF wave-digital RF apertures</title> <excerpt>A 2-D massively parallel, high throughput, systolic array for a spatio-temporal wave-digital filter (WDF) architecture is proposed. RF receive mode aperture beam personalities are achieved using 2-D fan filters with dynamically steerable passband directions and fan angles. The wave-digital realization results in low sensitivity of the far-field beam to errors in filter coefficients due to fixed-point effects in the digital arithmetic hardware.</excerpt>', '<title>Relationships Between Pilot Gaze Patterns and Control Lapses in Challenging Instrument Approach Flight</title> <excerpt>Objective: This study investigates the link between pilot gaze patterns and control deviations during simulated instrument flight approaches, aiming to understand how attentional focus impacts flight safety. Background: Building on previous research that underscores the importance of situational awareness in aviation, this work delves into the specific aspects of gaze behavior as indicators of cognitive workload and attentional distribution. Unlike prior studies that broadly assessed attentional markers, this research utilizes advanced iris tracking technology to pinpoint how gaze metrics correlate with flight performance.</excerpt>', '<title>Designs and Algorithms to Map Eye Tracking Data with Dynamic Multielement Moving Objects</title> <excerpt>Design concepts and algorithms were developed to address the eye tracking analysis issues that arise when (1) participants interrogate dynamic multielement objects that can overlap on the display and (2) visual angle error of the eye trackers is incapable of providing exact eye fixation coordinates. These issues were addressed by (1) developing dynamic areas of interests (AOIs) in the form of either convex or rectangular shapes to represent the moving and shape-changing multielement objects, (2) introducing the concept of AOI gap tolerance (AGT) that controls the size of the AOIs to address the overlapping and visual angle error issues, and (3) finding a near optimal AGT value. The approach was tested in the context of air traffic control (ATC) operations where air traffic controller specialists (ATCSs) interrogated multiple moving aircraft on a radar display to detect and control the aircraft for the purpose of maintaining safe and expeditious air transportation.</excerpt>', ""<title>Mining attention distribution paradigm: Discover gaze patterns and their association rules behind the visual image</title> <excerpt>Background and Objective: Attention allocation reflects the way of humans filtering and organizing the information. On one hand, different task scenarios seriously affect human's rule of attention distribution, on the other hand, visual attention reflecting the cognitive and psychological process. Most of the previous studies on visual attention allocation are based on cognitive models, predicted models, or statistical analysis of eye movement data or visual images, however, these methods are inadequate to provide an inside view of gaze behavior to reveal the attention distribution pattern within scenario context.</excerpt>"", ""<title>Landing airplanes, detecting traffic, and the dark focus</title> <excerpt>Misjudgements of position in flight and failures to detect other airbone traffic are casualties of the eternal tug-of-war between visible texture and the pilot's dark focus. The eye is lazy and resists the pull of a distant stimulus, preferring to rest at relatively short focal distance, as it does in the dark or when looking at the sky. Judgements of apparent size are highly correlated with visual accomodation distance, and the difficulty of detecting airplanes on stationary collision courses is greatly aggravated when focus is trapped by structures close to the eyes.</excerpt>""]"
4,29,4_neurological aspects_aspects aviation medicine_aviation psychiatry_aspects aviation,"['neurological aspects', 'aspects aviation medicine', 'aviation psychiatry', 'aspects aviation', 'aviation medicine', 'neurological aspects aviation', 'board flight surgeons', 'special board flight', 'aircraft accident survivors', 'flight surgeon erectile']","['<title>The history of the united states navy flight surgeon/naval aviator program</title> <excerpt>Early in the history of aviation the need for a special kind of physician who could understand the physical and psychological problems encountered by flyers was well recognized. These physicians were called flight surgeons. In 1922, RADM W.</excerpt>', '<title>Preventing and Overcoming Psychological Problems in Retirement: (continued from page 87)</title> <excerpt>THE TREND of imported malaria cases in Italy from 1960 to 1988 is discussed. Comparative analysis of malaria incidence in the last three years is also presented. Since 1985, a rapid increase was recorded with 191 cases in a 1986, 287 in 1987 and 350 in 1988.</excerpt>', '<title>An orientation to aviation psychiatry with 30 case examples and a 10-year follow-up</title> <excerpt>This report orients general psychiatrists to assessment and care for “safety sensitive” aviation workers. Our case study of 30 sequential aviation patients consists of demographic, clinical, and aviation characteristics plus a 10-year follow-up. Relatively few pilots and other aviation workers self-identified their psychiatric condition.</excerpt>', '<title>Brief reactive psychosis in naval aviation</title> <excerpt>Five naval aviation personnel diagnosed with brief reactive psychosis (BRP) have appeared before the Special Board of Flight Surgeons (SBFS) at the Naval Aerospace Medical Institute (NAMI). These cases demonstrate the challenges in diagnosis and disposition that face the clinical aeromedical specialist in evaluating the aviator who develops psychiatric symptoms. We discuss the aeromedical factors that must be considered when contemplating returning aviators with psychiatric diagnoses to flying duties.</excerpt>', '<title>Psychiatric interventions with amnesic aircraft accident survivors</title> <excerpt>Aircraft accident survivors who later develop retrograde amnesia for the circumstances of their crashes present unique problems in terms of psychiatric treatment and valid accident investigation. The authors explore the complexities of treating such patients within the limitations of the present understanding of amnesic disorders and raise questions concerning medicolegal issues of informed consent, confidentiality, and validity of information recalled during the treatment process..</excerpt>']"
5,27,5_transfer training_training transfer_aviation training_flight simulators,"['transfer training', 'training transfer', 'aviation training', 'flight simulators', 'training devices', 'personal computer aviation', 'computer aviation training', 'computer aviation', 'aviation training devices', 'pilot training']","['<title>Transfer of Simulated Instrument Training to Instrument and Contact Flight</title> <excerpt>Identification of the specific contribution of training system variables (eg, simulator system components, training mixes, curriculum utilization strategies) will ultimately lead to more efficient training for all tasks. An interest in the acquisition of piloting skills has led a number of researchers to question the relative transfer of simulated instrument training to instrument and contact flight. In this study, we examined the transfer of simulated instrument training from Device 2F101, the operational flight trainer for the T-2C aircraft, to actual instrument and contact flight for level speed change and standard-rate turn maneuvers.</excerpt>', ""<title>Effectiveness of Ab Initio Flight Training Using Either Linked or Unlinked Primary-Axis Flight Controls</title> <excerpt>Twenty ab initio student pilots flew a scries of simulated approaches in either a linked or unlinked primary flight control configuration The results indicated that those pilots who performed the task in the unlinked configuration flew less smoothly than those in the linked condition and showed no evidence of skill acquisition, it is suggested that the physical linkage of the student's and instructor's primary flight controls is an important channel of communication that enhances skill development in trainee pilots. © 1995, Taylor & Francis Group, LLC. All rights reserved..</excerpt>"", '<title>The Future of Fighter Pilot Training? Live Virtual Constructive in Large Force Exercises: Perceived and Expected Training Value</title> <excerpt>Objective: This study investigates whether and how perceived training value varies among fighter pilots participating in a large force exercise (LFE), and whether they expect Live Virtual Constructive (LVC) training to enhance training value of future LFEs. Background: LVC technology is maturing but its expected training value is under-investigated, especially regarding future LVC in LFEs. Method: Fighter pilots at a Live-flying LFE answered questionnaires, 120 responses were analyzed statistically.</excerpt>', '<title>Application of a multifactor approach to transfer of training research</title> <excerpt>A multifactor, multicriterion transfer of training experiment involving a computer-generated horizontal tracking task was conducted to establish relationships among training and transfer scores for manual control of a maneuvering vehicle, to determine the response surfaces for training and transfer, and to demonstrate a new transfer research paradigm that makes economically feasible the simultaneous investigation of the effects of a large number of training-equipment and use variables on transfer to multiple-criterion vehicle configurations. There were 80 experimental participants, 48 of whom were trained and tested on individually unique combinations of training and transfer conditions. This study measures the training and transfer effects of as many as six training equipment and use factors in a single experiment, to examine as many as 25 training-vehicle configurations in the same experiment, to train a single individual on each of 48 training conditions, to employ multiple (3) transfer vehicle configurations, and to provide data suitable for deriving multiple-regression equations for estimating the transfer effectiveness of configurations not directly studied.; A multifactor, multicriterion transfer of training experiment involving a computer-generated horizontal tracking task was conducted to establish relationships among training and transfer scores for manual control of a maneuvering vehicle, to determine the response surfaces for training and transfer, and to demonstrate a new transfer research paradigm that makes economically feasible the simultaneous investigation of the effects of a large number of training-equipment and use variables on transfer to multiple-criterion vehicle configurations.</excerpt>', ""<title>Personal Computer Aviation Training Devices: Their Effectiveness for Maintaining Instrument Currency</title> <excerpt>This study examined the effectiveness of personal computer aviation training devices (PCATDs) for maintaining the Federal Aviation Administration's instrument-currency requirement. One hundred and six instrument-current pilots received an instrument proficiency check (IPC) and were assigned equally to 3 independent training groups (aircraft, flight training device [FTD], and PC AID) and to a control group who received no training. The 3 training groups received recurrent training in their respective devices over the course of a 6-month period, following which all 4 groups received a second IPC.</excerpt>""]"
6,25,6_pilot workload_task load index_task load_subjective workload,"['pilot workload', 'task load index', 'task load', 'subjective workload', 'workload flight', 'observed workload', 'continuous descent operations', 'workload experienced', 'nasa task load', 'workload conditions']","['<title>Design Factors of Guiding Aircraft Through Continuous Descent Operations: Pilot and Controller Perspectives</title> <excerpt>Objective: This survey identifies the design factors needed to guide aircraft through continuous descent operation (CDO) procedures. Background: Three possible alternatives for CDO at Taoyuan International Airport (TPE) in Taiwan are presented: (a) open path-radar vectoring-based CDO, (b) open path-time control-based CDO, and (c) open path procedure permitting CDO to downwind. Method: One hundred and twenty surveys were distributed and 61 pilots and 49 controllers responded.</excerpt>', ""<title>Subjective stress assessment: a new, simple method to determine pilot workload</title> <excerpt>Charged with the preparation of an expert opinion concerning psychophysical workload on pilots, the Aviation Psychology Branch of the GAF/IAM studied the 'Subjective Stress Assessment' in which 217 Army, Air Force and Navy pilots filled in a standardized questionnaire. This questionnaire included 170 items to force the pilots into rating their on- and off-duty life; the answers of these people (117 jet, 41 multiple-prop, 14 single-engine, and 45 helicopter pilots) were evaluated quantitatively and qualitatively It may be said - with all reservations towards subjectivity of pilots' opinions - that the pilots' image certainly requires some corrections, in particular as it relates to the ideal and material assessment of the activities of the separate groups of jet, helicopter, and prop pilots. It was the purpose of the study to show that the evaluation of pilots' workload by means of subjective interviews is a valuable method, aside from the assessment of difficulty of tasks by experts, aside from registration and evaluation of certain physiological parameters, and aside from the application of the Second-Task-Method-Registration..</excerpt>"", '<title>Some Measurement and Methodological Considerations in the Application of Subjective Workload Measurement Techniques</title> <excerpt>Previous research with the NASA Task Load Index (TLX) and the Subjective Workload Assessment Technique (SWAT) has demonstrated their sensitivity to variations in workload under flight and other complex work conditions but has not addressed some important measurement and methodological issues regarding their application. This article reviews data that address several such issues including the effects of delayed workload ratings, the effects of previous workload levels on ratings, and procedures used to combine subscale ratings into one overall estimate of subjective workload. © 1995, Taylor & Francis Group, LLC.</excerpt>', '<title>On the measurement of pilot perceptual workload: A comparison of assessment techniques addressing sensitivity and intrusion issues</title> <excerpt>A flight simulator-based study was conducted to examine fourteen distinct mental workload estimation measures, including opinion, secondary task, physiological, and primary task measures. Both the relative sensitivity of the measures to changes in mental workload and the differential intrusion of the changes on primary task performance were assessed. The flight task was varied in difficulty by manipulation of the presentation rate and complexity of a hazard-perception task that required each of 48 licensed pilots to rely heavily on their perceptual abilities.</excerpt>', '<title>Fuzzy-TLX: Using fuzzy integrals for evaluating human mental workload with NASA-Task Load indeX in laboratory and field studies</title> <excerpt>The aim of this study was to assess mental workload in which various load sources must be integrated to derive reliable workload estimates. We report a new algorithm for computing weights from qualitative fuzzy integrals and apply it to the National Aeronautics and Space Administration -Task Load indeX (NASA-TLX) subscales in order to replace the standard pair-wise weighting technique (PWT). In this paper, two empirical studies were reported: (1) In a laboratory experiment, age- and task-related variables were investigated in 53 male volunteers and (2) In a field study, task- and job-related variables were studied on aircrews during 48 commercial flights.</excerpt>']"
7,24,7_automation_deck automation_flight deck automation_cockpit automation,"['automation', 'deck automation', 'flight deck automation', 'cockpit automation', 'automation surprises', 'automated aircraft', 'automation interaction', 'autopilot', 'models b737', 'flight deck']","['<title>Analysing human activity development through (work)spaces in a human-centered design project for commercial airline pilots</title> <excerpt>Purpose: The purpose of this paper conducts a co-design framework, thanks to different kinds of interviews with expert pilots in different space contexts for each stage of the technical development of the system. Design/methodology/approach: To speak about the question of “spaces” and especially spaces in the design process, this paper is focussed on the transdisciplinary design research for commercial airline pilots. This design research combined a “Human-Centred Design” approach (Boy, 2015) with an occupational psychology, including a “Clinic of Activity” perspective (Kloëtzer et al, 2016).</excerpt>', '<title>Sharing the burden of flight deck automation training</title> <excerpt>Flight deck automation has generated new training requirements, most of which have been absorbed by in-house airline training, in particular, aircraft transition training. This leaves little room for learning about how human roles have shifted in automated cockpits or how the distinction between technical and nontechnical skills has become blurred when managing the flight path of an automated aircraft. This article explores how overall pilot training quality, efficiency, and effectiveness would benefit from pulling automation training forward into the pilot training curriculum, reducing the burden carried mainly by transition training today.</excerpt>', '<title>Anthropomorphic AI: Sociopathic AI Features as Predictors of Career Opportunities and Threats Perceived by Pilots in Commercial Aviation</title> <excerpt>Objective: The study aims to investigate how anthropomorphic, particularly sociopathic, features ascribed to AI affect commercial pilots’ perceptions of career threats, opportunities, and performance benefits of AI integration in the cockpit. Background: Although technology has long been an irreplaceable, valuable ally for airline pilots, artificial intelligence (AI) differs significantly from previously used technologies and pilots perceive AI not only as a tool but as an agent with human-like attributes. These anthropomorphic perceptions shape their career-related attitudes, especially as AI’s cognitive capabilities and ethical limitations challenge pilot identity.</excerpt>', '<title>Design of a Primary Flight Display to Avoid Decelerating below the Minimum Safe Operating Speed</title> <excerpt>Analysis of recent airliner accidents and incidents identified a class of events in which structurally, mechanically, and electronically sound aircraft decelerated through the minimum safe operating speed for the phase of flight to the stick-shaker activation speed. Despite the differences in the sequences of events, a subset of the incidents and accidents had one thing in common - the automation was no longer actively controlling to the airspeed target. This article describes the accident scenarios and design of a modification to the airspeed tape on the primary flight display to explicitly annunciate the absence of active speed control.</excerpt>', '<title>National culture and flight Deck automation: Results of a multination survey</title> <excerpt>Attitudes regarding flight deck automation were surveyed in a sample of 5,879 airline pilots from 12 nations. The average difference in endorsement levels across 11 items for pilots flying automated aircraft in 12 nations was 53%, reflecting significant national differences in attitudes on all items, with the largest differences observed for preference and enthusiasm for automation. The range of agreement across nations was on average four times larger than the range of agreement across different airlines within the same nation, and roughly six times larger than the range across pilots of standard and pilots of automated aircraft.</excerpt>']"
8,23,8_radiation_space medicine_space station_space flight,"['radiation', 'space medicine', 'space station', 'space flight', 'nasa', 'space radiation', 'spacelab', 'cosmic radiation', 'international space station', 'international space']","['<title>A Year on the International Space Station: Implementing a long-duration biomedical research mission</title> <excerpt>INTRODUCTION: The year-long mission of American astronaut Scott Kelly and Russian cosmonaut Mikhail Kornienko included the most complex biomedical experiments ever conducted on the International Space Station-and arguably in human spaceflight-to establish insight into human health risks of interplanetary exploration. Focusing on risk mitigation, NASA conducted investigations that addressed spaceflight health hazards to varying degrees. This pilot mission was initiated to gain further knowledge and monitor the physiological, psychological, and medical effects of long-duration exposure to spaceflight.</excerpt>', '<title>GeMini: A High-Resolution, Low-Resource, Gamma-Ray Spectrometer for Planetary Science Applications</title> <excerpt>GeMini is a high-resolution gamma-ray spectrometer designed for planetary-science exploration. GeMini serves as the basis for instruments being flown on three upcoming deep-space missions: NASA’s mission to the M-class asteroid (16) Psyche, the Japan Aerospace Exploration Agency sample-return mission to the moons of Mars, and NASA’s Dragonfly mission that will land on Saturn’s largest moon, Titan. These science missions require high-resolution spectroscopy in a low-power, low-mass, rugged design that can survive in a variety of environments.</excerpt>', '<title>Status of cardiovascular issues related to space flight: Implications for future research directions</title> <excerpt>Compromised cardiovascular performance, occurrence of serious cardiac dysrhythmias, cardiac atrophy, orthostatic intolerance, reduced aerobic capacity, operational impacts of regular physical exercise, and space radiation are risks of space flight to the cardiovascular system identified in the 2007 NASA Human Integrated Research Program. An evidence-based approach to identify the research priorities needed to resolve those cardiovascular risks that could most likely compromise the successful completion of extended-duration space missions is presented. Based on data obtained fromastronauts who have flown in space, there is no compelling experimental evidence to support significant occurrence of autonomic or vascular dysfunction, cardiac dysrhythmias, or manifestation of asymptomatic cardiovascular disease.</excerpt>', ""<title>The use of medicaments in space--therapeutic measures and potential impact of pharmacokinetics due to weightlessness.</title> <excerpt>In support of the preparatory programme for the European manned space infrastructure, the Long-Term Programme Office (LTPO) within ESA's Space Station and Microgravity Directorate initiated a series of studies aimed at a better understanding of the physiological and psychological aspects of living in space. In this context, in 1991 MEDES (Institut de medecine et physiologie spatiale) was contracted by the Agency to investigate the type and efficacy of drugs available for use by astronauts during space missions to counteract the effects of weightlessness or for medical treatments. This paper summarises the main outcome of this research, in the context of the so-called 'Pharmemsi Study'.</excerpt>"", '<title>Monitoring antioxidant defenses and free radical production in space-flight, aviation and railway engine operators, for the prevention and treatment of oxidative stress, immunological impairment, and pre-mature cell aging</title> <excerpt>Degenerative diseases, immune impairment, and premature ageing commonly affect professional categories exposed to severe environmental and psychological stress. Among these, cosmonauts routinely experience extreme conditions due to microgravity, space radiation, altered oxygen supply, physical and mental fatigue during training, spaceflight, and post-flight. Long route aviation pilots display elevated oncogenic risk, connected with cosmic radiation overexposure, and high mortality rates for cardiovascular causes.</excerpt>']"
