Topic,Count,Name,Representation,Representative_Docs
-1,470,-1_aerospace_leadership_ability_mental workload,"['aerospace', 'leadership', 'ability', 'mental workload', 'spaceflight', 'flight deck', 'skill acquisition', 'situation awareness', 'aerospace medicine', 'spatial ability']","[""<title>A study on the student pilot's mental workload due to personality types of both instructor and student</title> <excerpt>The main purpose of this paper is to provide the ideal flight crew combination for instructor and student pilots in order to enhance the flight training effects based on Myers Briggs Type Indicator (MBTI) theory. In addition to personality, various levels of flight difficulty are considered in order to investigate their potential interaction effect in terms of student pilots' mental workload measured in heart rate, altitude deviation, NASA-TLX (Task Load Index) and subjective degree of personality harmony.</excerpt>"", '<title>Mood as a predictor of discharge from air force basic training</title> <excerpt>In order to determine the predictive validity of the Total Mood score, the Negative Mood Scale, and the Positive Mood Scale of the ST-Depression Adjective Check Lists (ST-DACL), the state version of lists C and D of the ST-DACL was administered on the second day of the Air Force basic training program to 229 newly enlisted Air Force recruits (men = 113; women = 116). Findings were that DACL total score yielded the best overall classification rate, the Positive Mood Scale was most related to predicting eventual discharge, and the Negative Mood Scale was best at predicting graduation..</excerpt>', ""<title>Third-culture kid pilots and multi-cultural identity efects on pilots' attitudes</title> <excerpt>IP: 103.3.231.66 On: Thu, 09 Jan 2020 04:17:02 Copyright: Aerospace Medical Association BACKGROUND: Current attempts to culturally tailor human factors training in aviation segregates cultural identities based on geopoliti- cal, passport nationality, and is therefore poorly suited for (adult) 'Third Culture Kids' (TCKs) whose cross-cultural upbringing has led to the development of multicultural individual identities that do not relect their passport nationali- ties. In this study, respondents' self-categorization of personal cultural identity, as opposed to passport nationality, was used to determine whether there were cultural diferences in airline pilots' behaviors.</excerpt>"", '<title>Cognitive and Noncognitive Determinants and Consequences of Complex Skill Acquisition</title> <excerpt>Integration of multiple perspectives on the determinants of individual differences in skill acquisition is provided by examination of a wide array of predictors: ability (spatial, verbal, mathematical, and perceptual speed), personality (neuroticism, extroversion, openness, conscientiousness, and agreeableness), vocational interests (realistic and investigative), self-estimates of ability, self-concept, motivational skills, and task-specific self-efficacy. Ninety-three trainees were studied over the course of 15 hr (across 2 weeks) of skill acquisition practice on a complex, air traffic controller simulation task (Terminal Radar Approach Controller; TRACON; Wesson International; Austin, TX).</excerpt>', '<title>Psychological and behavioral health issues of long-duration space missions.</title> <excerpt>It will be the responsibility of the long-duration space flight crew to take the actions necessary to maintain their health and well-being and to cope with medical emergencies without direct assistance from support personnel, including maintaining mental health and managing physiological and psychological changes that may impair decision making and performance. The Behavior and Performance Integrated Product Team at Johnson Space Center, working within the Space Medicine, Monitoring, and Countermeasures Program, has identified critical questions pertaining to long-duration space crew behavioral health, psychological adaptation, human factors and habitability, and sleep and circadian rhythms.</excerpt>']"
0,65,0_transfer training_aviation training_training transfer_flight training,"['transfer training', 'aviation training', 'training transfer', 'flight training', 'pilot training', 'ab initio pilot', 'flight simulators', 'personal computer aviation', 'computer aviation training', 'ab initio flight']","['<title>Modelling Pilot Decisions During One Engine Inoperative in Maritime SAR Helicopter Hoist Task: RPDM and PCM</title> <excerpt>This paper undertakes a comprehensive examination of pilot decision-making in response to a single-engine failure during maritime search and rescue (SAR) helicopter hoist tasks, employing two distinct decision models–namely, RPDM and PCM. The primary goal of this research is to assess the strengths and weaknesses of each model in accounting for the decision-making processes involved in this critical scenario.</excerpt>', '<title>Considerations for training team situation awareness and task performance through PC-gamer simulated multiship helicopter operations</title> <excerpt>In this research, we considered the development and implementation of a Targeted Acceptable Response to Generated Events or Tasks methodology (Fowlkes, Dwyer, Oser, & Salas, 1998; Fowlkes, Lane, Salas, Franz, & Oser, 1994) for training of intercockpit team situational awareness and task performance. Additionally, we considered the usability and suitability of a PC-gamer approach for simulation of multiship helicopter operations.</excerpt>', ""<title>Personal Computer Aviation Training Devices: Their Effectiveness for Maintaining Instrument Currency</title> <excerpt>This study examined the effectiveness of personal computer aviation training devices (PCATDs) for maintaining the Federal Aviation Administration's instrument-currency requirement. One hundred and six instrument-current pilots received an instrument proficiency check (IPC) and were assigned equally to 3 independent training groups (aircraft, flight training device [FTD], and PC AID) and to a control group who received no training.</excerpt>"", ""<title>Effectiveness of Ab Initio Flight Training Using Either Linked or Unlinked Primary-Axis Flight Controls</title> <excerpt>Twenty ab initio student pilots flew a scries of simulated approaches in either a linked or unlinked primary flight control configuration The results indicated that those pilots who performed the task in the unlinked configuration flew less smoothly than those in the linked condition and showed no evidence of skill acquisition, it is suggested that the physical linkage of the student's and instructor's primary flight controls is an important channel of communication that enhances skill development in trainee pilots. © 1995, Taylor & Francis Group, LLC.</excerpt>"", '<title>Application of a multifactor approach to transfer of training research</title> <excerpt>A multifactor, multicriterion transfer of training experiment involving a computer-generated horizontal tracking task was conducted to establish relationships among training and transfer scores for manual control of a maneuvering vehicle, to determine the response surfaces for training and transfer, and to demonstrate a new transfer research paradigm that makes economically feasible the simultaneous investigation of the effects of a large number of training-equipment and use variables on transfer to multiple-criterion vehicle configurations. There were 80 experimental participants, 48 of whom were trained and tested on individually unique combinations of training and transfer conditions.</excerpt>']"
1,57,1_motion sickness_airsickness_motion sickness susceptibility_visually induced,"['motion sickness', 'airsickness', 'motion sickness susceptibility', 'visually induced', 'optokinetic', 'seasickness', 'visually induced motion', 'induced motion', 'induced motion sickness', 'autogenic feedback']","['<title>Effect of sickness severity on habituation to repeated motion challenges in aircrew referred for airsickness treatment</title> <excerpt>The aim of this study was to determine whether varying the predetermined malaise level at which provocative motion challenges were stopped would affect the habituation rate. At the rate of 2 per day, 21 motion challenges were delivered, stopping either at initial symptoms or at moderate nausea, on a cross-over design randomized between subjects (n = 20).</excerpt>', '<title>Autogenic feedback training exercise: A treatment for airsickness in military pilots</title> <excerpt>In this article, we present physiological data from 2 male pilots who completed a 6-hr training program for control of motion sickness at National Aeronautic and Space Administration Ames Research Center. The program consisted of an Autogenic Feedback Training Exercise in which research participants learn through operant conditioning techniques to regulate several physiological responses to suppress their symptoms.</excerpt>', '<title>Sea Voyage Training and Motion Sickness Effects on Working Ability and Life Quality After Landing</title> <excerpt>BACKGROUND: The effects of seasickness on working performance during motion exposure have been reported, while the aftereffects on working ability and life quality decline (WLD) still remain unclarified. METHODS: Two cohorts of healthy male Chinese subjects received either a single (SSV) or repeated (RSV) sea voyage training program on different vessels.</excerpt>', '<title>The effect of autogenic training and biofeedback on motion sickness tolerance</title> <excerpt>Background: Motion sickness is characterized by symptoms of vomiting, drowsiness, fatigue and idiosyncratic changes in autonomic nervous system (ANS) responses such as heart rate (HR) and skin temperature (ST). Previous studies found that symptoms of motion sickness are controllable through self- regulation of ANS responses and the best method to teach such control is autogenic-feedback (biofeedback) training.</excerpt>', '<title>Some psychological correlates of motion sickness susceptibility</title> <excerpt>Four groups of 37 subjects each (highly susceptible men, highly susceptible women, nonsusceptible men, and nonsusceptible women) were obtained from a population of 2,432 college students ranging in age from 18 to 39 years. Susceptibility to motion sickness was determined by scores on a motion sickness questionnaire (MSQ); only individuals with extreme scores were considered for inclusion in the experimental groups.</excerpt>']"
2,33,2_circadian_circadian rhythms_time zone_jet lag,"['circadian', 'circadian rhythms', 'time zone', 'jet lag', 'time zone changes', 'time zones', 'long haul cabin', 'transmeridian flights', 'rapid time zone', 'rapid time']","['<title>Predicting jet lag in long-haul cabin crew: The role of illness cognitions and behaviour</title> <excerpt>Objective: Established risk factors for jet lag are mostly physiological including circadian preference, age, gender, the number of flight zones crossed and to some extent direction of travel. Some research has also highlighted a role for psychosocial factors including sleep, diet and ‘circadian’ health behaviours and illness cognitions although this remains relatively untested.</excerpt>', ""<title>Circadian adaptation of airline pilots during extended duration operations between the USA and Asia</title> <excerpt>This study tracked circadian adaptation among airline pilots before, during, and after trips where they flew from Seattle (SEA) or Los Angeles (LAX) to Asia (7-9 time zones westward), spent 7-12d in Asia, and then flew back to the USA. In Asia, pilots' exposures to local time cues and sleep opportunities were constrained by duty (short-haul flights crossing 1 time zone/24h).</excerpt>"", '<title>Eastward long distance flights, sleep and wake patterns in air crews in connection with a two-day layover</title> <excerpt>The present study describes the spontaneous sleep/wake pattern in connection with an eastward (Stockholm to Tokyo, +8 h) transmeridian flight and short (51 h) layovers. To describe all sleep episodes and the recovery process across 4 days, and to relate adjustment to individual differences, 49 Scandinavian Airlines System (SAS) air crew were monitored for 9 days with activity monitors and sleep/wake diary before-during-after flight.</excerpt>', '<title>Individual differences in phase shifts of the human circadian system and performance deficit.</title> <excerpt>At periodic intervals throughout the biological day, assessments were made for a week prior to intercontinental flight yielding a reference of biological time set to the environment of origin, for two weeks at the temporally displaced environment of destination, and for a week following return to the environment of origin. Assessments made included rectal temperature, heart rate, respiratory rate, palmar evaporative water loss, urinalysis, reaction time, decision time, critical flicker fusion, subjective fatigue and well-being, and intellectual facility.</excerpt>', ""<title>Circadian arrhythmia: Shiftwork, travel and health</title> <excerpt>There are many reasons why employees' working hours may come into conflict with the inherent (circadian) rhythms of their bodies. Vital services such as police, ambulance, hospitals, electricity must be maintained 24 hours a day; expensive equipment is more profitable if used continuously; machinery such as furnaces may be damaged if shut down.Work patterns which conflict with our circadian rhythms may produce fatigue, a tendency to make errors, accident-proneness, 'jet-lag' and perhaps ill health.Those most at risk are shiftworkers and aircrew: whilst the latter must cope with changing shift patterns and time-zone changes, the former are required to adapt to changes in work/sleep patterns against an environmental background disruptive to such an adaptation.More difficulties arise when we consider those with chronic health problems since employees on long-term medication may not be able to reconcile an unvarying drug regimen to an ever-changing work pattern.</excerpt>""]"
3,32,3_human automation_airspace cognitive_automation_cognitive architecture,"['human automation', 'airspace cognitive', 'automation', 'cognitive architecture', 'cognitive modeling', 'soar cognitive architecture', 'cognitive task analysis', 'cognitive complexity', 'human operator', 'automation interaction']","['<title>FLDQN: Cooperative Multi-Agent Federated Reinforcement Learning for Solving Travel Time Minimization Problems in Dynamic Environments Using SUMO Simulation</title> <excerpt>The increasing volume of traffic has led to severe challenges, including traffic congestion, heightened energy consumption, increased air pollution, and prolonged travel times. Addressing these issues requires innovative approaches for optimizing road network utilization.</excerpt>', '<title>Using computational cognitive modeling to diagnose possible sources of aviation error</title> <excerpt>We present a computational model of a closed-loop, pilot-aircraft-visual scene-taxiway system created to shed light on possible sources of taxi error. The creation of the cognitive aspects of the model with ACT-R (Adaptive Control of Thought-Rational) required us to conduct studies with subject matter experts to identify the experiential adaptations pilots bring to taxiing.</excerpt>', '<title>XGate: Explainable Reinforcement Learning for Transparent and Trustworthy API Traffic Management in IoT Sensor Networks</title> <excerpt>The rapid proliferation of Internet of Things (IoT) devices and their associated application programming interfaces (APIs) has significantly increased the complexity of sensor network traffic management, necessitating more sophisticated and transparent control mechanisms. In this paper, we introduce XGate, a novel explainable reinforcement learning framework designed specifically for API traffic management in sensor networks.</excerpt>', '<title>The airspace as a cognitive system</title> <excerpt>The theme for this special issue, the airspace as a cognitive system, stimulates these questions: What is a cognitive system and in what sense can we characterize the airspace as a cognitive system? I discuss these questions by reviewing ideas promoted in discussions of distributed cognition. I conclude that this notion of the airspace as a cognitive system offers considerable leverage for addressing the anticipated design challenges in airspace systems but that we need to avoid the distortions engendered by the pervasive techno-centric emphasis in systems design in favor of a human-focused emphasis that will aid development of robust and effective systems.</excerpt>', '<title>Cognitive evaluation of human-human and human-machine cooperation modes in air traffic control</title> <excerpt>An experiment is described that aimed at evaluating a principle of dynamic task allocation (DTA) of conflict resolution between aircraft in air-traffic control on a large scale simulator. It included three cognitive agents: the radar controller (RC), in charge of conflict detection and resolution; the planning controller (PC), in charge of entry-exit coordination and of workload regulation; and a conflict resolution computer system (SAINTEX), able to manage only simple conflicts.</excerpt>']"
4,31,4_psychology program_aviation psychology program_army air forces_aviation psychology,"['psychology program', 'aviation psychology program', 'army air forces', 'aviation psychology', 'psychology program army', 'aaf aviation', 'aaf aviation psychology', 'activities psychological', 'research activities psychological', 'aeromedical psychology']","['<title>Psychological Research in Aviation in Italy, France, England, and the American Expeditionary Forces</title> <excerpt>Psychology well needs to thank its stars that the World War came, and that it brought demands, situations, problems, apparatus, contacts of national and international scope, herds of men gathered together, and dynamic interest in technical and practical pursuits of a psychological nature. Reference is here being made most specifically to the reaction-time experiment for one, salvaged by the workers on aviation problems.</excerpt>', '<title>History, organization and research activities, Psychological Research Project (Navigator), Army Air Forces</title> <excerpt>The ninth in a series of reports describing the Aviation Psychology Program of the Army Air Forces, this article covers the work of the application of psychological and statistical techniques to research in navigation. It deals with the following points: (1) objective measures of skill in navigation; (2) research in training; (3) research on the selection of instructors; and (4) work in the Navigation Schools.</excerpt>', '<title>History, organization, and research activities, Psychological Test Film Unit, Army Air Forces</title> <excerpt>The history, organization, personnel and research activities of the Unit at the Santa Ana Army Air Base, Santa Ana, California, are presented. The following topics are also discussed: (1) hypotheses adopted for perceptual test development, (2) techniques employed in test construction, and (3) test construction.</excerpt>', ""<title>Some lasting consequences of US Psychology Programs in World Wars I and II</title> <excerpt>Applied research in psychology not only has contributed directly to societal advances but often has fostered basic research as well. Prominent examples are die programs directed by Yerkes in World War I to develop the Army Alpha test and several programs in World War II, including The American Soldier diat assessed soldiers' attitudes during the war; a program for selecting agents for the Office of Strategic Services; and the Aviation Psychology Program to select and classify applicants for flight training in the Army Air Forces.</excerpt>"", '<title>Psychological activities in the Training Command, Army Air Forces</title> <excerpt>The development of the Aviation Psychology Program in the AAF Training Command since an earlier report in 1943 (see 18: 1497) is treated, consisting largely of a report of the activities of the Psychological Section, Medical Division, Headquarters, AAF Training Command. The report is made under the following headings: mission of the section; organization and personnel; supervision of classification testing and processing; maintenance of basic data; development and validation of devices for predicting aircrew success; application of the classification test battery to other groups; training research problems; special research studies; publications; and prospectus.</excerpt>']"
5,31,5_counseling_aircraft accidents_aircraft accident_emotional blocking,"['counseling', 'aircraft accidents', 'aircraft accident', 'emotional blocking', 'aircraft accidents emotional', 'accidents emotional', 'following non fatal', 'flying accidents', 'disasters', 'military aircraft']","['<title>Counseling of emotional blocking in an aviator</title> <excerpt>This is a case report of counseling which revealed the cause of emotional blocking of a failing pilot trainee and enabled him to cope with the repressed and displaced father-hatred. Although ""washed out"" soon after counseling started, the boy has adjusted as an aviation machinist\'s mate and is now more likely to succeed as a pilot when he gets another chance.</excerpt>', '<title>The aggressive ward visitor: a critical incident analysis.</title> <excerpt>Since its conception by the aviation psychologist Flanagan the critical incident technique has been used in nursing studies to investigate many aspects of nursing practice. While its use as a nursing research tool and a classroom teaching aid have been discussed, little has been written on the use of the technique for individual reflection for those doing post-registration courses.</excerpt>', ""<title>Dare to Fly? Analyzing psychological reactions and travel attitudes of Chinese social media users post-aviation accidents through text mining</title> <excerpt>Background: Commercial air travel is essential to modern society, but aviation accidents can have profound psychological impacts. The public's emotional responses and attitudes toward air travel are shaped by factors such as the severity of the incident and its social repercussions.</excerpt>"", '<title>Psychological safety in aviation new product development teams: Case study of 737 max airplane</title> <excerpt>The goal of current study is to discern the antecedents of two airplane accidents involving the Boeing MAX 737. The theory of normal accidents serves as a lens to comprehend the hazard stemming from MAX design with dissonance between two critical systems: engine propulsion and flight control.</excerpt>', '<title>Community psychological effects following a non-fatal aircraft accident</title> <excerpt>Following a non-fatal military aircraft accident, two of the authors interviewed the crewmen involved in the accident, their spouses, fellow squadron members and their spouses, and individuals from the fire crew and control tower on duty during the accident. A total of 37 respondents completed questionnaires which reported the presence of intrusive, avoidant, depressive/anxious, and post-traumatic stress symptoms.</excerpt>']"
6,27,6_work related stress_related stress_related stress wrs_stress wrs,"['work related stress', 'related stress', 'related stress wrs', 'stress wrs', 'stress coping', 'pilots cope', 'coping strategies', 'psychosocial stress', 'airline pilots', 'stress coping styles']","['<title>Interventions to support the management of work-related stress (WRS) and wellbeing/mental health issues for commercial pilots</title> <excerpt>Research indicates that sources of work-related stress (WRS) impact on the physical, social, and psychological health of pilots. Furthermore, specific features of the job can increase a pilot’s risk in relation to developing a mental health (MH) issue.</excerpt>', '<title>The Effect of Role Stress and Emotional Exhaustion on Well-being Among Pilots: The Moderating Effect of Leisure Participation</title> <excerpt>Background: Since the flight safety accident of Germanwings Airlines and the spread of the COVID-19 epidemic have happened in recent years, the mental state of civil aviation pilots has paid much attention. The work of civil aviation pilots has to face pressure from families, individuals, companies and other multi-faceted sources.</excerpt>', '<title>Occupational and psychosocial stress among commercial aviation pilots</title> <excerpt>The sources of occupational and domestic stress, together with life events and coping strategies, were assessed in terms of their influence on job dissatisfaction, mental health, and performance among a group of 442 commercial airline pilots. It was found that self-perceived poor performance was associated with job-related factors such as fatigue and anxiety about required courses, performance checks, and insufficient flying time, particularly among older pilots.</excerpt>', '<title>Can family-work conflict influence safety behavior in airline pilots? The mediating role of fatigue and the moderating role of extraversion</title> <excerpt>Airline pilot safety behavior is vital to inflight safety. Drawing upon the conservation of resources theory, this study examined whether family-work conflict (FWC) would influence airline pilot safety behavior, whether fatigue would mediate the link between FWC and safety behavior, and whether extraversion would play a moderating role in the relationships.</excerpt>', '<title>Sources of stress affecting pilot judgment.</title> <excerpt>The initial stages of our research on the effects of the overassessment or underassessment of the consequences of nonroutine events (a potentially important factor in decision-making by pilots) is described. Critical difficulties in the measurement of life stress are discussed and a partial solution is suggested in the form of the Life Events Questionnaire (LEQ), an instrument on which individuals report the nature of stressful events, when they happened, and how much they concern them at the time of testing.</excerpt>']"
7,25,7_aspects aviation medicine_aspects aviation_aviation medicine_flight psychiatric,"['aspects aviation medicine', 'aspects aviation', 'aviation medicine', 'flight psychiatric', 'flight psychiatric emergencies', 'aviation psychiatry', 'neurological aspects aviation', 'surgeon erectile dysfunction', 'flight surgeon erectile', 'aircraft accident survivors']","['<title>In-flight psychiatric emergencies</title> <excerpt>Background: Although studies have been published regarding airline in-flight medical emergencies, there is a lack of any specific studies about in-flight psychiatric emergencies. This study seeks to ascertain the incidence of in-flight psychiatric emergencies, their associated factors, and outcomes.</excerpt>', '<title>The history of the united states navy flight surgeon/naval aviator program</title> <excerpt>Early in the history of aviation the need for a special kind of physician who could understand the physical and psychological problems encountered by flyers was well recognized. These physicians were called flight surgeons.</excerpt>', '<title>Becoming a flight surgeon</title> <excerpt>This text is the inaugural lesson given by the Professor of Aeronautic Psychiatry and starts the training period for new flight surgeons in the French Air Force. Introducing the French Air Force Medicine Training Session, the author speaks about the psychological aspects in aviation medicine.</excerpt>', '<title>An orientation to aviation psychiatry with 30 case examples and a 10-year follow-up</title> <excerpt>This report orients general psychiatrists to assessment and care for “safety sensitive” aviation workers. Our case study of 30 sequential aviation patients consists of demographic, clinical, and aviation characteristics plus a 10-year follow-up.</excerpt>', '<title>Psychiatric interventions with amnesic aircraft accident survivors</title> <excerpt>Aircraft accident survivors who later develop retrograde amnesia for the circumstances of their crashes present unique problems in terms of psychiatric treatment and valid accident investigation. The authors explore the complexities of treating such patients within the limitations of the present understanding of amnesic disorders and raise questions concerning medicolegal issues of informed consent, confidentiality, and validity of information recalled during the treatment process..</excerpt>']"
8,24,8_traffic control specialist_specialist atcs_control specialist atcs_atcs trainees,"['traffic control specialist', 'specialist atcs', 'control specialist atcs', 'atcs trainees', 'traffic control specialists', 'air traffic controller', 'traffic controller', 'traffic controller atco', 'controller atco', 'combat controller']","['<title>Personality makeup of the American air traffic controller</title> <excerpt>Based on scores from the Sixteen Personality Factor Questionnaire, the personality structure of 11,047 persons working as air traffic controllers, and 9886 persons applying for that job, was examined through factor analytic and analysis of variance techniques. It was concluded that air traffic controllers are superior to the general population in all characteristics of personality essential to performance of their work and, further, that applicants for these positions are even better qualified in certain respects..</excerpt>', '<title>Sex as a moderator variable in the selection and training of persons for a skilled task</title> <excerpt>We gave 51 male and 52 female Air Force Academy Cadets a battery of five cognitive and three perceptual motor tests before they were taught four basic flight maneuvers followed by a complex chandelle maneuver. The results showed that the males were much faster in attaining the criterion level of performance on the flight tasks, and that some of the sex differences in the acquisition of task skills can be reduced by means of pretraining on specific cognitive and motor skills.</excerpt>', ""<title>Predicting professional success of air traffic control personnel from their personality profile at admission to Ab initio training</title> <excerpt>The usefulness of personality measures for predicting air traffic controllers' (ATCs) performance in addition to cognitive aptitudes was tested using NEO Personality Inventory (NEO-PI) results of 60 ATC candidates at admission to the training. Extroversion (E) and its facets Gregariousness (E2) and Positive Emotions (E6) were valid and useful negative predictors of performance over and above cognitive ability level.</excerpt>"", '<title>Some personality and aptitude characteristics of Air Traffic Control Specialist trainees</title> <excerpt>This study examined the interrelations of personality traits, aptitude test scores, and job performance self-expectations as predictors of success in the FAA Academy screening program of prospective air traffic controllers. Based on the State-Trait Personality Inventory (STPI), men and women Air Traffic Control Specialist (ATCS) trainees exhibited less anxiety and anger than normative groups of college students and Navy recruits.</excerpt>', '<title>Toward the development of a new aptitude selection test battery for air traffic control specialists</title> <excerpt>In an effort to update and refine the selection battery for air traffic controllers, five experimental tests measuring aptitudes and skills considered important in air traffic work were administered to 1,828 newly selected air traffic control specialist (ATCS) trainees on their first day of training at the FAA Academy in Oklahoma City. The five experimental tests and the five tests presently used by the Office of Personnel Management (OPM) for selecting ATCS trainees were employed in an iterative stepwise regression (stepdown procedure).</excerpt>']"
