,year,publication,title,abstract,excerpt,doc
0,2025,BMC Medical Education,Defining competence profiles in obstetrics and gynecology using the modified requirement tracking questionnaire,"BackgroundData about the competencies needed for physicians in obstetrics and gynecology (O&G) is currently insufficient. The aim of this study is to define the competence profile needed in this sector for daily professional activity, in order to account for these criteria in future recruitment.MethodsThe modified requirement-tracking questionnaire (R-track) was sent to 307 physicians working in the field of O&G with different training levels and practice locations. The R-track is designed to assess professional competence profiles and contains 66 items covering the following eight competence areas: “Mental abilities”, “Social sensibility”, “Psychomotor and multitasking abilities”, “Solutions orientation”, “Social interactive competences”, “Personality traits”, “Verbal competences” and “Resistance capacity”. The mean scores of single items and competence areas were calculated. Results were compared between gender, training level, and place of practice.ResultsThe participation rate was 65.5%, with 201 physicians returning the questionnaire. In this sample, 50.2% of them were in training and 49.8% were practicing O&G specialists. The proportion of physicians working in a hospital setting was 64.7% while 30.3% worked in private practice. The competence areas “Social sensibility” and “Psychomotor & multitasking abilities” appear to be the most important for daily professional activity. At the item level, “Stress resistance”, followed by “Workload management” and “Tactfulness” were considered as the most valuable characteristics. Differences between gender, level of training, and place of practice were not significant.ConclusionThe identified competence profile could serve as a basis for developing a new method of O&G residency selection. In addition, such a profile could help medical students to decide on a professional specialization at a very early stage by comparing their personal competence profile with the one in the field or with their mentors.","BackgroundData about the competencies needed for physicians in obstetrics and gynecology (O&G) is currently insufficient. The aim of this study is to define the competence profile needed in this sector for daily professional activity, in order to account for these criteria in future recruitment.MethodsThe modified requirement-tracking questionnaire (R-track) was sent to 307 physicians working in the field of O&G with different training levels and practice locations. The R-track is designed to assess professional competence profiles and contains 66 items covering the following eight competence areas: “Mental abilities”, “Social sensibility”, “Psychomotor and multitasking abilities”, “Solutions orientation”, “Social interactive competences”, “Personality traits”, “Verbal competences” and “Resistance capacity”.","<title>Defining competence profiles in obstetrics and gynecology using the modified requirement tracking questionnaire</title> <excerpt>BackgroundData about the competencies needed for physicians in obstetrics and gynecology (O&G) is currently insufficient. The aim of this study is to define the competence profile needed in this sector for daily professional activity, in order to account for these criteria in future recruitment.MethodsThe modified requirement-tracking questionnaire (R-track) was sent to 307 physicians working in the field of O&G with different training levels and practice locations. The R-track is designed to assess professional competence profiles and contains 66 items covering the following eight competence areas: “Mental abilities”, “Social sensibility”, “Psychomotor and multitasking abilities”, “Solutions orientation”, “Social interactive competences”, “Personality traits”, “Verbal competences” and “Resistance capacity”.</excerpt>"
1,2024,PQDT - Global,The Effects of the COVID-19 Pandemic on Fear of Flying and Flying Habits: The Mediating Effect of Anxiety Sensitivity,"Background and goals:Fear of flying (FoF) is a prevalent and highly disabling phobia. Several studies have examined various aspects of the effects of COVID-19 on the aviation industry, including health and safety protocols adopted by airlines, airport authorities, and border control administrations or on travelers’ motivation to fly. Numerous recent studies have explored the effect of COVID-19 on passengers’ traveling habits and motivation to travel, with special emphasis on flying. However, very few studies, if any, examined the effects of COVID-19 on FoF, a prevalent and highly disabling phobia, among people with and without pre-existing FoF. This perspective is important because there is a high probability that the epidemic affected people with and without FoF differently, which may require different solutions for different people.The primary goal of this study was to address this lacuna in the literature by exploring the effect of the COVID-19 pandemic on FoF and flying habits among a large representative sample of people from the general population, with and without pre-existing FoF. A secondary goal was to assess the degree to which anxiety sensitivity (AS) mediates this effect. The study hypothesis was that the COVID-19 pandemic would increase the overall prevalence of FoF and AS (measured as continuous variables), this effect was hypothesized to be mediated by AS, and moderating by pre-existing FoF. We also explored the extent to which pre-existing FoF moderated the indirect effect of COVID-19 on FoF via AS.Method:To test the above hypotheses, the study used a two-wave, pre-COVID-19 and during-COVID-19, retrospective design among a randomly selected sample of 470 participants from the general population in Israel.Results:The findings of the study provided moderate to strong support for most of the hypotheses. The study findings indicated an increased prevalence of FoF from pre-COVID19 to during the pandemic. Findings regarding the overall levels of FoF and AS were mixed, yet findings showed that COVID-19 was related to higher AS. We also found that the underlying mechanism of effects was stronger for participants without pre-existing phobias, including FoF than others.Discussion:These findings' theoretical and clinical perspectives offer new insights into the nature and causes of FoF. From an applied point of view, the findings of this study shed light on the effects of a pandemic in general, and the COVID-19 pandemic in particular.","Background and goals:Fear of flying (FoF) is a prevalent and highly disabling phobia. Several studies have examined various aspects of the effects of COVID-19 on the aviation industry, including health and safety protocols adopted by airlines, airport authorities, and border control administrations or on travelers’ motivation to fly. Numerous recent studies have explored the effect of COVID-19 on passengers’ traveling habits and motivation to travel, with special emphasis on flying.","<title>The Effects of the COVID-19 Pandemic on Fear of Flying and Flying Habits: The Mediating Effect of Anxiety Sensitivity</title> <excerpt>Background and goals:Fear of flying (FoF) is a prevalent and highly disabling phobia. Several studies have examined various aspects of the effects of COVID-19 on the aviation industry, including health and safety protocols adopted by airlines, airport authorities, and border control administrations or on travelers’ motivation to fly. Numerous recent studies have explored the effect of COVID-19 on passengers’ traveling habits and motivation to travel, with special emphasis on flying.</excerpt>"
2,2012,ProQuest Dissertations and Theses,"Naturalistic Study Examining the Data/Frame Model of Sensemaking by Assessing Experts in Complex, Time-Pressured Aviation Domains","Research on expert chess players, radiologists and landmine detection personnel suggests a use of cognitive frameworks, alternatively referred to as schemas, templates, scripts, frames and models, to effectively perceive, interpret, understand, recall, and anticipate information. These experts may use cognitive frameworks to capture past experience in ways that support rapid pattern recognition, adaptive responses and proactivity. The proposed research approach assumes that experienced pilots will similarly rely on cognitive frameworks to handle information and make sense of complex, fast-moving situations experienced in their information-dense environments. Predictions from Klein et al.'s (2006) Data/Frame Model of Sensemaking were used to evaluate event-based interview data collected from uninhabited aerial system (UAS) pilots and high performance military aircraft pilots (F-16 and UH-60 Black Hawk) in order to assess the methods with which these experts handle large amounts of critical information in their operations. This effort may benefit the sensemaking model, a model based largely on domains in which situations unfold over time and decision-making can be adapted, such as in information operations, nursing and fire fighting, by comparing its predictions with data collected from UAS pilots. The UAS operations domain, in particular, has characteristics that differ from those of domains on which the model is based because UAS pilot sensemaking must support decisions and continuous adjustments of an aircraft operating in a dynamic, potentially complex, and rapidly shifting environment from which the pilot is physically removed. The military aviation domain may be similar to studied domains that some decisions need to be made rapidly, and situations can change rapidly; nevertheless, as a new domain to the model, offers the potential to reveal new insights. Based on this research, recommendations are offered for aviation training and other information-rich domains, and evidence is provided that addresses the question, ""How much information can a person handle?""","Research on expert chess players, radiologists and landmine detection personnel suggests a use of cognitive frameworks, alternatively referred to as schemas, templates, scripts, frames and models, to effectively perceive, interpret, understand, recall, and anticipate information. These experts may use cognitive frameworks to capture past experience in ways that support rapid pattern recognition, adaptive responses and proactivity. The proposed research approach assumes that experienced pilots will similarly rely on cognitive frameworks to handle information and make sense of complex, fast-moving situations experienced in their information-dense environments.","<title>Naturalistic Study Examining the Data/Frame Model of Sensemaking by Assessing Experts in Complex, Time-Pressured Aviation Domains</title> <excerpt>Research on expert chess players, radiologists and landmine detection personnel suggests a use of cognitive frameworks, alternatively referred to as schemas, templates, scripts, frames and models, to effectively perceive, interpret, understand, recall, and anticipate information. These experts may use cognitive frameworks to capture past experience in ways that support rapid pattern recognition, adaptive responses and proactivity. The proposed research approach assumes that experienced pilots will similarly rely on cognitive frameworks to handle information and make sense of complex, fast-moving situations experienced in their information-dense environments.</excerpt>"
3,2025,Journal of Electrical Systems and Information Technology,Intelligent air traffic control using NLP-enhanced speech recognition and natural language generation,"The combination of artificial intelligence (AI) and natural language processing (NLP) can bring an intelligent solution to air traffic management (ATM) for reliability, accuracy, and safety. This research aims to present a real-time intelligent system that improves the communication between air traffic controllers (ATCOs) and pilots. The proposed system enhances transcription accuracy, supports automated decision-making, reduces the response time and furthermore improves safety in high-air traffic situations. The proposed architecture is designed to enable scalable integration of AI tools and NLP technologies in ATC systems. The merits of the proposed system is that it automates the whole steps of the communication in the air traffic system, rather than implementing parts of the process. The system begins by automatic speech recognition (ASR) module that is responsible for transforming the speech (instructions) into text. The architecture enables understanding the main ATC instructions via a specific list of most common keywords through a natural language understanding module (NLU), thus enabling the pilot to communicate with the ATM system. Additionally, the system incorporates natural language response generation (NLG) module to reduce pilot workload and improve the communication efficiency. Extensive experiments were conducted for system verification on several datasets, where each dataset is targeted for a specific module of the system. Through the results, the proposed system demonstrates its capability of reducing the communication errors and improving service reliability with the overall word recognition accuracy by the ASR module of 91.73%, while the NLU module gives F1 score to 0.9816, and the NLG module produced acceptable quality of generated texts (85%) and with generation latency ~ 0.6 s. Compared to the recent existing systems, our system gives a better overall performance.","The combination of artificial intelligence (AI) and natural language processing (NLP) can bring an intelligent solution to air traffic management (ATM) for reliability, accuracy, and safety. This research aims to present a real-time intelligent system that improves the communication between air traffic controllers (ATCOs) and pilots. The proposed system enhances transcription accuracy, supports automated decision-making, reduces the response time and furthermore improves safety in high-air traffic situations.","<title>Intelligent air traffic control using NLP-enhanced speech recognition and natural language generation</title> <excerpt>The combination of artificial intelligence (AI) and natural language processing (NLP) can bring an intelligent solution to air traffic management (ATM) for reliability, accuracy, and safety. This research aims to present a real-time intelligent system that improves the communication between air traffic controllers (ATCOs) and pilots. The proposed system enhances transcription accuracy, supports automated decision-making, reduces the response time and furthermore improves safety in high-air traffic situations.</excerpt>"
4,2025,Economics,"Factors Influencing Environmentally Friendly Air Travel: A Systematic, Mixed-Method Review","Assessing the environmental impact of air travel is a complex endeavour with various solution scenarios and stakeholders, including the passengers. This article focuses on identifying factors influencing air passengers’ environmental awareness and resulting behaviour change towards more environmentally friendly air travel behaviour. A conceptual factor model is developed based on a systematic literature review of prevailing research (N = 111) and semi-structured interviews with experts (N = 14) from the aviation industry and beyond in Europe. The model distinguishes between demographic factors, internal factors, such as knowledge and values, and external factors, such as media usage and government policies. Three main parties emerge as forces that drive passengers towards increasing awareness and behaviour change: government, airlines, and social movement groups. The media is found to be a mediator. Focusing on the gap between attitude and behaviour, we summarize the factors that contribute to it and propose strategies to mitigate it.","Assessing the environmental impact of air travel is a complex endeavour with various solution scenarios and stakeholders, including the passengers. This article focuses on identifying factors influencing air passengers’ environmental awareness and resulting behaviour change towards more environmentally friendly air travel behaviour. A conceptual factor model is developed based on a systematic literature review of prevailing research (N = 111) and semi-structured interviews with experts (N = 14) from the aviation industry and beyond in Europe.","<title>Factors Influencing Environmentally Friendly Air Travel: A Systematic, Mixed-Method Review</title> <excerpt>Assessing the environmental impact of air travel is a complex endeavour with various solution scenarios and stakeholders, including the passengers. This article focuses on identifying factors influencing air passengers’ environmental awareness and resulting behaviour change towards more environmentally friendly air travel behaviour. A conceptual factor model is developed based on a systematic literature review of prevailing research (N = 111) and semi-structured interviews with experts (N = 14) from the aviation industry and beyond in Europe.</excerpt>"
5,2024,BMC Health Services Research,"Validation study of the Amharic version Safety Attitudes Questionnaire (SAQ) in public hospitals of Addis Ababa, Ethiopia: a cross-sectional study","BackgroundIn Ethiopia, there is a growing concern about improving patients’ safety in healthcare facilities. However, the lack of a valid and reliable instrument sensitive to the Ethiopian culture for measuring health professional practice environment leads to difficulty in constructing evaluations of safety climate and further linking organizational research to outcomes research. This research study examined the psychometric properties of the Safety Attitude Questionnaire (SAQ) in the Amharic language within an Ethiopian healthcare context.MethodA hospital-based cross-sectional study design was conducted. The SAQ was meticulously translated into Amharic using forward and backward translation methods. Content validity was evaluated with input from seven patient safety and healthcare quality experts. Face validity was established through feedback from healthcare professionals. Then, the Amharic SAQ (SAQ-A) was distributed to 648 participants working in 11 public hospitals, and a total of 611 valid questionnaires were completed and returned (95.2% response rate). Cronbach’s alpha, McDonald’s omega, composite reliability, correlation analysis, and average variance estimation were calculated, and confirmatory factor analysis was performed. Descriptive analyses were performed to describe socio-demographic characteristics. A P-value of ≤0.05 was considered statistically significant. Tables, figures, charts, and texts are used for data presentation.ResultThe overall internal consistency (Cronbach’s alpha) for the 31-item SAQ-A was 0.903, indicating excellent reliability. Confirmatory factor analyses demonstrated a good model fit for each dimension and the entire construct (χ2=1086.675, df=412, p<0.001, comparative fit index (CFI)=0.923, Tucker Lewis index (TLI)=0.913, and root mean square error of approximation (RMSEA)=0.052). The positive response rate of healthcare workers in hospitals was 32.1%. The positive response rates of the six dimensions were teamwork climate (59.7%), safety climate (41.9%), job satisfaction (57.1%), working conditions (37.5%), perception of management (37.6%), and stress recognition (46.2%).ConclusionThe Amharic translation of the SAQ showed good psychometric properties, making it a valuable tool for assessing safety attitudes among Amharic-speaking Ethiopian healthcare practitioners.","BackgroundIn Ethiopia, there is a growing concern about improving patients’ safety in healthcare facilities. However, the lack of a valid and reliable instrument sensitive to the Ethiopian culture for measuring health professional practice environment leads to difficulty in constructing evaluations of safety climate and further linking organizational research to outcomes research. This research study examined the psychometric properties of the Safety Attitude Questionnaire (SAQ) in the Amharic language within an Ethiopian healthcare context.MethodA hospital-based cross-sectional study design was conducted.","<title>Validation study of the Amharic version Safety Attitudes Questionnaire (SAQ) in public hospitals of Addis Ababa, Ethiopia: a cross-sectional study</title> <excerpt>BackgroundIn Ethiopia, there is a growing concern about improving patients’ safety in healthcare facilities. However, the lack of a valid and reliable instrument sensitive to the Ethiopian culture for measuring health professional practice environment leads to difficulty in constructing evaluations of safety climate and further linking organizational research to outcomes research. This research study examined the psychometric properties of the Safety Attitude Questionnaire (SAQ) in the Amharic language within an Ethiopian healthcare context.MethodA hospital-based cross-sectional study design was conducted.</excerpt>"
6,2019,ProQuest Dissertations and Theses,Generational and Gender Differences of Airline Transport Pilots Attitudes towards CRM Practices: A Mixed Method,"While information gathered four decades ago indicates crew resource management (CRM) procedures have improved commercial aviation pilots’ abilities to work effectively together, it is unclear if CRM procedures continue to remain effective when commercial aviation pilots frequently work with other individuals from three or more different generations and with an increase in female airline pilots. The purpose of the mixed method convergent parallel design study was to gain information about how well certified airline transport pilots perceive they work with different generations and genders using CRM procedures developed decades ago when more than two generations were not present in the workforce. The population was commercial aviation pilots from different generations and genders including the baby boomers, Generation X, and the millennials flying for approved FAA commercial airlines within the United States. An online survey was used for the quantitative component ( N = 166) and a semi-structured interview for the qualitative component (N = 11). The quantitative component resulted failure to reject all hypotheses, and the qualitative component revealed five overarching themes: CRM processes work in general, personality differences instead of gender differences, perceived generational differences, attitudes, and the need for females to prove themselves. Post hoc reliability analyses revealed low internal consistency of the CMAQ, the instrument for measuring pilot attitudes toward CRM. The findings suggest areas to further explore when evaluating the effectiveness of CRM processes and when evaluating the psychometric characteristics of the commonly used CMAQ.","While information gathered four decades ago indicates crew resource management (CRM) procedures have improved commercial aviation pilots’ abilities to work effectively together, it is unclear if CRM procedures continue to remain effective when commercial aviation pilots frequently work with other individuals from three or more different generations and with an increase in female airline pilots. The purpose of the mixed method convergent parallel design study was to gain information about how well certified airline transport pilots perceive they work with different generations and genders using CRM procedures developed decades ago when more than two generations were not present in the workforce. The population was commercial aviation pilots from different generations and genders including the baby boomers, Generation X, and the millennials flying for approved FAA commercial airlines within the United States.","<title>Generational and Gender Differences of Airline Transport Pilots Attitudes towards CRM Practices: A Mixed Method</title> <excerpt>While information gathered four decades ago indicates crew resource management (CRM) procedures have improved commercial aviation pilots’ abilities to work effectively together, it is unclear if CRM procedures continue to remain effective when commercial aviation pilots frequently work with other individuals from three or more different generations and with an increase in female airline pilots. The purpose of the mixed method convergent parallel design study was to gain information about how well certified airline transport pilots perceive they work with different generations and genders using CRM procedures developed decades ago when more than two generations were not present in the workforce. The population was commercial aviation pilots from different generations and genders including the baby boomers, Generation X, and the millennials flying for approved FAA commercial airlines within the United States.</excerpt>"
7,2013,ProQuest Dissertations and Theses,"Towards a Theory of Mind Wandering in Relation to Task Type, Behavioral Responses, and Respective Adverse Consequences in Piloted Vehicles","In critical systems, human operators are often responsible for maintaining the safe operation of systems. However, cognitive factors (e.g., affect, attentional resources, fatigue, etc.) can negatively affect the operator’s ability to stay focused on the task and make timely decisions. Although prior research has studied multiple factors that impact performance, such as distracted driving, situation awareness, multitasking, vigilance decrements, etc., mind wandering has yet to be integrated with these factors to yield a more comprehensive theory of human performance. To address this problem, we employed a mixed method, qualitative and quantitative, approach to study performance implications of mind wandering in the context of automobile driving and aviation piloting using undergraduate students and certified pilots, respectively.In Part I, we assessed the degree of unrelatedness required between thoughts and the current task at hand before it was subjectively classified as mind wandering with respect to four types of relatedness (e.g., functional, conceptual, temporal relatedness and thought tense). Using a factor scenario survey approach, high and low levels of each type of relatedness were correlated with participant’s perceptions of mind wandering. It was found that thoughts conceptually unrelated to the task were significantly more often identified as mind wanderings; the only main effect of these four types of relatedness. In addition, there were a few significant interactions with functional relatedness and the tense as well as temporal relatedness. Low functional, retrospective thoughts were more likely considered mind wanderings than high functional, prospective thoughts. Also, low functional thoughts in the distant past or distant future were more likely considered mind wanderings (e.g., low temporal relatedness) than high functional thoughts in the near past or future (e.g., high temporal relatedness). In addition to these relatedness types studied in Part I, thoughts were also categorized on a continuum of task/thought decoupling with on-task thoughts at one end of the continuum (e.g., low decoupling) and mind wanderings that lack meta-awareness at the other (e.g., high decoupling) in Part IV of this research effort. Based on discussions with participants during these studies, the continuum of all thought categories is ordered from least to most decoupled as follows: on-task, off-task, mind wandering and unaware mind wandering. In Part III, we explored whether the level of thought/task decoupling was related to performance decrements in the driving simulation environment. When participants were most frequently mind wandering without meta-awareness which is the most extreme decoupled state, the highest mean number of lane deviations (2.26 deviations) and the second highest mean seconds of speeding (5.53 seconds) were recorded. When participants were most frequently on-task, the lowest mean seconds of speeding (1.17 seconds) and second lowest number of mean lane deviations (1.00 deviations) also resulted. A similar relationship was found in the flight simulation with general aviation pilots even though the frequencies of off-task thinking were lower. When all on-task and off-task thought contents were examined, it was found that when pilots believed their thoughts were on-task, thought decoupling occurred as the pilot moved from high task load situations (e.g., take-off and climb) to lower task load situations (e.g., cruise). During take-off and climb, pilots’ thinking involved actions/behaviors previously executed as well as thoughts about navigation. If poor performance occurred in the take-off phase of flight, thoughts about their performance often appeared during the climb phase of flight. During cruise, thinking became more decoupled from the task (e.g., thoughts about planning and strategizing) even though these thoughts were participant classified as on-task. Thus, as the pilots executed tasks from take-off to cruise, the thoughts gradually became more decoupled.Correlates to mind wandering were also assessed to understand when and why mind wandering may occur. Similar to findings in the prior literature, negative mood was found to be significantly and positively related to higher frequencies of off-task thinking but not mind wandering. Yet, task load, subjective mental workload, task type and working memory capacity did not significantly correlate with frequencies of off-task thinking and mind wandering.Lastly, this work investigated the efficacy of three mind wandering metrics used in prior literature (e.g., all probe, self-caught and probe, and clicker). Efficacy was operationally defined as a metric that from the participant’s viewpoint, facilitated quick task re-engagement, accurately captured the frequency of mind wanderings and did not unnaturally engender excessive meta-awareness. The results suggest that the clicker method was the most efficacious metric followed by the self-caught/probe and the all probe metrics.This mixed method approach sought to build theory about what mind wandering is, when it arises and for what reasons. A framework is needed to understand how the results reported herein overlap with other theory generated about these related phenomena. (Abstract shortened by UMI.)","In critical systems, human operators are often responsible for maintaining the safe operation of systems. However, cognitive factors (eg, affect, attentional resources, fatigue, etc.) can negatively affect the operator’s ability to stay focused on the task and make timely decisions. Although prior research has studied multiple factors that impact performance, such as distracted driving, situation awareness, multitasking, vigilance decrements, etc., mind wandering has yet to be integrated with these factors to yield a more comprehensive theory of human performance.","<title>Towards a Theory of Mind Wandering in Relation to Task Type, Behavioral Responses, and Respective Adverse Consequences in Piloted Vehicles</title> <excerpt>In critical systems, human operators are often responsible for maintaining the safe operation of systems. However, cognitive factors (eg, affect, attentional resources, fatigue, etc.) can negatively affect the operator’s ability to stay focused on the task and make timely decisions. Although prior research has studied multiple factors that impact performance, such as distracted driving, situation awareness, multitasking, vigilance decrements, etc., mind wandering has yet to be integrated with these factors to yield a more comprehensive theory of human performance.</excerpt>"
8,2025,ProQuest Dissertations and Theses,"Age, Education, and Service As Moderators of the Predictive Relationship Between Emotional Intelligence and Work Engagement in Pilots","The aviation industry is facing a severe pilot shortage, intensified by the Great Resignation and post-pandemic employment challenges, making the study of work engagement critical. Prior research has explored the relationship between emotional intelligence (EI) and work engagement in various industries, but studies focusing on pilots, particularly in the business aviation industry (BAI) are lacking. This quantitative correlational-predictive study examined the extent to which EI predicts work engagement among BAI pilots in the Dallas/Fort Worth area of Texas and whether this relationship is moderated by age, years of formal education, and years of service. The theoretical framework, grounded in literature, associates EI with enhanced work engagement and improved organizational citizenship. The study employed validated instruments to measure EI and work engagement, using moderation analysis to examine the hypotheses. Results indicate that EI significantly predicts work engagement. Age does not moderate the relationship between EI and work engagement; however, the association is moderated for years of education below 6.59 and years of service lesser than 25.48. In conclusion, the study provides valuable theoretical and practical implications, along with recommendations for future research.","The aviation industry is facing a severe pilot shortage, intensified by the Great Resignation and post-pandemic employment challenges, making the study of work engagement critical. Prior research has explored the relationship between emotional intelligence (EI) and work engagement in various industries, but studies focusing on pilots, particularly in the business aviation industry (BAI) are lacking. This quantitative correlational-predictive study examined the extent to which EI predicts work engagement among BAI pilots in the Dallas/Fort Worth area of Texas and whether this relationship is moderated by age, years of formal education, and years of service.","<title>Age, Education, and Service As Moderators of the Predictive Relationship Between Emotional Intelligence and Work Engagement in Pilots</title> <excerpt>The aviation industry is facing a severe pilot shortage, intensified by the Great Resignation and post-pandemic employment challenges, making the study of work engagement critical. Prior research has explored the relationship between emotional intelligence (EI) and work engagement in various industries, but studies focusing on pilots, particularly in the business aviation industry (BAI) are lacking. This quantitative correlational-predictive study examined the extent to which EI predicts work engagement among BAI pilots in the Dallas/Fort Worth area of Texas and whether this relationship is moderated by age, years of formal education, and years of service.</excerpt>"
9,2025,ProQuest Dissertations and Theses,Pilots’ Likelihood to Report Sleep Disorder(s) in Part 121 Commercial Aviation Operations,"Airline pilots are among a population suffering from sleep disorders. Some fear loss of medical certification if they disclose conditions or seek treatment. This study developed a statistical model of predictors of pilots' likelihood to report sleep disorders in Part 121 commercial aviation. Using simultaneous regression, the study explored relationships between pilots' likelihood of reporting sleep disorders and predictor variables including demographics, career factors, and fatigue. Surveys and data were distributed and collected via online pilot forums. Findings may improve screening methods for pilots experiencing sleep disorders and enhance fatigue countermeasures, education and training programs, and reporting behaviors of pilots.",Airline pilots are among a population suffering from sleep disorders. Some fear loss of medical certification if they disclose conditions or seek treatment. This study developed a statistical model of predictors of pilots' likelihood to report sleep disorders in Part 121 commercial aviation.,<title>Pilots’ Likelihood to Report Sleep Disorder(s) in Part 121 Commercial Aviation Operations</title> <excerpt>Airline pilots are among a population suffering from sleep disorders. Some fear loss of medical certification if they disclose conditions or seek treatment. This study developed a statistical model of predictors of pilots' likelihood to report sleep disorders in Part 121 commercial aviation.</excerpt>
