"Title","Subtitle","Author","Publication","SourceType","Publisher","Volume","Issue","PubDate","AlphaDate","StartPage","EndPage","PageRange","ISSN","EISSN","ISBN","Language","Abstract","DocumentUrl","DOI"
"Defining competence profiles in obstetrics and gynecology using the modified requirement tracking questionnaire","","Tarasi, Baptiste; Oubaid, Viktor; Baud, David","BMC Medical Education","Scholarly Journals","","25","","2025-01-01","2025","1","","1-6","14726920","","","ENG","BackgroundData about the competencies needed for physicians in obstetrics and gynecology (O&G) is currently insufficient. The aim of this study is to define the competence profile needed in this sector for daily professional activity, in order to account for these criteria in future recruitment.MethodsThe modified requirement-tracking questionnaire (R-track) was sent to 307 physicians working in the field of O&G with different training levels and practice locations. The R-track is designed to assess professional competence profiles and contains 66 items covering the following eight competence areas: “Mental abilities”, “Social sensibility”, “Psychomotor and multitasking abilities”, “Solutions orientation”, “Social interactive competences”, “Personality traits”, “Verbal competences” and “Resistance capacity”. The mean scores of single items and competence areas were calculated. Results were compared between gender, training level, and place of practice.ResultsThe participation rate was 65.5%, with 201 physicians returning the questionnaire. In this sample, 50.2% of them were in training and 49.8% were practicing O&G specialists. The proportion of physicians working in a hospital setting was 64.7% while 30.3% worked in private practice. The competence areas “Social sensibility” and “Psychomotor & multitasking abilities” appear to be the most important for daily professional activity. At the item level, “Stress resistance”, followed by “Workload management” and “Tactfulness” were considered as the most valuable characteristics. Differences between gender, level of training, and place of practice were not significant.ConclusionThe identified competence profile could serve as a basis for developing a new method of O&G residency selection. In addition, such a profile could help medical students to decide on a professional specialization at a very early stage by comparing their personal competence profile with the one in the field or with their mentors.","https://www.proquest.com/docview/3165514804?accountid=16562&bdid=134394&_bd=CmJu0wB6jPQyYvSOjv%2BHSPUmpMc%3D","https://doi.org/10.1186/s12909-025-06806-7"
"The Effects of the COVID-19 Pandemic on Fear of Flying and Flying Habits: The Mediating Effect of Anxiety Sensitivity","","Katz, Michael","PQDT - Global","Dissertations & Theses","","","","2024-01-01","2024","","","","","","9798311920483","ENG","Background and goals:Fear of flying (FoF) is a prevalent and highly disabling phobia. Several studies have examined various aspects of the effects of COVID-19 on the aviation industry, including health and safety protocols adopted by airlines, airport authorities, and border control administrations or on travelers’ motivation to fly. Numerous recent studies have explored the effect of COVID-19 on passengers’ traveling habits and motivation to travel, with special emphasis on flying. However, very few studies, if any, examined the effects of COVID-19 on FoF, a prevalent and highly disabling phobia, among people with and without pre-existing FoF. This perspective is important because there is a high probability that the epidemic affected people with and without FoF differently, which may require different solutions for different people.The primary goal of this study was to address this lacuna in the literature by exploring the effect of the COVID-19 pandemic on FoF and flying habits among a large representative sample of people from the general population, with and without pre-existing FoF. A secondary goal was to assess the degree to which anxiety sensitivity (AS) mediates this effect. The study hypothesis was that the COVID-19 pandemic would increase the overall prevalence of FoF and AS (measured as continuous variables), this effect was hypothesized to be mediated by AS, and moderating by pre-existing FoF. We also explored the extent to which pre-existing FoF moderated the indirect effect of COVID-19 on FoF via AS.Method:To test the above hypotheses, the study used a two-wave, pre-COVID-19 and during-COVID-19, retrospective design among a randomly selected sample of 470 participants from the general population in Israel.Results:The findings of the study provided moderate to strong support for most of the hypotheses. The study findings indicated an increased prevalence of FoF from pre-COVID19 to during the pandemic. Findings regarding the overall levels of FoF and AS were mixed, yet findings showed that COVID-19 was related to higher AS. We also found that the underlying mechanism of effects was stronger for participants without pre-existing phobias, including FoF than others.Discussion:These findings' theoretical and clinical perspectives offer new insights into the nature and causes of FoF. From an applied point of view, the findings of this study shed light on the effects of a pandemic in general, and the COVID-19 pandemic in particular.","https://www.proquest.com/docview/3222572436?accountid=16562&bdid=134394&_bd=BGlFTqVbHxG7GZql7%2FUd6OHUjhY%3D",""
"The Predictive Validity of the Selection Battery for Trainee Pilots in the South African Air Force","","Flotman, Aden-Paul","PQDT - Global","Dissertations & Theses","","","","2002-01-01","2002","","","","","","9798283417844","ENG","The sample comprised 92 candidates who have completed the Ground School Phase of the trainee pilot training programme. The independent variables are Raven's Advanced Progressive Matrices Test, the Blox Test and the Vienna Determination Test. The dependent variable is the candidates' results after the Ground School Phase of their training. The results indicated that only the Advanced Ravens test and the Vienna Determination test (Phase 3} correlate positively with the Ground School Phase results of the candidates.The current battery emphasises cognitive abilities and psycho-motor functioning and does not cover personality traits of prospective candidates. It is recommended that new instruments are included (to cover the measurement of personality traits), that the sample size should be increased by promoting pilot training among previously disadvantaged students and that the current pilot profile should be updated as a matter of urgency.","https://www.proquest.com/docview/305278573?accountid=16562&bdid=134394&_bd=yoOqa5ZZh6yTt5dadx6rqgP0eNs%3D",""
"Validation study of the Amharic version Safety Attitudes Questionnaire (SAQ) in public hospitals of Addis Ababa, Ethiopia: a cross-sectional study","","Bisrat Tamene Bekele; Trhas Tadesse Berhe; Biniam Yohannes Wotango; Wubet Mihretu Workneh; Wendwessen, Nebiyou","BMC Health Services Research","Scholarly Journals","","24","","2024-01-01","2024","1","","1-10","14726963","","","ENG","BackgroundIn Ethiopia, there is a growing concern about improving patients’ safety in healthcare facilities. However, the lack of a valid and reliable instrument sensitive to the Ethiopian culture for measuring health professional practice environment leads to difficulty in constructing evaluations of safety climate and further linking organizational research to outcomes research. This research study examined the psychometric properties of the Safety Attitude Questionnaire (SAQ) in the Amharic language within an Ethiopian healthcare context.MethodA hospital-based cross-sectional study design was conducted. The SAQ was meticulously translated into Amharic using forward and backward translation methods. Content validity was evaluated with input from seven patient safety and healthcare quality experts. Face validity was established through feedback from healthcare professionals. Then, the Amharic SAQ (SAQ-A) was distributed to 648 participants working in 11 public hospitals, and a total of 611 valid questionnaires were completed and returned (95.2% response rate). Cronbach’s alpha, McDonald’s omega, composite reliability, correlation analysis, and average variance estimation were calculated, and confirmatory factor analysis was performed. Descriptive analyses were performed to describe socio-demographic characteristics. A P-value of ≤0.05 was considered statistically significant. Tables, figures, charts, and texts are used for data presentation.ResultThe overall internal consistency (Cronbach’s alpha) for the 31-item SAQ-A was 0.903, indicating excellent reliability. Confirmatory factor analyses demonstrated a good model fit for each dimension and the entire construct (χ2=1086.675, df=412, p<0.001, comparative fit index (CFI)=0.923, Tucker Lewis index (TLI)=0.913, and root mean square error of approximation (RMSEA)=0.052). The positive response rate of healthcare workers in hospitals was 32.1%. The positive response rates of the six dimensions were teamwork climate (59.7%), safety climate (41.9%), job satisfaction (57.1%), working conditions (37.5%), perception of management (37.6%), and stress recognition (46.2%).ConclusionThe Amharic translation of the SAQ showed good psychometric properties, making it a valuable tool for assessing safety attitudes among Amharic-speaking Ethiopian healthcare practitioners.","https://www.proquest.com/docview/3037863715?accountid=16562&bdid=134394&_bd=Xr0NvhQOv%2BBsiEVQifpmEdzv04E%3D","https://doi.org/10.1186/s12913-024-10865-9"
"Age, Education, and Service As Moderators of the Predictive Relationship Between Emotional Intelligence and Work Engagement in Pilots","","Roesler, James Robert","ProQuest Dissertations and Theses","Dissertations & Theses","","","","2025-01-01","2025","","","","","","9798288807480","ENG","The aviation industry is facing a severe pilot shortage, intensified by the Great Resignation and post-pandemic employment challenges, making the study of work engagement critical. Prior research has explored the relationship between emotional intelligence (EI) and work engagement in various industries, but studies focusing on pilots, particularly in the business aviation industry (BAI) are lacking. This quantitative correlational-predictive study examined the extent to which EI predicts work engagement among BAI pilots in the Dallas/Fort Worth area of Texas and whether this relationship is moderated by age, years of formal education, and years of service. The theoretical framework, grounded in literature, associates EI with enhanced work engagement and improved organizational citizenship. The study employed validated instruments to measure EI and work engagement, using moderation analysis to examine the hypotheses. Results indicate that EI significantly predicts work engagement. Age does not moderate the relationship between EI and work engagement; however, the association is moderated for years of education below 6.59 and years of service lesser than 25.48. In conclusion, the study provides valuable theoretical and practical implications, along with recommendations for future research.","https://www.proquest.com/docview/3229721580?accountid=16562&bdid=134394&_bd=QYW3U09LkS%2BEFkgVZKRaPEis71M%3D",""
"Phase of Flight Differences Formed by the Cross Tabulation of Automation Disruption and Pilot Response","","Rahn, Ernest Coren","ProQuest Dissertations and Theses","Dissertations & Theses","","","","2014-01-01","2014","","","","","","978-1-321-33770-9","ENG","The present-day state of technological development on modern commercial airliners has resulted in aircraft that have most of the customary flying tasks accomplished by automated computer systems.  The problem addressed in this study was the effect of flying automated aircraft on pilot response when automated system anomalies occur.  The purpose of this quantitative, cross tabulation study was to examine archival data acquired from the NASA's online Aviation Safety Reporting System (ASRS) electronic database reported between June 2009 and June 2014 to determine if a significant association existed between commercial aircraft automation disruption themes, the nature of the pilot's response, and the phases of flight.  While there has been significant previous research centering on the degradation of manual piloting skills resulting from operating automated aircraft, no association had been established between automation disruption themes, the nature of pilot response, and the phases of flight.  Establishing this association required two-way contingency table analysis with cross tabulation of the research variables to statistically demonstrate significance and quantification of association.  The decisively chosen participants for this study were derived from automation-related ASRS online database incident reports submitted between June 2009 and June 2014 by commercial airline pilots.  The chi square test for significance of association statistically established a significant association between automation disruption theme and pilot response in during the takeoff phase of flight, x2  (3, N = 560) = 8.65, p < .05, the cruise phase of flight x 2 (3, N = 560) = 8.52, p < .05), and the landing phase of flight x2 (3, N = 560) 8.00, p = <.05.  Additionally, the chi square test for significance of association statistically confirmed a significant association existed between phase of flight groups and the nature of pilot response to automation disruptions x2 (2, N = 560) = 20.03, p < .05.  Detailed analysis of the results quantification demonstrated that there is a need for improved pilot-automation interaction within the commercial aviation community.  The findings of this study present regulatory agencies and aviation safety experts with supplemental contributions to the current body of knowledge, presenting additional data to develop and implement improvements into training and mitigation programs to curtail the potential negative impact of piloting highly automated aircraft.","https://www.proquest.com/docview/1625419411?accountid=16562&bdid=134394&_bd=2%2B%2FVV6NiQsWDAtK%2BTlqCk6Or%2FFo%3D",""
"Pilots’ Likelihood to Report Sleep Disorder(s) in Part 121 Commercial Aviation Operations","","Spector, David E.","ProQuest Dissertations and Theses","Dissertations & Theses","","","","2025-01-01","2025","","","","","","9798283141930","ENG","Airline pilots are among a population suffering from sleep disorders. Some fear loss of medical certification if they disclose conditions or seek treatment. This study developed a statistical model of predictors of pilots' likelihood to report sleep disorders in Part 121 commercial aviation. Using simultaneous regression, the study explored relationships between pilots' likelihood of reporting sleep disorders and predictor variables including demographics, career factors, and fatigue. Surveys and data were distributed and collected via online pilot forums. Findings may improve screening methods for pilots experiencing sleep disorders and enhance fatigue countermeasures, education and training programs, and reporting behaviors of pilots.","https://www.proquest.com/docview/3222216433?accountid=16562&bdid=134394&_bd=Jwrp9DLDaS1X%2Bq2hkxQiZj41eng%3D",""
"The Effect of Grit and Mindset on Professional Pilot Student Persistence","","Fowler, Robert","ProQuest Dissertations and Theses","Dissertations & Theses","","","","2025-01-01","2025","","","","","","9798293808014","ENG","Due to a shortage of qualified commercial pilots and the high attrition rate of collegiate professional pilot students, increasing the number of students who successfully complete training is critical for the future success of the commercial aviation industry. The purpose of this exploratory sequential mixed methods study was to determine if Middle Tennessee State University (MTSU) students who enroll and eventually graduate in the Aerospace Professional Pilot concentration and students who enroll in the Aerospace Professional Pilot concentration but subsequently switch to another Aerospace concentration differ in the noncognitive traits of grit and growth mindset. Grit is defined as passion and perseverance for long-term goals (Duckworth, 2016), and growth mindset is defined as the belief that intelligence is not fixed and can be improved with effort and time. If students who are high in grit and growth mindset are more likely to complete training, identifying students who are high in these noncognitive traits and providing courses to enhance these traits may help alleviate the current pilot shortage. In the first quantitative phase of this mixed methods study, Angela Duckworth’s Grit-S Scale was used to measure grit (Duckworth & Quinn, 2009), and Carol Dweck’s mindset survey was used to measure growth mindset (Dweck, 2016) in MTSU Aerospace students who initially enrolled in the Professional Pilot concentration. Descriptive and inferential statistics were generated to see if there was a difference in grit and growth mindset between students who enrolled and persisted in the MTSU Aerospace Professional Pilot concentration and those who subsequently switched. Then a purposeful sample of four volunteers from each group was randomly selected to participate in the second qualitative phase of this mixed methods study to explain and clarify the results of the first phase quantitative results. Open ended questions were asked to determine if there is a difference in the educational experiences between the two groups of students. The first phase quantitative results found a significant difference in grit but no significant difference in growth mindset between the two groups. Answers to the open-ended questions in the qualitative second phase demonstrated that the group who enrolled and stayed in the Professional Pilot concentration were more self-motivated than students who enrolled in the Professional Pilot concentration but subsequently switched to another Aerospace concentration.","https://www.proquest.com/docview/3246414904?accountid=16562&bdid=134394&_bd=AbwDv0jzfWKu315BtSBGLmKYAhc%3D",""
"The Moderating Role of Resilience in the Relationship Between Occupational Stressors and Psychological Distress Among Aviation Pilots in Pakistan","","Ijaz, Ali; Malik, Anila Amber; Tayyeba, Ahmad; Hassan Waqas; Mastrokoukou Sofia; Longobardi, Claudio","European Journal of Investigation in Health, Psychology and Education","Scholarly Journals","","15","10","2025-01-01","2025","206","","","21748144","","","ENG","Background: Aviation is one of the most demanding professions, exposing pilots to persistent stressors such as fatigue, irregular schedules, and high safety responsibility. These conditions heighten vulnerability to depression, anxiety, and stress (DAS), yet the protective mechanisms mitigating such effects remain less well understood. Objective: This study examined the roles of resilience, coping strategies, and fatigue in predicting DAS among commercial airline pilots. Method: A sample of 200 pilots completed validated self-report measures: the Connor–Davidson Resilience Scale (CD-RISC), the Coping Inventory for Stressful Situations (CISS), the Fatigue Severity Scale (FSS), and the Depression Anxiety Stress Scale (DASS-21). Data were analyzed using bivariate correlations, hierarchical multiple regression, and mediation/moderation analyses via the PROCESS macro. Results: Resilience was negatively correlated with total DAS scores (r = −0.46, p< 0.001), while fatigue (r = 0.42, p< 0.001) and avoidance coping (r = 0.38, p< 0.001) were positively correlated. The regression model accounted for 46% of the variance in DAS (R2 = 0.46). Task-focused coping predicted lower stress levels, whereas avoidance coping predicted higher anxiety and depression. Resilience moderated the relationship between stress and depression, buffering the impact of stress on mood outcomes. Mediation analyses indicated that coping styles partially explained the protective effect of resilience. ANOVA results confirmed that pilots with high resilience reported significantly lower depression scores than those with medium or low resilience, F(2, 197) = 6.72, p< 0.01. Conclusions: Resilience emerged as both a direct and indirect buffer against psychological strain in aviation. These findings underscore the importance of promoting adaptive coping and resilience training, alongside effective fatigue management, to enhance pilot well-being and maintain safety in aviation systems.","https://www.proquest.com/docview/3265876769?accountid=16562&bdid=134394&_bd=XgjeeNfrdVjuC%2BZVho9Ds985GcA%3D","https://doi.org/10.3390/ejihpe15100206"
"Assessment of Occupational Health and Safety Performance in Air Traffic Control: An Empirical Investigation of Stress and Well-Being","","Aristi, Karagkouni; Zantanidis Stylianos; Moutzouri Antonia; Sartzetaki, Maria; Constantinidis, Theodore; Dimitriou Dimitrios","Safety","Scholarly Journals","","11","3","2025-07-01","2025","88","","","2313576X","","","ENG","Air traffic control is widely recognized as one of the most psychologically demanding occupations, where safety and operational performance are tightly interwoven. This study explores the relationship between occupational health and safety (OHS) systems and the psychological well-being of Air Traffic Controllers (ATCOs), focusing on factors such as perceived safety, job satisfaction, stress, and mental strain. Conducted within the Hellenic Air Navigation Services Provider, the research adopts a cross-sectional design using a structured questionnaire distributed nationwide. The study draws upon the Job Demands–Resources (JD-R) theoretical framework to examine how organizational resources, such as training, clarity of role, supervisor support, and employee autonomy, interact with job demands to shape occupational outcomes. Special emphasis is placed on understanding how the presence and awareness of structured OHS systems influence ATCOs’ perceptions of safety and well-being. Our analysis indicated that participants who reported the presence of an OHS system perceived their workplace as significantly safer than those who reported no such system. Hence, the existence of structured measures allows ATCOs to feel confident in their work environment. By assessing a range of psychosocial and organizational variables, this study seeks to contribute to both the academic discourse and practical strategies aimed at improving safety culture and psychological resilience in high-risk work environments. The findings are intended to inform policy development and organizational practices within the air traffic control sector and other safety-critical domains.","https://www.proquest.com/docview/3254637292?accountid=16562&bdid=134394&_bd=39Ylc5FkpQM1ql3cCheRrbH0Ku0%3D","https://doi.org/10.3390/safety11030088"
