Topic,Count,Name,Representation,Representative_Docs
-1,657,-1_spaceflight_controllers_team_workload,"['spaceflight', 'controllers', 'team', 'workload', 'automation', 'air traffic controllers', 'human factors', 'traffic controllers', 'psychophysiological', 'technology']","['<title>Psychophysiological monitoring under conditions of real and simulated microgravity.</title> <excerpt>Dynamics of indices characterizing the process of adaptation of operators to complicated conditions of vital activity was studied with psychophysiological monitoring. This technique is based on the complex analysis of subjective and objective estimations of the current psychoemotional state and physiological and biochemical indices. We analyzed the data obtained during the examination of three healthy volunteers, who participated in the HUBES experiment (135-day isolation in the ground-based model of the orbital station ""Mir""), and during a biorhythmological study conducted by six Russian cosmonauts of the main expeditions on the station ""Mir."" It was shown that psychophysiological monitoring is an informative method for studying different parameters of the operator\'s state and regulatory processes, the dynamics of biological rhythms, and individual characteristics of adaptation.</excerpt>', '<title>Effects of sex and gender on adaptation to space: Behavioral health</title> <excerpt>This article is part of a larger body of work entitled, ""The Impact of Sex and Gender on Adaptation to Space."" It was developed in response to a recommendation from the 2011 National Academy of Sciences Decadal Survey, ""Recapturing a Future for Space Exploration: Life and Physical Sciences for a New Era,"" which emphasized the need to fully understand sex and gender differences. In this article, our workgroup - consisting of expert scientists and clinicians from academia and the private sector - investigated and summarized the current body of published and unpublished human research performed to date related to sex- and gender-based differences in behavioral adaptations to human spaceflight. This review identifies sex-related differences in: (1) sleep, circadian rhythms, and neurobehavioral measures; (2) personality, group interactions, and work performance and satisfaction; and (3) stress and clinical disorders.</excerpt>', '<title>Social acceptance of increased usage of the ballistic parachute system in a general aviation aircraft</title> <excerpt>Background: An airframe parachute (""Chute"") available in certain aircraft is designed to lower the airplane safely to the ground for emergency situations that occur 500 ft (152 m) above ground level (AGL): the ""Chute altitude envelope."" This study will explore the change in Chute use before and after 2012 to better understand factors that increased usage and improved accident outcomes. Methods: Using the public National Transportation Safety Board (NTSB) accident database from January 1, 2001, through August 31, 2018, a regression model was developed to identify factors that may predict Chute use. Results: In accidents occurring after January 1, 2013, pilots were 5 times more likely to use the Chute, while 2.9 times less likely to use the Chute when the accident involved pilot-related causes.</excerpt>', ""<title>Third-culture kid pilots and multi-cultural identity efects on pilots' attitudes</title> <excerpt>IP: 103.3.231.66 On: Thu, 09 Jan 2020 04:17:02 Copyright: Aerospace Medical Association BACKGROUND: Current attempts to culturally tailor human factors training in aviation segregates cultural identities based on geopoliti- cal, passport nationality, and is therefore poorly suited for (adult) 'Third Culture Kids' (TCKs) whose cross-cultural upbringing has led to the development of multicultural individual identities that do not relect their passport nationali- ties. In this study, respondents' self-categorization of personal cultural identity, as opposed to passport nationality, was used to determine whether there were cultural diferences in airline pilots' behaviors. METHOD: A survey with items imported from established scales was distributed to pilots of an international airline to measure pilots' work values, light management attitudes, and cultural dimensions, with respondents segregated into Western, TCK, or Asian cultural groups.</excerpt>"", ""<title>The “Break-Off” Phenomenon: A Precipitant of Anxiety in Jet Aviators</title> <excerpt>Icarus, flushed with excitement and exhilaration, soared even higher toward the sun—despite the cries and warnings of his father. At last he flew so high that the heat of the sun melted the wax, and off dropped the wings. CONTEMPORARY developments in bioastronautics have challenged the once held assumption that “man is a sea-level, lowspeed, one G, 12-hour animal.”49 The physical dangers of space flight for the astronaut previously anticipated with uncertainty, have thus far been technologically overcome.2,4,7,9 But even after the successes of recent short-term space explorations,26,27 the question of man's capacity to withstand the emotional and psychological effects of sensory isolation and deprivation is not fully answered.* It is now thought, however, that the use of two-man teams will obviate in large part the hazards of acute sensory deprivation.52 In 1957, Clark and Graybiel found in their study of the.</excerpt>""]"
0,34,0_circadian_jet lag_time zone_time zone changes,"['circadian', 'jet lag', 'time zone', 'time zone changes', 'time zones', 'long haul cabin', 'rapid time zone', 'transmeridian flights', 'jet lag long', 'temperature rhythm']","[""<title>Circadian adaptation of airline pilots during extended duration operations between the USA and Asia</title> <excerpt>This study tracked circadian adaptation among airline pilots before, during, and after trips where they flew from Seattle (SEA) or Los Angeles (LAX) to Asia (7-9 time zones westward), spent 7-12d in Asia, and then flew back to the USA. In Asia, pilots' exposures to local time cues and sleep opportunities were constrained by duty (short-haul flights crossing 1 time zone/24h). Fourteen captains and 16 first officers participated (median age=56 versus 48 yrs, p.U)<0.001).</excerpt>"", '<title>Effects of 10 h time zone changes on female flight attendants’ circadian rhythms of body temperature, alertness, and visual search</title> <excerpt>The aim of the study was to analyse the effects of rapid time zone changes on the circadian rhythms of flight attendants. The mean age of the 40 female subjects was 30·0 (SD=6·9) years. Measurements of oral temperature, alertness, and visual search were performed at two hour intervals two days before the flight from Helsinki to Los Angeles, during the second and the fourth day in the USA and during the second and fourth day after the return flight to Finland.</excerpt>', '<title>Eastward long distance flights, sleep and wake patterns in air crews in connection with a two-day layover</title> <excerpt>The present study describes the spontaneous sleep/wake pattern in connection with an eastward (Stockholm to Tokyo, +8 h) transmeridian flight and short (51 h) layovers. To describe all sleep episodes and the recovery process across 4 days, and to relate adjustment to individual differences, 49 Scandinavian Airlines System (SAS) air crew were monitored for 9 days with activity monitors and sleep/wake diary before-during-after flight. The outbound flight involved a period of wakefulness extended to 21 h, frequently (87% of air crew) terminated by a long nap in Tokyo which was calm but difficult to wake up from.</excerpt>', '<title>Individual differences in phase shifts of the human circadian system and performance deficit.</title> <excerpt>At periodic intervals throughout the biological day, assessments were made for a week prior to intercontinental flight yielding a reference of biological time set to the environment of origin, for two weeks at the temporally displaced environment of destination, and for a week following return to the environment of origin. Assessments made included rectal temperature, heart rate, respiratory rate, palmar evaporative water loss, urinalysis, reaction time, decision time, critical flicker fusion, subjective fatigue and well-being, and intellectual facility. The intercontinental flights consisted of east-west and west-east flights which permitted a comparative analysis of bidirectional effects of time zone displacements and a north-south flight which provided an appraisal of effects solely attributable to prolonged flight.</excerpt>', ""<title>Circadian arrhythmia: Shiftwork, travel and health</title> <excerpt>There are many reasons why employees' working hours may come into conflict with the inherent (circadian) rhythms of their bodies. Vital services such as police, ambulance, hospitals, electricity must be maintained 24 hours a day; expensive equipment is more profitable if used continuously; machinery such as furnaces may be damaged if shut down.Work patterns which conflict with our circadian rhythms may produce fatigue, a tendency to make errors, accident-proneness, 'jet-lag' and perhaps ill health.Those most at risk are shiftworkers and aircrew: whilst the latter must cope with changing shift patterns and time-zone changes, the former are required to adapt to changes in work/sleep patterns against an environmental background disruptive to such an adaptation.More difficulties arise when we consider those with chronic health problems since employees on long-term medication may not be able to reconcile an unvarying drug regimen to an ever-changing work pattern. Furthermore, there is evidence that the potency of drugs may vary according to the time of administration.There is much to be learned about the health effects of shiftwork; here we review what is known.</excerpt>""]"
1,30,1_neurological aspects_aspects aviation medicine_aviation psychiatry_aviation medicine,"['neurological aspects', 'aspects aviation medicine', 'aviation psychiatry', 'aviation medicine', 'aspects aviation', 'board flight surgeons', 'special board flight', 'aircraft accident survivors', 'neurological aspects aviation', 'psychiatric']","['<title>The history of the united states navy flight surgeon/naval aviator program</title> <excerpt>Early in the history of aviation the need for a special kind of physician who could understand the physical and psychological problems encountered by flyers was well recognized. These physicians were called flight surgeons. In 1922, RADM W.</excerpt>', '<title>Preventing and Overcoming Psychological Problems in Retirement: (continued from page 87)</title> <excerpt>THE TREND of imported malaria cases in Italy from 1960 to 1988 is discussed. Comparative analysis of malaria incidence in the last three years is also presented. Since 1985, a rapid increase was recorded with 191 cases in a 1986, 287 in 1987 and 350 in 1988.</excerpt>', '<title>An orientation to aviation psychiatry with 30 case examples and a 10-year follow-up</title> <excerpt>This report orients general psychiatrists to assessment and care for “safety sensitive” aviation workers. Our case study of 30 sequential aviation patients consists of demographic, clinical, and aviation characteristics plus a 10-year follow-up. Relatively few pilots and other aviation workers self-identified their psychiatric condition.</excerpt>', '<title>Psychiatric interventions with amnesic aircraft accident survivors</title> <excerpt>Aircraft accident survivors who later develop retrograde amnesia for the circumstances of their crashes present unique problems in terms of psychiatric treatment and valid accident investigation. The authors explore the complexities of treating such patients within the limitations of the present understanding of amnesic disorders and raise questions concerning medicolegal issues of informed consent, confidentiality, and validity of information recalled during the treatment process..</excerpt>', '<title>Brief reactive psychosis in naval aviation</title> <excerpt>Five naval aviation personnel diagnosed with brief reactive psychosis (BRP) have appeared before the Special Board of Flight Surgeons (SBFS) at the Naval Aerospace Medical Institute (NAMI). These cases demonstrate the challenges in diagnosis and disposition that face the clinical aeromedical specialist in evaluating the aviator who develops psychiatric symptoms. We discuss the aeromedical factors that must be considered when contemplating returning aviators with psychiatric diagnoses to flying duties.</excerpt>']"
2,29,2_occupational stress_stress coping_work related stress_related stress,"['occupational stress', 'stress coping', 'work related stress', 'related stress', 'related stress wrs', 'stress wrs', 'airline pilots', 'stress commercial', 'sources stress', 'occupational stressors']","[""<title>Corporate instability is related to airline pilots' stress symptoms</title> <excerpt>The Symptoms of Stress questionnaire was administered to three random samples of commercial airline pilots. Respondents included 1 group of 212 pilots who were employed by an airline company with a history of corporate instability; and 2 groups, totalling 220 pilots, who were employed by 2 airline carriers with histories of corporate stability. The pilot group employed by the airline with a history of corporate instability reported significantly more stress and depression symptoms and a greater accumulation of symptoms than did the pilot groups employed by the stable airlines.</excerpt>"", '<title>Burnout among pilots: psychosocial factors related to happiness and performance at simulator training</title> <excerpt>In this study among airline pilots, we aim to uncover the work characteristics (job demands and resources) and the outcomes (job crafting, happiness and simulator training performance) that are related to burnout for this occupational group. Using a large sample of airline pilots, we showed that 40% of the participating pilots experience high burnout. In line with Job Demands-Resources theory, job demands were detrimental for simulator training performance because they made pilots more exhausted and less able to craft their job, whereas job resources had a favourable effect because they reduced feelings of disengagement and increased job crafting.</excerpt>', '<title>Sources of stress affecting pilot judgment.</title> <excerpt>The initial stages of our research on the effects of the overassessment or underassessment of the consequences of nonroutine events (a potentially important factor in decision-making by pilots) is described. Critical difficulties in the measurement of life stress are discussed and a partial solution is suggested in the form of the Life Events Questionnaire (LEQ), an instrument on which individuals report the nature of stressful events, when they happened, and how much they concern them at the time of testing. The results show that the tendency to overassess or underassess the consequences of nonroutine events is consistent within individuals, but is unaffected by life stress levels on the artificial air traffic control simulation used.</excerpt>', '<title>Occupational and psychosocial stress among commercial aviation pilots</title> <excerpt>The sources of occupational and domestic stress, together with life events and coping strategies, were assessed in terms of their influence on job dissatisfaction, mental health, and performance among a group of 442 commercial airline pilots. It was found that self-perceived poor performance was associated with job-related factors such as fatigue and anxiety about required courses, performance checks, and insufficient flying time, particularly among older pilots. Job dissatisfaction was predicted by lack of career opportunities, poor organizational climate and morale, and lack of autonomy at work, together with some domestic stressors (eg, family health).</excerpt>', '<title>The stress of work: An overview</title> <excerpt>This paper looks at a number of potential occupational stressors found to predict job dissatisfaction and ill health (both mental and physical) in a variety of different occupational settings. Factors intrinsic to the nature of the job, role ambiguity and conflict, poor relationships at work, lack of career development, inadequate organisation structure/climate, and problems associated with the interface between work and homelife are the focal points of attention. Many of these sources of occupational stress are prevalent in the field of aviation, and may be exacerbated by the move toward deregulation and increasing commercial competition within the industry..</excerpt>']"
3,29,3_pilot selection_pilot training_selection test_pilot selection test,"['pilot selection', 'pilot training', 'selection test', 'pilot selection test', 'afoqt', 'recent flight time', 'pilot training performance', 'pilot selection classification', 'flight time', 'time recent flight']","['<title>Large sample validations of three general predictors of pilot training success</title> <excerpt>This article addresses one of the perennial problems of pilot selection research: obtaining an adequate sample size for reliable statistical analysis of predictive validity. Results from three studies involving the same computerized tests of instrument comprehension and psychomotor ability were combined in a meta-analysis to determine whether the validities of these tests generalized across three contexts. These were Royal Air Force and Turkish Air Force fixed-wing pilot training and British Army Air Corps rotary-wing pilot training.</excerpt>', '<title>Investigating the Validity of Previous Flying Experience, Both Actual and Simulated, in Predicting Initial and Advanced Military Pilot Training Performance</title> <excerpt>This study examined the validity of cognitive ability, previous flying experience, and a simulation in predicting the job knowledge and flying performance of military pilots undergoing training. Archival data were analyzed for 300 Canadian pilot candidates who attempted entry-level military pilot training and 150 candidates who completed intermediate-level training on fixed-wing aircraft. Cognitive ability predicted aviation-related job knowledge but not flying performance at either early or later stages of flying performance.</excerpt>', '<title>Understanding the Relations Between Selection Factors and Pilot Training Performance: Does the Criterion Make a Difference?</title> <excerpt>Although several valid predictors of U.S. Air Force pilot training performance have been identified, it was felt that our understanding of the relation between preselection personnel attribute data and training performance was limited by the dichotomous nature of the outcome indicators (ie, graduation or elimination) and by the disproportionate number of people in the outcome categories. A weighted composite of Undergraduate Pilot Training (UPT) flying performance data (ie, daily flying grades, check flight grades, and academic grades) was shown to be related closely to advanced training recommendations (fighter vs nonfighter aircraft).</excerpt>', '<title>USAF pilot selection and classification systems</title> <excerpt>A total of 478 pilot candidates were given a computerized test battery, the Basic Attributes Test (BAT) currently being validated for pilot selection and classification. The battery included tests of psychomotor and cognitive/perceptual abilities and personality/attitudinal characteristics. Results indicated that several of the BAT tests were able to improve the prediction of graduation/elimination from flight training and follow-on training recommendation (fighter or non-fighter aircraft) above that provided but currently used paper-and-pencil tests.</excerpt>', '<title>Predicting Success in Primary Flying School From the Canadian Automated Pilot Selection System: Derivation and Cross-Validation</title> <excerpt>This research derived and cross-validated an equation predicting outcome in Primary Flying School (PFS)öthe initial stage of Canadian Forces (CF) pilot trainingöfrom the Canadian Automated Pilot Selection System (CAPSS), a computer-driven, moving-base flight simulator recording up to 250,000 instrument readings per candidate. For the derivation study, 225 pilot candidates operated CAPSS before entering PFS. A pool of 20,700 summary measures (SMs) from 880 data sets was generated from the raw data.</excerpt>']"
4,25,4_mir space_space missions_shuttle mir_mir space station,"['mir space', 'space missions', 'shuttle mir', 'mir space station', 'cosmonauts', 'monitoring personnel', 'mission control personnel', 'shuttle mir space', 'space station', 'astronauts cosmonauts']","['<title>Distributed interactive communication in simulated space-dwelling groups</title> <excerpt>This report describes the development and preliminary application of an experimental test bed for modeling human behavior in the context of a computer generated environment to analyze the effects of variations in communication modalities, incentives and stressful conditions. In addition to detailing the methodological development of a simulated task environment that provides for electronic monitoring and recording of individual and group behavior, the initial substantive findings from an experimental analysis of distributed interactive communication in simulated space dwelling groups are described. Crews of three members each (male and female) participated in simulated ""planetary missions"" based upon a synthetic scenario task that required identification, collection, and analysis of geologic specimens with a range of grade values.</excerpt>', '<title>Content analysis of the crew communication with external communicants under prolonged isolation</title> <excerpt>Background: The communication between space crews and outside monitoring personnel in Mission Control gives us valuable information about crewmember psychological health. Studying the formal parameters of similar communication during ground-based space simulation missions helps us understand the psychological climate of confined groups over time, and this information can be applied to long-term space missions. Hypotheses: We hypothesized that psychological closing and information filtration will be observed in a confined crew as the mission progresses and will differ by the type of communication (eg, audio vs computer-generated) with the outside monitors in the simulated Mission Control (MC).</excerpt>', '<title>Crewmember and ground personnel interactions over time during Shuttle/Mir space missions</title> <excerpt>Background: Anecdotal reports from space and results from simulation studies on Earth have suggested that space crewmembers may experience decrements in their mood and interpersonal environment during the 2nd hall of the mission and that negative emotions may be displaced to outside monitoring personnel. Methods: To evaluate these issues, we studied 5 American astronauts, 8 Russian cosmonauts, and 42 American and 16 Russian mission control personnel who participated in the Shuttle/Mir space program. Subjects completed questions from the Profile of Mood States, the Group Environment Scale (GES), and the Work Environment Scale (WES) on a weekly basis during the missions.</excerpt>', '<title>Ethical problems of interaction between ground-based personnel and orbital station crewmembers</title> <excerpt>Manned missions onboard orbital stations Salyut-6 and Salyut-7 have led us to the conclusion that a long-term space mission can be viewed as a complex socio-man-machine system whose effectiveness largely depends on the quality of interaction between its subsystems. When analyzing and assessing the reliability of this system, it is important to consider ethical aspects, because they concern human relations, permeating its very component and in the long run determining its efficiency. Psychological and medical examinations before, during and after manned missions have helped us to identify the major points of interaction of the subsystems which require adequate monitoring and optimization using socio-psychological and organization-technical approaches: arrangement and evaluation of the quality of work, arrangement of proper leisure, psychological comfort in the interpersonality and intergroup relations during prolonged space missions.</excerpt>', '<title>Crewmember and mission control personnel interactions during international space station missions</title> <excerpt>Introduction: Reports from astronauts and cosmonauts, studies from space analogue environments on Earth, and our previous research on the Mir Space Station have identified a number of psychosocial issues that can lead to problems during long-duration space missions. Three of these issues (time effects, displacement, leader role) were studied during a series of long-duration missions to the International Space Station (ISS). Methods: As in our previous Mir study, mood and group climate questions from the Profile of Mood States or POMS, the Group Environment Scale or GES, and the Work Environment Scale or WES were completed weekly by 17 ISS crewmembers (15 men, 2 women) in space and 128 American and Russian personnel in mission control.</excerpt>']"
5,24,5_communication_language_aircrew performance_flexible crews,"['communication', 'language', 'aircrew performance', 'flexible crews', 'communication patterns', 'english language fluency', 'language fluency', 'ordination problems', 'fluency', 'pilots mechanics']","['<title>Communication restraints, group flexibility, and group confidence</title> <excerpt>""This study was designed to explore the relationship between selected group structure variables and the group\'s ability to adjust to the requirements of a new situation (group flexibility) and the group members\' expressed confidence in the ability of the group to succeed in a problem-solving situation."" About 1000 men in 96 aircrews did a group task (8-item intelligence exam). Leaders in flexible groups scored low on the F scale and high on conformity. Greater confidence was expressed by members of high attraction groups and groups whose leaders tended to conform to the group members\' opinions.</excerpt>', '<title>Communication Variations and Aircrew Performance</title> <excerpt>The relationship between communication variations and aircrew performance (high-error vs low-error performances) was investigated by analyzing the coded verbal transcripts derived from the videotape records of 18 two-person air transport crews who participated in a high-fidelity, full-mission flight simulation. The flight scenario was designed to be as realistic as possible but consisted of a task which included abnormal operations and required the coordinated efforts of all crew members. It was found that the best performing crews were characterized by nearly identical patterns of communication, whereas the midrange and poorer performing crews showed a great deal of heterogeneity in their speech patterns.</excerpt>', '<title>Optimization of a Customized Leadership Development Program Upskilling English Language Fluency in Brazil Aviation Leaders</title> <excerpt>Objective: The present study explored how a customized leadership development program (LDP) with coursework taught in English to non-native English speakers could optimize English language fluency in Brazil airline leaders. Background: Currently, problems exist with a myriad of native language accents and phraseology interfering with cognitive reflexes especially for aircrews and air traffic controllers to safely do their work. Executives from four Brazilian airlines proactively implemented a 14-month LDP focused on English language fluency and leadership enhancements collectively for leaders within their firms.</excerpt>', ""<title>Communication indices of crew coordination</title> <excerpt>The relationship between communication patterns and performance in 10 two-person flightcrews is explored with the aim of identifying speech variations which differentiate low- and high-error full mission simulator flights. Verbal data, transcribed from the videotaped performances, are treated as interactive sequences of speech events in which statements spoken by one crewmember are considered within the context of the other crewmember's prior and subsequent speech. Specific speech patterns characterized each crew, but the overriding findings included: a) marked homogeneity of patterns characterizing low-error crews, interpreted as the adoption of a standard form of communicating, and b) heterogeneity of patterns characterizing high-error crews, interpreted as the relative absence of a conventionalized form.</excerpt>"", '<title>It Was This Wing Wasn’t It? Identifying the Importance of Verbal Communication in Aviation Maintenance</title> <excerpt>To place communication in context against other maintenance error promoting contributory factors and identify whether communication issues were written or verbal, a semi-structured interview schedule was used to ask 40 aircraft maintenance personnel what goes wrong when maintaining aircraft. Participants described 746 examples of contributory factors and undesired outcomes which were categorized using Dupont’s “dirty dozen.” 147 of the 746 descriptions were communication factors, of which 99 were verbal, 34 were written and 14 were general. Of 34 verbal and 19 written task miscommunication examples, 22 verbal and 10 written were accompanied by descriptions of undesired outcomes.</excerpt>']"
6,24,6_eye tracking_visual scanning_using eye_using eye tracking,"['eye tracking', 'visual scanning', 'using eye', 'using eye tracking', 'gaze patterns', 'eye metrics', 'pilot monitoring', 'independent scene dependent', 'aviation simulation', 'gaze behavior']","['<title>Evaluation of head-free eye tracking as an input device for air traffic control</title> <excerpt>The purpose of this study was to investigate the possibility to integrate a free head motion eye-tracking system as input device in air traffic control (ATC) activity. Sixteen participants used an eye tracker to select targets displayed on a screen as quickly and accurately as possible. We assessed the impact of the presence of visual feedback about gaze position and the method of target selection on selection performance under different difficulty levels induced by variations in target size and target-to-target separation.</excerpt>', ""<title>Eye Accommodation: Use of Vernier Optometers in Behavioral Research</title> <excerpt>The history of the invention and development of devices suitable for the measurement of eye accommodation in behavioral research settings is briefly reviewed. A series of small experiments involving a Micro Vernier Optometer that is “worn” on the head demonstrated the practicality of using the device in a variety of dynamic, real-world situations including flying an airplane simulator, driving an automobile, and'with certain constraints'typing at a video display terminal. Some surprising incidental findings are relevant to virtual imaging displays and to the Mandelbaum effect.</excerpt>"", ""<title>Mining attention distribution paradigm: Discover gaze patterns and their association rules behind the visual image</title> <excerpt>Background and Objective: Attention allocation reflects the way of humans filtering and organizing the information. On one hand, different task scenarios seriously affect human's rule of attention distribution, on the other hand, visual attention reflecting the cognitive and psychological process. Most of the previous studies on visual attention allocation are based on cognitive models, predicted models, or statistical analysis of eye movement data or visual images, however, these methods are inadequate to provide an inside view of gaze behavior to reveal the attention distribution pattern within scenario context.</excerpt>"", '<title>Relationships Between Pilot Gaze Patterns and Control Lapses in Challenging Instrument Approach Flight</title> <excerpt>Objective: This study investigates the link between pilot gaze patterns and control deviations during simulated instrument flight approaches, aiming to understand how attentional focus impacts flight safety. Background: Building on previous research that underscores the importance of situational awareness in aviation, this work delves into the specific aspects of gaze behavior as indicators of cognitive workload and attentional distribution. Unlike prior studies that broadly assessed attentional markers, this research utilizes advanced iris tracking technology to pinpoint how gaze metrics correlate with flight performance.</excerpt>', '<title>Designs and Algorithms to Map Eye Tracking Data with Dynamic Multielement Moving Objects</title> <excerpt>Design concepts and algorithms were developed to address the eye tracking analysis issues that arise when (1) participants interrogate dynamic multielement objects that can overlap on the display and (2) visual angle error of the eye trackers is incapable of providing exact eye fixation coordinates. These issues were addressed by (1) developing dynamic areas of interests (AOIs) in the form of either convex or rectangular shapes to represent the moving and shape-changing multielement objects, (2) introducing the concept of AOI gap tolerance (AGT) that controls the size of the AOIs to address the overlapping and visual angle error issues, and (3) finding a near optimal AGT value. The approach was tested in the context of air traffic control (ATC) operations where air traffic controller specialists (ATCSs) interrogated multiple moving aircraft on a radar display to detect and control the aircraft for the purpose of maintaining safe and expeditious air transportation.</excerpt>']"
7,22,7_pilot workload_workload_task load index_workload flight,"['pilot workload', 'workload', 'task load index', 'workload flight', 'subjective workload', 'observed workload', 'workload experienced', 'nasa task load', 'workload conditions', 'mental workload']","['<title>Inflight workload assessment: Comparison of subjective and physiological measurements</title> <excerpt>Introduction: Assessment of pilot workload during flight is an important aviation safety consideration. The aim of this study was to assess inflight pilot workload using both physiological and multidimensional subjective-ratings measurements (heart rate and NASA Task Load Index, respectively), comparing relative sensitivity during the four phases of flight: take-off, cruise, approach, and landing. Methods: Ten male pilots volunteered to participate in the trials, which took place in a Boeing 747-400 flight simulator.</excerpt>', '<title>Fuzzy-TLX: Using fuzzy integrals for evaluating human mental workload with NASA-Task Load indeX in laboratory and field studies</title> <excerpt>The aim of this study was to assess mental workload in which various load sources must be integrated to derive reliable workload estimates. We report a new algorithm for computing weights from qualitative fuzzy integrals and apply it to the National Aeronautics and Space Administration -Task Load indeX (NASA-TLX) subscales in order to replace the standard pair-wise weighting technique (PWT). In this paper, two empirical studies were reported: (1) In a laboratory experiment, age- and task-related variables were investigated in 53 male volunteers and (2) In a field study, task- and job-related variables were studied on aircrews during 48 commercial flights.</excerpt>', '<title>On the measurement of pilot perceptual workload: A comparison of assessment techniques addressing sensitivity and intrusion issues</title> <excerpt>A flight simulator-based study was conducted to examine fourteen distinct mental workload estimation measures, including opinion, secondary task, physiological, and primary task measures. Both the relative sensitivity of the measures to changes in mental workload and the differential intrusion of the changes on primary task performance were assessed. The flight task was varied in difficulty by manipulation of the presentation rate and complexity of a hazard-perception task that required each of 48 licensed pilots to rely heavily on their perceptual abilities.</excerpt>', '<title>Some Measurement and Methodological Considerations in the Application of Subjective Workload Measurement Techniques</title> <excerpt>Previous research with the NASA Task Load Index (TLX) and the Subjective Workload Assessment Technique (SWAT) has demonstrated their sensitivity to variations in workload under flight and other complex work conditions but has not addressed some important measurement and methodological issues regarding their application. This article reviews data that address several such issues including the effects of delayed workload ratings, the effects of previous workload levels on ratings, and procedures used to combine subscale ratings into one overall estimate of subjective workload. © 1995, Taylor & Francis Group, LLC.</excerpt>', ""<title>Subjective stress assessment: a new, simple method to determine pilot workload</title> <excerpt>Charged with the preparation of an expert opinion concerning psychophysical workload on pilots, the Aviation Psychology Branch of the GAF/IAM studied the 'Subjective Stress Assessment' in which 217 Army, Air Force and Navy pilots filled in a standardized questionnaire. This questionnaire included 170 items to force the pilots into rating their on- and off-duty life; the answers of these people (117 jet, 41 multiple-prop, 14 single-engine, and 45 helicopter pilots) were evaluated quantitatively and qualitatively It may be said - with all reservations towards subjectivity of pilots' opinions - that the pilots' image certainly requires some corrections, in particular as it relates to the ideal and material assessment of the activities of the separate groups of jet, helicopter, and prop pilots. It was the purpose of the study to show that the evaluation of pilots' workload by means of subjective interviews is a valuable method, aside from the assessment of difficulty of tasks by experts, aside from registration and evaluation of certain physiological parameters, and aside from the application of the Second-Task-Method-Registration..</excerpt>""]"
8,22,8_faa academy_specialist atcs_traffic control specialist_control specialist atcs,"['faa academy', 'specialist atcs', 'traffic control specialist', 'control specialist atcs', 'atcs trainees', 'specialist atcs trainees', 'atco training', 'air traffic control', 'traffic control training', 'training air traffic']","[""<title>Predicting professional success of air traffic control personnel from their personality profile at admission to Ab initio training</title> <excerpt>The usefulness of personality measures for predicting air traffic controllers' (ATCs) performance in addition to cognitive aptitudes was tested using NEO Personality Inventory (NEO-PI) results of 60 ATC candidates at admission to the training. Extroversion (E) and its facets Gregariousness (E2) and Positive Emotions (E6) were valid and useful negative predictors of performance over and above cognitive ability level. E, E2, and E6 added to the variance of success in career (8.2%, 12.6%, and 12.7%, respectively).</excerpt>"", ""<title>Objective assessment of prior air traffic control-related experience through the use of an occupational knowledge test</title> <excerpt>The Occupational Knowledge Test (OKT) 101-B was administered to 784 air traffic control trainees who entered the FAA Academy's 16-week training course in 1976. All trainees completed the nonradar laboratory portion of the training and, in addition, completed a preemployment questionnaire. Based on responses to the questionnaire, the trainees were assigned to one of three experience groups, corresponding to groups given credit for experience using Civil Service Commission (CSC) selection procedures.</excerpt>"", '<title>Relationships of anxiety scores to screening and training status of air traffic controllers</title> <excerpt>The present study assessed the relationship between anxiety, as measured by the State-Trait Personality Inventory (STPI), and success of post-strike air traffic control specialist (ATCS) trainees at the FAA Academy and during field training. The STPI was administered to students who entered the FAA Academy between June 1984 and September 1985. Academy test scores were obtained for 1,790 students in the en route option.</excerpt>', '<title>Toward the development of a new aptitude selection test battery for air traffic control specialists</title> <excerpt>In an effort to update and refine the selection battery for air traffic controllers, five experimental tests measuring aptitudes and skills considered important in air traffic work were administered to 1,828 newly selected air traffic control specialist (ATCS) trainees on their first day of training at the FAA Academy in Oklahoma City. The five experimental tests and the five tests presently used by the Office of Personnel Management (OPM) for selecting ATCS trainees were employed in an iterative stepwise regression (stepdown procedure). The tests that made a significant contribution in predicting Academy scores were then used to form a composite and the old test battery and the new battery were compared.</excerpt>', '<title>Some personality and aptitude characteristics of Air Traffic Control Specialist trainees</title> <excerpt>This study examined the interrelations of personality traits, aptitude test scores, and job performance self-expectations as predictors of success in the FAA Academy screening program of prospective air traffic controllers. Based on the State-Trait Personality Inventory (STPI), men and women Air Traffic Control Specialist (ATCS) trainees exhibited less anxiety and anger than normative groups of college students and Navy recruits. ATCS pass rates for 1,284 entrants were lower within each aptitude test score level for the subjects with anxiety or anger scores above the normative levels.</excerpt>']"
