Topic,Count,Name,Representation,Representative_Docs
-1,444,-1_pilot performance and wellness,['pilot performance and wellness'],"['<title>Facilitating LOFT debriefings: Instructor techniques and crew participation</title> <excerpt>This study analyzes techniques instructor pilots (IPs) use to facilitate crew analysis and evaluation of line-oriented flight training performance. We analyzed IP facilitation and crew participation for 36 debriefing sessions conducted at 5 U.S.</excerpt>', '<title>Burnout among pilots: psychosocial factors related to happiness and performance at simulator training</title> <excerpt>In this study among airline pilots, we aim to uncover the work characteristics (job demands and resources) and the outcomes (job crafting, happiness and simulator training performance) that are related to burnout for this occupational group. Using a large sample of airline pilots, we showed that 40% of the participating pilots experience high burnout.</excerpt>', ""<title>Cognitive-Adaptation Training for Improving Performance and Stress Management of Air Force Pilots</title> <excerpt>This study investigated the effects of cognitive-adaptation training on flight performance and stress management in a sample of pilot cadets who were undergoing a basic flying program (N = 21). The aim of the training was to enhance the participants' awareness of the cognitive processes that they used in a given situation, and to strengthen reflective processes.</excerpt>""]"
0,142,0_air traffic management study,['air traffic management study'],"['<title>Datalink communication in flight deck operations: A synthesis of recent studies</title> <excerpt>Current datalink technology provides alphanumeric messages to aircrews using an air-ground digital link. This system produces a procedural change by modifying the way pilots and air traffic controllers interact.</excerpt>', '<title>Workload Perception of Air Traffic Control Officers and Pilots during Continuous Descent Operations Approach Procedures</title> <excerpt>The paper examines the workload perceived by air traffic control officers (ATCOs) and pilots during continuous descent operations (CDOs), applying closed- and open-path procedures. CDOs reduce fuel consumption and noise emissions.</excerpt>', '<title>Transitioning to future air traffic management: Effects of imperfect automation on controller attention and performance</title> <excerpt>Objective: This study examined whether benefits of conflict probe automation would occur in a future air traffic scenario in which air traffic service providers (ATSPs) are not directly responsible for freely maneuvering aircraft but are controlling other nonequipped aircraft (mixed-equipage environment). The objective was to examine how the type of automation imperfection (miss vs false alarm) affects ATSP performance and attention allocation.</excerpt>']"
1,66,1_hypoxia and performance effects,['hypoxia and performance effects'],"['<title>Effects of Hypoxia on Selected Psychophysiological Stress Responses of Military Aircrew</title> <excerpt>There is a lack of information on the psychophysiological response of pilots under hypoxic conditions. The study of the physiological, psychological, cardiorespiratory, neurological, behavioural, sensory, and cognitive symptoms that may appear during training in hypobaric chambers is essential to optimize the training processes of aircrew members.</excerpt>', ""<title>Flight performance during exposure to acute hypobaric hypoxia</title> <excerpt>INTRODUCTION: The purpose of the present study was to examine the influence of hypobaric hypoxia (HH) on a pilot's flight performance during exposure to simulated altitudes of 91, 3048, and 4572 m (300, 10,000, and 15,000 ft) and to monitor the pilot's physiological reactions. METHOD: In a single-blinded counter-balanced design, 12 male pilots were exposed to HH while flying in a flight simulator that had been placed in a hypobaric chamber.</excerpt>"", ""<title>Influence of attitude and expectation on moods and symptoms during cold weather military training</title> <excerpt>The present study examined the influence of the following: 1) air temperature, 2) day into training, 3) self rating of life stress, 4) rating of relative warmth in cold weather, and 5) expectation for liking cold weather training, on 59 soldiers' self-reports of illness and mood during 3 days of training in the cold (-18° to 0°C range). Mood was assessed on six domains of the Profile of Mood States rating scale, and symptoms of illness were assessed on 5 domains of the Environmental Symptoms Questionnaire.</excerpt>""]"
2,64,2_human factors in aviation safety,['human factors in aviation safety'],"['<title>Investigating Language Factors in Aviation Accidents</title> <excerpt>Linguistic and operational experts reviewed accident investigation reports covering a 22-year period (1990-2012) revealing that language factors impact aviation safety in a variety of ways, in contexts extending beyond pilot and air traffic controller communications. The investigation of possible language factors is not accorded the same degree of systematic and expert analysis as is given to the investigation of other human performance and operational factors.</excerpt>', '<title>Error types and related error detection mechanisms in the aviation domain: An analysis of aviation safety reporting system incident reports</title> <excerpt>Human error is considered a contributing factor in 70% to 80% of all aviation accidents. Because errors can never be eliminated completely, a further reduction of the already low accident rate in this domain will require investments in better support for error management.</excerpt>', '<title>Identifying Human Factor Causes of Remotely Piloted Aircraft System Safety Occurrences in Australia</title> <excerpt>Remotely piloted aircraft are a fast-emerging sector of the aviation industry. Although technical failures have been the largest cause of accident occurrences for Remotely Piloted Aircraft Systems (RPASs), if they are to follow the path of conventionally crewed aviation, Human Factors (HFs) will increasingly contribute to accidents as the technology of RPASs improves.</excerpt>']"
3,56,3_air traffic control stress,['air traffic control stress'],"['<title>Effects of an alternating work shift on air traffic controllers and the relationship with excessive daytime sleepiness and stress; Efeitos do turno de trabalho alternado em controladores de tráfego aéreo e relação com sonolência diurna excessiva e estresse</title> <excerpt>Objective: To evaluate symptoms of stress and excessive daytime sleepiness (EDS) in air traffic control (ATC) officers in Brazil. Methods: Fifty-two ATC officers participated, based at three air traffic control units, identified as A, B and C.</excerpt>', '<title>A wearable system for the stress monitoring of air traffic controllers during an air traffic control refresher training and the trier social stress test: A comparative study</title> <excerpt>Background: Air Traffic Control (ATC) is a complex and demanding process, exposing Air Traffic Controllers (ATCs) to high stress. Recently, efforts have been made in ATC to maintain safety and efficiency in the face of increasing air traffic demands.</excerpt>', '<title>Assessment of Occupational Health and Safety Performance in Air Traffic Control: An Empirical Investigation of Stress and Well-Being</title> <excerpt>Air traffic control is widely recognized as one of the most psychologically demanding occupations, where safety and operational performance are tightly interwoven. This study explores the relationship between occupational health and safety (OHS) systems and the psychological well-being of Air Traffic Controllers (ATCOs), focusing on factors such as perceived safety, job satisfaction, stress, and mental strain.</excerpt>']"
4,52,4_psychological adaptation in space,['psychological adaptation in space'],"['<title>Crewmember and mission control personnel interactions during international space station missions</title> <excerpt>Introduction: Reports from astronauts and cosmonauts, studies from space analogue environments on Earth, and our previous research on the Mir Space Station have identified a number of psychosocial issues that can lead to problems during long-duration space missions. Three of these issues (time effects, displacement, leader role) were studied during a series of long-duration missions to the International Space Station (ISS).</excerpt>', '<title>Psychological study of a crew in long-term space flight simulation</title> <excerpt>This research derives from a 60-day isolation study realized for the European Space Agency (ESA) as a simulation of space flights. Three goals were pursued in this study: (a) to study individual and group responses to the stress factors specific to the simulation; (b) to make a critical comparison of a variety of tools and methods used for this purpose; and (c) to express recommendations for future research.</excerpt>', '<title>Content analysis of the crew communication with external communicants under prolonged isolation</title> <excerpt>Background: The communication between space crews and outside monitoring personnel in Mission Control gives us valuable information about crewmember psychological health. Studying the formal parameters of similar communication during ground-based space simulation missions helps us understand the psychological climate of confined groups over time, and this information can be applied to long-term space missions.</excerpt>']"
5,44,5_pilot personality assessment,['pilot personality assessment'],"['<title>Personality and motivational needs in Indian military pilots</title> <excerpt>Research on cultural differences provides a different aspect of the attributes in pilots that might affect job performance. Basic attributes of personality and motivation are of importance for military aviators to maintain optimal personal effectiveness, flying proficiency and safety in aviation.</excerpt>', '<title>Pilot Personality and Crew Coordination: Implications for Training and Selection</title> <excerpt>The performance of pilots can be construed as a product of skill, attitude, and personality factors. Although a great deal of effort within the aviation community has been focused on ensuring technical expertise, and new efforts highlight attitudes associated with crew coordination, personality factors have been relatively unexplored.</excerpt>', '<title>The Eysenck Personality Inventory as a selection test for military pilots</title> <excerpt>As part of a study of the selection of candidates for pilot training in the Army Air Corps, EPI scores have been analysed in relation to success in training. Data from 432 AAC and 205 RAF student pilots have been examined.</excerpt>']"
6,38,6_crew health and performance,['crew health and performance'],"[""<title>Stressors, stress and stress consequences during long-duration manned space missions: a descriptive model</title> <excerpt>Keeping crew members in good health is a major factor in the success or failure of long-duration manned space missions. Among the many possible agents that can affect the crew's general well-being, stress is certainly one of the most critical because of its implications on human health and performance, both physical and mental.</excerpt>"", '<title>Human performance during spaceflight.</title> <excerpt>The paper focuses on three different questions: (1) What attributes cause space to be an extreme environment for humans? (2) What do we know about mental performance during spaceflight? (3) What kinds of psychological countermeasures are currently applied and/or conceivable for prolonged spaceflight which might help maintain mental efficiency and stabilize the emotional state of astronauts? Topics discussed include stressors that originate in the space environment, stressors related to the space habitat and its life-support system, stressors related to the mission specific workload of astronauts, stressors that arise from the psychosocial situation in a space habitat, manual performance during spaceflight, and psychological countermeasures for prolonged spaceflight..</excerpt>', '<title>Psychological and behavioral health issues of long-duration space missions.</title> <excerpt>It will be the responsibility of the long-duration space flight crew to take the actions necessary to maintain their health and well-being and to cope with medical emergencies without direct assistance from support personnel, including maintaining mental health and managing physiological and psychological changes that may impair decision making and performance. The Behavior and Performance Integrated Product Team at Johnson Space Center, working within the Space Medicine, Monitoring, and Countermeasures Program, has identified critical questions pertaining to long-duration space crew behavioral health, psychological adaptation, human factors and habitability, and sleep and circadian rhythms.</excerpt>']"
7,38,7_pilot training innovations,['pilot training innovations'],"['<title>The “Artful” Decision Maker: A Framework Model for Aeronautical Decision Making</title> <excerpt>The important role of good decision making in aviation safety is now widely recognized. Although much effort has been devoted to the development of prescriptive models of aeronautical decision making (ADM) and the preparation of training materials, very few attempts have been made to study the actual decision-making processes of pilots.</excerpt>', '<title>The Future of Fighter Pilot Training? Live Virtual Constructive in Large Force Exercises: Perceived and Expected Training Value</title> <excerpt>Objective: This study investigates whether and how perceived training value varies among fighter pilots participating in a large force exercise (LFE), and whether they expect Live Virtual Constructive (LVC) training to enhance training value of future LFEs. Background: LVC technology is maturing but its expected training value is under-investigated, especially regarding future LVC in LFEs.</excerpt>', '<title>A simulator-based approach to training in aeronautical decision making</title> <excerpt>The effectiveness of a simulator-based approach to training pilot skills in risk assessment and decision making was evaluated in a sample of pilots enrolled in a university aviation science program. The 16 experimental group subjects received 4 hours (h) of classroom instruction designed to enhance pilot judgment skills, followed by 4 simulated cross-country flights during which several critical inflights events occurred.</excerpt>']"
8,37,8_pilot workload assessment,['pilot workload assessment'],"['<title>Predicting pilot task demand load during final approach</title> <excerpt>This research aims at developing a method to assess the safety of airport approaches from the perspective of airline pilots. The main hypothesis is that safety is inversely proportional to the task demand load (TDL) experienced by the pilots conducting it.</excerpt>', '<title>Inflight workload assessment: Comparison of subjective and physiological measurements</title> <excerpt>Introduction: Assessment of pilot workload during flight is an important aviation safety consideration. The aim of this study was to assess inflight pilot workload using both physiological and multidimensional subjective-ratings measurements (heart rate and NASA Task Load Index, respectively), comparing relative sensitivity during the four phases of flight: take-off, cruise, approach, and landing.</excerpt>', ""<title>Subjective stress assessment: a new, simple method to determine pilot workload</title> <excerpt>Charged with the preparation of an expert opinion concerning psychophysical workload on pilots, the Aviation Psychology Branch of the GAF/IAM studied the 'Subjective Stress Assessment' in which 217 Army, Air Force and Navy pilots filled in a standardized questionnaire. This questionnaire included 170 items to force the pilots into rating their on- and off-duty life; the answers of these people (117 jet, 41 multiple-prop, 14 single-engine, and 45 helicopter pilots) were evaluated quantitatively and qualitatively It may be said - with all reservations towards subjectivity of pilots' opinions - that the pilots' image certainly requires some corrections, in particular as it relates to the ideal and material assessment of the activities of the separate groups of jet, helicopter, and prop pilots.</excerpt>""]"
