Topic,Count,Name,Representation,Representative_Docs
-1,428,-1_flight safety_airline pilots_psychological resilience_aviation safety,"['flight safety', 'airline pilots', 'psychological resilience', 'aviation safety', 'psychological', 'airlines', 'coping', 'american airlines', 'airline', 'anxiety']","['<title>Psychological and behavioral health issues of long-duration space missions.</title> <excerpt>It will be the responsibility of the long-duration space flight crew to take the actions necessary to maintain their health and well-being and to cope with medical emergencies without direct assistance from support personnel, including maintaining mental health and managing physiological and psychological changes that may impair decision making and performance. The Behavior and Performance Integrated Product Team at Johnson Space Center, working within the Space Medicine, Monitoring, and Countermeasures Program, has identified critical questions pertaining to long-duration space crew behavioral health, psychological adaptation, human factors and habitability, and sleep and circadian rhythms.</excerpt>', '<title>Associations of suffering with facets of health and well-being among working adults: longitudinal evidence from two samples</title> <excerpt>Suffering is an experiential state that every person encounters at one time or another, yet little is known about suffering and its consequences for the health and well-being of nonclinical adult populations. In a pair of longitudinal studies, we used two waves of data from garment factory workers (Study 1 [T1: 2017, T2: 2019]: n = 344) and flight attendants (Study 2 [T1: 2017/2018, T2: 2020]: n = 1402) to examine the prospective associations of suffering with 16 outcomes across different domains of health and well-being: physical health, health behavior, mental health, psychological well-being, character strengths, and social well-being.</excerpt>', '<title>PTSD reactions and coping responses of American Airlines flight attendants who were former employees of Trans World Airlines: Further support of a psychological contagion effect</title> <excerpt>Previous findings comparing the psychological reactions and functional coping of East Coast- and West Coast-based American Airlines (AA) flight attendants after the attacks on September 11 provide support for a psychological contagion phenomenon (Lating, Sherman, Lowry, Everly, & Peragine, 2004). The purpose of this investigation was to expand these results by creating an additional comparison group consisting of current AA flight attendants not working on either the East Coast or the West Coast and who were also previously working for Trans World Airlines (TWA) before AA took over operating authority in April 2001.</excerpt>', '<title>PTSD reactions and functioning of American Airlines flight attendants in the wake of September 11</title> <excerpt>The authors explore the psychological reactions and functional coping responses of American Airlines (AA) flight attendants, a unique at-risk group of people in the war on terrorism, in the aftermath of the September 11 attacks. Demographic characteristics and standardized questionnaires, including the Posttraumatic Stress Disorder Checklist and the Psychotherapy Outcome Assessment and Monitoring System-Trauma Version, were sent in June 2002 to approximately 26,000 AA flight attendants.</excerpt>', ""<title>Third-culture kid pilots and multi-cultural identity efects on pilots' attitudes</title> <excerpt>IP: 103.3.231.66 On: Thu, 09 Jan 2020 04:17:02 Copyright: Aerospace Medical Association BACKGROUND: Current attempts to culturally tailor human factors training in aviation segregates cultural identities based on geopoliti- cal, passport nationality, and is therefore poorly suited for (adult) 'Third Culture Kids' (TCKs) whose cross-cultural upbringing has led to the development of multicultural individual identities that do not relect their passport nationali- ties. In this study, respondents' self-categorization of personal cultural identity, as opposed to passport nationality, was used to determine whether there were cultural diferences in airline pilots' behaviors.</excerpt>""]"
0,95,0_human spaceflight_space psychology_prolonged spaceflight_space crews,"['human spaceflight', 'space psychology', 'prolonged spaceflight', 'space crews', 'astronauts', 'astronauts cosmonauts', 'manned space missions', 'spaceflight', 'astronaut', 'mission control personnel']","[""<title>Some psychological and engineering aspects of the extravehicular activity of astronauts.</title> <excerpt>One of the main in-flight problems being fulfilled by astronauts is the preparation for and realization of egress into open space for the purpose of different kinds of extravehicular activity, such as, the performance of scientific experiments, repairing and dismantling operations etc. The astronaut's activity outside the space vehicle is the most difficult item of the space flight programme, which is complicated by a number of space factors affecting a man, viz dynamic weightlessness, work in a space suit under conditions of excessive pressure, difficulties of space orientation etc.</excerpt>"", '<title>Psychosocial issues affecting crews during long-duration international space missions</title> <excerpt>Psychosocial issues can negatively impact on crew performance and morale during long-duration international space missions. Major psychosocial factors that have been described in anecdotal reports from space and in studies from analog situations on Earth include: 1) crew heterogeneity due to gender differences, cultural issues, and work experiences and motivations; 2) language and dialect variations; and 3) task versus supportive leadership roles.</excerpt>', '<title>Crewmember and ground personnel interactions over time during Shuttle/Mir space missions</title> <excerpt>Background: Anecdotal reports from space and results from simulation studies on Earth have suggested that space crewmembers may experience decrements in their mood and interpersonal environment during the 2nd hall of the mission and that negative emotions may be displaced to outside monitoring personnel. Methods: To evaluate these issues, we studied 5 American astronauts, 8 Russian cosmonauts, and 42 American and 16 Russian mission control personnel who participated in the Shuttle/Mir space program.</excerpt>', '<title>Crewmember and mission control personnel interactions during international space station missions</title> <excerpt>Introduction: Reports from astronauts and cosmonauts, studies from space analogue environments on Earth, and our previous research on the Mir Space Station have identified a number of psychosocial issues that can lead to problems during long-duration space missions. Three of these issues (time effects, displacement, leader role) were studied during a series of long-duration missions to the International Space Station (ISS).</excerpt>', '<title>Human performance during spaceflight.</title> <excerpt>The paper focuses on three different questions: (1) What attributes cause space to be an extreme environment for humans? (2) What do we know about mental performance during spaceflight? (3) What kinds of psychological countermeasures are currently applied and/or conceivable for prolonged spaceflight which might help maintain mental efficiency and stabilize the emotional state of astronauts? Topics discussed include stressors that originate in the space environment, stressors related to the space habitat and its life-support system, stressors related to the mission specific workload of astronauts, stressors that arise from the psychosocial situation in a space habitat, manual performance during spaceflight, and psychological countermeasures for prolonged spaceflight..</excerpt>']"
1,70,1_automation induced complacency_automation induced_human automation_cockpit automation,"['automation induced complacency', 'automation induced', 'human automation', 'cockpit automation', 'automation bias', 'human automation interaction', 'automation interaction', 'automation', 'aviation automation', 'interaction cockpit']","[""<title>Applying adaptive control and display characteristics to future air force crew stations</title> <excerpt>The Human Effectiveness Directorate of the Air Force Research Laboratory is developing and evaluating human-machine interface concepts to enhance overall weapon system performance by embedding knowledge of the operator's state inside the interface, enabling the interface to make informed, automated decisions regarding many of the interface's information management display characteristics. Some of these characteristics include information modality, spatial arrangement, and temporal organization.</excerpt>"", '<title>Automation bias and errors: Are crews better than individuals?</title> <excerpt>The availability of automated decision aids can sometimes feed into the general human tendency to travel the road of least cognitive effort. Is this tendency toward ""automation bias"" (the use of automation as a heuristic replacement for vigilant information seeking and processing) ameliorated when more than one decision maker is monitoring system events? This study examined automation bias in two-person crews versus solo performers under varying instruction conditions.</excerpt>', ""<title>The need for multisensory interfaces in support of effective attention allocation in highly dynamic event-driven domains: The case of cockpit automation</title> <excerpt>In a variety of domains, automation technology has evolved from passive tools to highly autonomous agents that can initiate actions independent of user input and without explicit operator consent. This evolution brings with it an increased need for effective human-automation communication and coordination to ensure that both agents stay informed about each others' goals, activities, and limitations.</excerpt>"", '<title>The essentials of defining adaptation</title> <excerpt>The concept of adaptation has a considerable importance in many areas of research. Evolution theory is all about long-term adaptation, psychology is (among other things) interested in how people cope mentally with various changes in their life, business research tries to find ways to make companies survive and flourish in the ever more turbulent markets, armies rethink their strategies and become more flexible to be able to counter new threats, engineering disciplines move towards making systems better at reconfiguring and repairing themselves without costly and time-consuming human intervention, achieving sophisticated artificial life and artificial intelligence is in large part about finding out how to create systems that are highly adaptive and cope with the difficult and often unexpected situations they encounter, and so forth.</excerpt>', ""<title>The retention of manual flying skills in the automated cockpit</title> <excerpt>Objective: The aim of this study was to understand how the prolonged use of cockpit automation is affecting pilots' manual flying skills.Background: There is an ongoing concern about a potential deterioration of manual flying skills among pilots who assume a supervisory role while cockpit automation systems carry out tasks that were once performed by human pilots.Method: We asked 16 airline pilots to fly routine and nonroutine flight scenarios in a Boeing 747-400 simulator while we systematically varied the level of automation that they used, graded their performance, and probed them about what they were thinking about as they flew.Results: We found pilots' instrument scanning and manual control skills to be mostly intact, even when pilots reported that they were infrequently practiced. However, when pilots were asked to manually perform the cognitive tasks needed for manual flight (eg, tracking the aircraft's position without the use of a map display, deciding which navigational steps come next, recognizing instrument system failures), we observed more frequent and significant problems.</excerpt>""]"
2,49,2_computer aviation training_aviation training_aviation training devices_pilot training,"['computer aviation training', 'aviation training', 'aviation training devices', 'pilot training', 'flight training', 'training combat skills', 'training effectiveness', 'training research', 'initio pilot training', 'initio flight training']","['<title>The Future of Fighter Pilot Training? Live Virtual Constructive in Large Force Exercises: Perceived and Expected Training Value</title> <excerpt>Objective: This study investigates whether and how perceived training value varies among fighter pilots participating in a large force exercise (LFE), and whether they expect Live Virtual Constructive (LVC) training to enhance training value of future LFEs. Background: LVC technology is maturing but its expected training value is under-investigated, especially regarding future LVC in LFEs.</excerpt>', '<title>Assessment of Augmented Reality Technology’s Impact on Speed of Learning and Task Performance in Aeronautical Engineering Technology Education</title> <excerpt>Objective: This study compared learning and skill transfer among university aviation students using interactive Augmented Reality (AR) technology versus traditional paper-based instruction. While similar AR use and research in university education exists, this study piloted a comparative method assessing knowledge retention and transfer.</excerpt>', ""<title>Personal Computer Aviation Training Devices: Their Effectiveness for Maintaining Instrument Currency</title> <excerpt>This study examined the effectiveness of personal computer aviation training devices (PCATDs) for maintaining the Federal Aviation Administration's instrument-currency requirement. One hundred and six instrument-current pilots received an instrument proficiency check (IPC) and were assigned equally to 3 independent training groups (aircraft, flight training device [FTD], and PC AID) and to a control group who received no training.</excerpt>"", ""<title>Effectiveness of Ab Initio Flight Training Using Either Linked or Unlinked Primary-Axis Flight Controls</title> <excerpt>Twenty ab initio student pilots flew a scries of simulated approaches in either a linked or unlinked primary flight control configuration The results indicated that those pilots who performed the task in the unlinked configuration flew less smoothly than those in the linked condition and showed no evidence of skill acquisition, it is suggested that the physical linkage of the student's and instructor's primary flight controls is an important channel of communication that enhances skill development in trainee pilots. © 1995, Taylor & Francis Group, LLC.</excerpt>"", '<title>Application of a multifactor approach to transfer of training research</title> <excerpt>A multifactor, multicriterion transfer of training experiment involving a computer-generated horizontal tracking task was conducted to establish relationships among training and transfer scores for manual control of a maneuvering vehicle, to determine the response surfaces for training and transfer, and to demonstrate a new transfer research paradigm that makes economically feasible the simultaneous investigation of the effects of a large number of training-equipment and use variables on transfer to multiple-criterion vehicle configurations. There were 80 experimental participants, 48 of whom were trained and tested on individually unique combinations of training and transfer conditions.</excerpt>']"
3,48,3_air traffic conflict_air traffic controllers_air traffic control_air traffic controller,"['air traffic conflict', 'air traffic controllers', 'air traffic control', 'air traffic controller', 'conflict detection air', 'airspace cognitive', 'complexity air traffic', 'air traffic complexity', 'conflict resolution', 'traffic controllers']","['<title>The Difficulty to Break a Relational Complexity Network Can Predict Air Traffic Controllers’ Mental Workload and Performance in Conflict Resolution</title> <excerpt>Objective: To test the network disentangling model for explaining air traffic controllers’ (ATCos) conflict resolution performance. The network rigidity index (NRI), and the steps to break the relational complexity network following a central-available-node-first rule, was hypothesized to explain the overall task demand, whereas marginal-effort-decrease rule was expected to explain the actual operational outcome.</excerpt>', '<title>Evaluation of conflict-resolution policies on controller taskload</title> <excerpt>In an effort to maintain safety while satisfying growing air traffic demand, air navigation service providers are considering the inclusion of advisory systems to identify potential conflicts and propose resolution commands for the air traffic controller to verify and issue to aircraft. To understand the potential workload implications of introducing advisory conflict-detection and resolution tools, this paper examines a metric of controller taskload: how many resolution commands an air traffic controller issues under the guidance of an advisory system.</excerpt>', '<title>Cognitive evaluation of human-human and human-machine cooperation modes in air traffic control</title> <excerpt>An experiment is described that aimed at evaluating a principle of dynamic task allocation (DTA) of conflict resolution between aircraft in air-traffic control on a large scale simulator. It included three cognitive agents: the radar controller (RC), in charge of conflict detection and resolution; the planning controller (PC), in charge of entry-exit coordination and of workload regulation; and a conflict resolution computer system (SAINTEX), able to manage only simple conflicts.</excerpt>', ""<title>Temporal management of flight strips in en route air traffic control: A full-scope simulation test on task analyses assumptions</title> <excerpt>In en route air traffic control, task analyses assume that the planning controller detects potential problems to alleviate the radar controller's workload. Ten expert controllers were involved in a full-scope simulation study, and displacements of flight strips were analyzed as a function of the controller and as a function of the role these motor acts have in indicating problem detection, monitoring the ongoing resolution, or sending the aircraft to other control positions.</excerpt>"", '<title>Hierarchical conflict detection in air traffic control</title> <excerpt>Experienced air traffic controllers and naïve college students participated in 2 experiments we conducted to test a hypothesis that controllers evaluate potential conflicts between aircraft in a hierarchical manner, comparing altitudes first for vertical separation, then extrapolating aircraft trajectories for lateral separation, and finally performing speed-distance computations for longitudinal separation. The results clearly support the hypothesis and imply that controller workload in terms of time pressure could be determined by momentary conflict geometries between aircraft pairs in a sector.</excerpt>']"
4,46,4_pilot selection classification_pilot selection_pilot candidate selection_pilot selection test,"['pilot selection classification', 'pilot selection', 'pilot candidate selection', 'pilot selection test', 'pilot training performance', 'aviation selection test', 'pilot training', 'pilot training success', 'aviation selection', 'pilot candidates']","['<title>Improving the Pilot Selection System: Statistical Approaches and Selection Processes</title> <excerpt>Pilot selection systems traditionally use one of three statistical approaches to model candidate performance: multiple linear regression, linear discriminant analysis, and logistic regression. This article reviews the literature comparing selection decisions using these three approaches and compares the classification accuracy of linear discriminant analysis and logistic regression to the results from two Monte Carlo simulations.</excerpt>', '<title>Sex as a moderator variable in the selection and training of persons for a skilled task</title> <excerpt>We gave 51 male and 52 female Air Force Academy Cadets a battery of five cognitive and three perceptual motor tests before they were taught four basic flight maneuvers followed by a complex chandelle maneuver. The results showed that the males were much faster in attaining the criterion level of performance on the flight tasks, and that some of the sex differences in the acquisition of task skills can be reduced by means of pretraining on specific cognitive and motor skills.</excerpt>', '<title>Predicting Success in Primary Flying School From the Canadian Automated Pilot Selection System: Derivation and Cross-Validation</title> <excerpt>This research derived and cross-validated an equation predicting outcome in Primary Flying School (PFS)öthe initial stage of Canadian Forces (CF) pilot trainingöfrom the Canadian Automated Pilot Selection System (CAPSS), a computer-driven, moving-base flight simulator recording up to 250,000 instrument readings per candidate. For the derivation study, 225 pilot candidates operated CAPSS before entering PFS.</excerpt>', '<title>Improving the Selection of Air Force Pilot Candidates Using Latent Trajectories: An Application of Latent Growth Mixture Modeling</title> <excerpt>Latent growth mixture modeling is a statistical approach that models longitudinal data, grouping individuals who share similar longitudinal data patterns into latent classes. We evaluated the application of this method in a sample of ab initio pilot applicants (N\xa0=\xa0297), using longitudinal data collected from a military flight-screening program (where the applicants flew seven required flights), resulting in a final pass–fail outcome.</excerpt>', '<title>Selection of Air Force Pilot Candidates: A Case Study on the Predictive Accuracy of Discriminant Analysis, Logistic Regression, and Four Neural Network Types</title> <excerpt>We evaluated the predictive classification accuracy of discriminant analysis, logistic regression and four neural network typologies (multiple layer perceptrons, radial basis networks, probabilistic neural networks, and linear neural networks) on a flight screening program with a pass-fail criterion using several psychometric tests as predictors. A stepwise (for logistic regression and discriminant analysis) and sensitivity (for neural networks) selection procedure identified spatial visualization, eye-hand-foot coordination, and concentration capacity as significant predictors.</excerpt>']"
5,45,5_personality traits_personality questionnaire_assess personality_personality characteristics,"['personality traits', 'personality questionnaire', 'assess personality', 'personality characteristics', 'personality factors', 'personality inventory', 'myers briggs type', 'personality types', 'myers briggs', 'personality']","['<title>Personality types of flight crew members in a hospital-based helicopter program</title> <excerpt>Purpose: To determine the personality preferences of flight crew members in a hospital-based helicopter emergency medical service (HEMS) using the Myers-Briggs Type Indicator (MBTI), and to differentiate and compare these preferences between crew specialties and a historical control population. Methods: A prospective cohort study was conducted of all active crew members (nurses, respiratory therapists and pilots) in a hospital-based flight program.</excerpt>', '<title>Selected Personality Characteristics of Student Naval Aviators and Student Naval Flight Officers</title> <excerpt>The Tridimensional Personality Questionnaire and the Hand Test were administered to 129 naval aviation student (79 student naval aviators and 50 student naval flight officer) candidates while they were waiting to begin basic flight training. Results indicated that, although pilot and flight officer candidate scores departed significantly in the same direction from normative data, there were few significant differences between the 2 groups on personality dimensions.</excerpt>', ""<title>Prognostic value of studying personality traits of civil aviation pilots</title> <excerpt>A clinical and psychological examination of civil aviation pilots, including ones with a history of attempted suicide, and an in-depth study of the personality qualities of the pilots by means of a modified standardized multifactor personality study and a portrait choice method based on a modification of Szondi's test for eight drives were performed. The analysis of psychological features in pilots with a history of attempted suicide showed a neurotic type of maladaptation formed on the basis of the domination of hyposthenic traits in the personality structure.</excerpt>"", '<title>MBTI personality types of korean cabin crew in middle eastern airlines and their associations with cross-cultural adjustment competency, occupational competency, coping competency, mental health and turnover intention</title> <excerpt>The purposes of this study were (1) to identify MBTI (Myers–Briggs Type Indicator) personality profiles of Korean cabin crew in Middle Eastern airlines, (2) to determine whether MBTI personality affects their cross-cultural adjustment competency, occupational competency, and coping competency, and (3) to analyze the impact of these variables on their mental health and turnover intention. Furthermore, we verified (4) the moderating effect of cabin crew’s previous overseas experience on the relationship between cross-cultural adjustment competency and turnover intention.</excerpt>', ""<title>A study on the student pilot's mental workload due to personality types of both instructor and student</title> <excerpt>The main purpose of this paper is to provide the ideal flight crew combination for instructor and student pilots in order to enhance the flight training effects based on Myers Briggs Type Indicator (MBTI) theory. In addition to personality, various levels of flight difficulty are considered in order to investigate their potential interaction effect in terms of student pilots' mental workload measured in heart rate, altitude deviation, NASA-TLX (Task Load Index) and subjective degree of personality harmony.</excerpt>""]"
6,44,6_flight displays_cockpit displays_flight path displays_map displays,"['flight displays', 'cockpit displays', 'flight path displays', 'map displays', 'displays', 'display design', 'navigation display', 'head displays', 'helmet mounted display', 'graphics']","['<title>Peripheral Polar-Graphic Displays for Signal/Failure Detection</title> <excerpt>The object of this series of studies was to examine the utility of multivariate polar-graphic iconic displays, placed in the parafoveal or near-peripheral regions of the visual field, for the presentation of multiple indices of subsystem performance in an aircraft system context. Results of the first study suggest that (a) such a display, circumscribed about a primary flight instrument, could be used readily to detect performance deviations that exceeded defined “normal” bounds; and (b) polygons are more effective than polar histograms.</excerpt>', ""<title>Tactical displays for combat awareness: An examination of dimensionality and frame of reference concepts and the application of cognitive engineering</title> <excerpt>Three prototype displays are contrasted for aircraft navigation and tactical hazard awareness: a conventional 2-D coplanar display, an exocentric (God's eye) 3-D display, and an immersed (pilot's eye) 3-D display coupled with a small scale global display. Strengths and weaknesses of each display type are discussed, related particularly to the ambiguity of perspective displays and to attention allocation problems with dual-display suites.</excerpt>"", ""<title>Electronic maps for terminal area navigation: Effects of frame of reference and dimensionality</title> <excerpt>Two experiments are reported that contrast rotating versus fixed electronic map displays, which pilots used for a simulated approach to a landing. In Experiment 1, a rotating versus fixed-map display was experimentally crossed with a two-dimensional (2D) versus three-dimensional (3D) view (perspective map) as pilots' ability to maintain the flight path and demonstrate awareness of the location of surrounding terrain features were assessed.</excerpt>"", ""<title>Designing energy display formats for civil aircraft: Reply to Amelink, Mulder, van Paassen, and Flach</title> <excerpt>In their recent article on total energy-based flight-path displays, Amelink, Mulder, van Paassen, and Flach (2005) quite rightly pointed out that energy issues are covered in descriptions of the piloting task, which tend to be based on the machine's behavior, rather than the system's functions and their relation to the goals to be achieved. Taking a more holistic approach, referred to by Amelink et al as ecological interface design, will lead to greater pilot situation awareness, flight safety, and efficiency.</excerpt>"", '<title>Vertical navigation displays: Pilot performance and workload during simulated constant angle of descent GPS approaches</title> <excerpt>This study compared the effect of alternative graphic or numeric vertical navigation aircraft cockpit displays on horizontal and vertical flight technical error, workload, and subjective preference. Displays included (a) a moving map with altitude range arc; (b) the same format, supplemented with a push-to-see profile view, including a vector flight-path predictor; (c) an equivalent numeric display; and (d) a numeric nonvertical navigation display.</excerpt>']"
7,40,7_pilot gaze patterns_pilots attention distributions_pilot gaze_pilots gaze,"['pilot gaze patterns', 'pilots attention distributions', 'pilot gaze', 'pilots gaze', 'gaze behavior', 'eye accommodation', 'eye tracking measurements', 'eye scanning behavior', 'gaze patterns control', 'eye movement']","['<title>Integrating positive psychology applications into the EMDR Peak Performance protocol</title> <excerpt>Introduction: This article describes an innovative Eye Movement Desensitization and Reprocessing (EMDR) protocol which applies the standard EMDR protocol, with modifications, to the reduction of performance anxiety and enhancement of skillful performance in higher functioning clients. Objective: The intention was to compare a modified version of the standard EMDR protocol for the reduction of performance anxiety and the enhancement of performance.</excerpt>', ""<title>The effects of flight complexity on gaze entropy: An experimental study with fighter pilots</title> <excerpt>We studied the effects of task load variations as a function of flight complexity on combat pilots' gaze behavior (ie, entropy) while solving in-flight emergencies. The second company of the Spanish Army Attack Helicopter Battalion (n = 15) performed three sets of standardized flight exercises with different levels of complexity (low [recognition flights], medium and high [emergency flights]).</excerpt>"", '<title>Relationships Between Pilot Gaze Patterns and Control Lapses in Challenging Instrument Approach Flight</title> <excerpt>Objective: This study investigates the link between pilot gaze patterns and control deviations during simulated instrument flight approaches, aiming to understand how attentional focus impacts flight safety. Background: Building on previous research that underscores the importance of situational awareness in aviation, this work delves into the specific aspects of gaze behavior as indicators of cognitive workload and attentional distribution.</excerpt>', ""<title>Eye Accommodation: Use of Vernier Optometers in Behavioral Research</title> <excerpt>The history of the invention and development of devices suitable for the measurement of eye accommodation in behavioral research settings is briefly reviewed. A series of small experiments involving a Micro Vernier Optometer that is “worn” on the head demonstrated the practicality of using the device in a variety of dynamic, real-world situations including flying an airplane simulator, driving an automobile, and'with certain constraints'typing at a video display terminal.</excerpt>"", '<title>Designs and Algorithms to Map Eye Tracking Data with Dynamic Multielement Moving Objects</title> <excerpt>Design concepts and algorithms were developed to address the eye tracking analysis issues that arise when (1) participants interrogate dynamic multielement objects that can overlap on the display and (2) visual angle error of the eye trackers is incapable of providing exact eye fixation coordinates. These issues were addressed by (1) developing dynamic areas of interests (AOIs) in the form of either convex or rectangular shapes to represent the moving and shape-changing multielement objects, (2) introducing the concept of AOI gap tolerance (AGT) that controls the size of the AOIs to address the overlapping and visual angle error issues, and (3) finding a near optimal AGT value.</excerpt>']"
8,34,8_circadian adaptation airline_circadian rhythms flight_circadian adaptation_changes circadian,"['circadian adaptation airline', 'circadian rhythms flight', 'circadian adaptation', 'changes circadian', 'circadian', 'human circadian', 'circadian sleep', 'circadian rhythms', 'changes circadian rhythms', 'circadian rhythms fatigue']","['<title>Predicting jet lag in long-haul cabin crew: The role of illness cognitions and behaviour</title> <excerpt>Objective: Established risk factors for jet lag are mostly physiological including circadian preference, age, gender, the number of flight zones crossed and to some extent direction of travel. Some research has also highlighted a role for psychosocial factors including sleep, diet and ‘circadian’ health behaviours and illness cognitions although this remains relatively untested.</excerpt>', '<title>Eastward long distance flights, sleep and wake patterns in air crews in connection with a two-day layover</title> <excerpt>The present study describes the spontaneous sleep/wake pattern in connection with an eastward (Stockholm to Tokyo, +8 h) transmeridian flight and short (51 h) layovers. To describe all sleep episodes and the recovery process across 4 days, and to relate adjustment to individual differences, 49 Scandinavian Airlines System (SAS) air crew were monitored for 9 days with activity monitors and sleep/wake diary before-during-after flight.</excerpt>', '<title>Individual differences in phase shifts of the human circadian system and performance deficit.</title> <excerpt>At periodic intervals throughout the biological day, assessments were made for a week prior to intercontinental flight yielding a reference of biological time set to the environment of origin, for two weeks at the temporally displaced environment of destination, and for a week following return to the environment of origin. Assessments made included rectal temperature, heart rate, respiratory rate, palmar evaporative water loss, urinalysis, reaction time, decision time, critical flicker fusion, subjective fatigue and well-being, and intellectual facility.</excerpt>', ""<title>Circadian adaptation of airline pilots during extended duration operations between the USA and Asia</title> <excerpt>This study tracked circadian adaptation among airline pilots before, during, and after trips where they flew from Seattle (SEA) or Los Angeles (LAX) to Asia (7-9 time zones westward), spent 7-12d in Asia, and then flew back to the USA. In Asia, pilots' exposures to local time cues and sleep opportunities were constrained by duty (short-haul flights crossing 1 time zone/24h).</excerpt>"", ""<title>Circadian arrhythmia: Shiftwork, travel and health</title> <excerpt>There are many reasons why employees' working hours may come into conflict with the inherent (circadian) rhythms of their bodies. Vital services such as police, ambulance, hospitals, electricity must be maintained 24 hours a day; expensive equipment is more profitable if used continuously; machinery such as furnaces may be damaged if shut down.Work patterns which conflict with our circadian rhythms may produce fatigue, a tendency to make errors, accident-proneness, 'jet-lag' and perhaps ill health.Those most at risk are shiftworkers and aircrew: whilst the latter must cope with changing shift patterns and time-zone changes, the former are required to adapt to changes in work/sleep patterns against an environmental background disruptive to such an adaptation.More difficulties arise when we consider those with chronic health problems since employees on long-term medication may not be able to reconcile an unvarying drug regimen to an ever-changing work pattern.</excerpt>""]"
