Topic,Count,Name,Representation,Representative_Docs
-1,591,-1_flight attendants_airline pilots_flight simulator_pilot performance,"['flight attendants', 'airline pilots', 'flight simulator', 'pilot performance', 'mental health', 'coping', 'airline', 'commercial aviation', 'psychophysiological', 'situational awareness']","['<title>Psychological and behavioral health issues of long-duration space missions.</title> <excerpt>It will be the responsibility of the long-duration space flight crew to take the actions necessary to maintain their health and well-being and to cope with medical emergencies without direct assistance from support personnel, including maintaining mental health and managing physiological and psychological changes that may impair decision making and performance. The Behavior and Performance Integrated Product Team at Johnson Space Center, working within the Space Medicine, Monitoring, and Countermeasures Program, has identified critical questions pertaining to long-duration space crew behavioral health, psychological adaptation, human factors and habitability, and sleep and circadian rhythms.</excerpt>', '<title>PTSD reactions and functioning of American Airlines flight attendants in the wake of September 11</title> <excerpt>The authors explore the psychological reactions and functional coping responses of American Airlines (AA) flight attendants, a unique at-risk group of people in the war on terrorism, in the aftermath of the September 11 attacks. Demographic characteristics and standardized questionnaires, including the Posttraumatic Stress Disorder Checklist and the Psychotherapy Outcome Assessment and Monitoring System-Trauma Version, were sent in June 2002 to approximately 26,000 AA flight attendants.</excerpt>', '<title>Stress, Cognition, Drones, and Adaptive Tasks</title> <excerpt>To determine the impact of fatigue, drugs, hypoxia, acceleration, thermal loading, and other stresses on human performance, a wide range of cognitive tasks have been used in controlled laboratory settings, including target tracking and reaction times;1 suites of cognitive tasks testing memory, multitasking, mathematical performance, and situational awareness;3,4,10 and sophisticated simulators of real-world systems.13,14 Performance degradation in operational settings with actual vehicles and other systems can be monitored, but the level of stress cannot be manipulated for obvious safety and ethical considerations. © by the Aerospace Medical Association, Alexandria, VA..</excerpt>', '<title>Effects of sex and gender on adaptation to space: Behavioral health</title> <excerpt>This article is part of a larger body of work entitled, ""The Impact of Sex and Gender on Adaptation to Space."" It was developed in response to a recommendation from the 2011 National Academy of Sciences Decadal Survey, ""Recapturing a Future for Space Exploration: Life and Physical Sciences for a New Era,"" which emphasized the need to fully understand sex and gender differences. In this article, our workgroup - consisting of expert scientists and clinicians from academia and the private sector - investigated and summarized the current body of published and unpublished human research performed to date related to sex- and gender-based differences in behavioral adaptations to human spaceflight.</excerpt>', '<title>PTSD reactions and coping responses of American Airlines flight attendants who were former employees of Trans World Airlines: Further support of a psychological contagion effect</title> <excerpt>Previous findings comparing the psychological reactions and functional coping of East Coast- and West Coast-based American Airlines (AA) flight attendants after the attacks on September 11 provide support for a psychological contagion phenomenon (Lating, Sherman, Lowry, Everly, & Peragine, 2004). The purpose of this investigation was to expand these results by creating an additional comparison group consisting of current AA flight attendants not working on either the East Coast or the West Coast and who were also previously working for Trans World Airlines (TWA) before AA took over operating authority in April 2001.</excerpt>']"
0,44,0_aviation safety reporting_nasa aviation safety_aviation safety_aviation accidents,"['aviation safety reporting', 'nasa aviation safety', 'aviation safety', 'aviation accidents', 'safety reporting', 'majority aviation accidents', 'aviation maintenance', 'aviation mishaps', 'accidents using', 'analysis aviation']","['<title>A Survey Methodology for Measuring Safety-Related Trends in the National Airspace System</title> <excerpt>Making informed judgments about the effects of technological, human, or environmental changes on civil aviation requires reliable information. The National Aviation Operational Monitoring Service (NAOMS), a research project under NASA’s Aviation Safety Program, developed and tested a survey methodology designed to provide statistically reliable information on changes over time in safety-related events in the national airspace.</excerpt>', '<title>Effect of HFACS and Non-HFACS-Related Factors on Fatalities in General Aviation Accidents Using Neural Networks</title> <excerpt>This study applied a backpropagation artificial neural network approach to investigate both the Human Factors Analysis and Classification System (HFACS)-related unsafe act tiers of factors and other non-HFACS factors in an attempt to recognize patterns for general aviation accident fatalities. Data were obtained from the HFACS database and extracted from the National Transportation Safety Board database from 1990 to 2002.</excerpt>', '<title>Best practices in shift turnovers: Implications for reducing aviation maintenance turnover errors as revealed in ASRS reports</title> <excerpt>Effective shift turnover is critical to safety in many work environments, including medicine, the oil industry, and aviation maintenance. To gain insight into aviation maintenance turnover procedures and possible improvements to them, we examined NASA Aviation Safety Reporting System (ASRS) maintenance incident reports involving shift turnover communication problems.</excerpt>', '<title>MRM training, evaluation, and safety management</title> <excerpt>Maintenance resource management (MRM) programs started as training programs aimed at increasing the awareness regarding human performance limitations in the aviation maintenance environment. Since their inception in 1989, MRM programs in the United States have undergone 4 generations of development (Taylor & Patankar, 2001) and are currently morphing themselves yet again toward the 5th generation, one that incorporates a Federal Aviation Administration-approved voluntary error-reporting program such as the Aviation Safety Action Program (ASAP) or a generic or internal error-reporting program.</excerpt>', '<title>Structured methods for identifying and correcting potential human errors in space operations</title> <excerpt>Human performance plays a significant role in the development and operation of any complex system, and human errors are significant contributors to degraded performance, incidents, and accidents for technologies as diverse as medical systems, commercial aircraft, offshore oil platforms, nuclear power plants, and space systems. To date, serious accidents attributed to human error have fortunately been rare in space operations.</excerpt>']"
1,43,1_psychological capital organizational_psychological contract_psychological contracts_psychological capital,"['psychological capital organizational', 'psychological contract', 'psychological contracts', 'psychological capital', 'flight attendants', 'commitment', 'korean flight attendants', 'airline industry', 'positive psychological capital', 'turnover intention']","['<title>MBTI personality types of korean cabin crew in middle eastern airlines and their associations with cross-cultural adjustment competency, occupational competency, coping competency, mental health and turnover intention</title> <excerpt>The purposes of this study were (1) to identify MBTI (Myers–Briggs Type Indicator) personality profiles of Korean cabin crew in Middle Eastern airlines, (2) to determine whether MBTI personality affects their cross-cultural adjustment competency, occupational competency, and coping competency, and (3) to analyze the impact of these variables on their mental health and turnover intention. Furthermore, we verified (4) the moderating effect of cabin crew’s previous overseas experience on the relationship between cross-cultural adjustment competency and turnover intention.</excerpt>', '<title>From top gun to the daily grind: contextualizing psychological contract breach for military pilots</title> <excerpt>This study expands our understanding of employee reactions to psychological contract (PC) breach by contextualizing the relationship between PC breach and feelings of violation in a European military setting through the study of strong commitment to specific career goals, high managerial turnover, lack of clarity about the perceived responsibility and controllability of PC breach, as well as aviation restrictions. Based on interviews with 41 pilots, we found that two factors–passion for job and professional commitment–which have not been a strong focus in extant research, play critical roles in the processes involved in employee PC breach reactions.</excerpt>', '<title>Relationships among service climate, psychological contract, work engagement and service performance</title> <excerpt>The paper identifies relationships between cabin service directors and flight attendants and service climate, psychological contracts, work engagement, service performance and cue perception ability. We find that relational psychological contracts have a positive influence on work engagement; transactional psychological contracts have a negative influence on work engagement; work engagement has a positive influence on service performance; work engagement mediates the relationship between relational psychological contracts and service performance; service climate has a positive influence on service performance; and cue perception ability moderates the relationship between work engagement and service performance.</excerpt>', '<title>Effects of Psychological Capital and Person-Job Fit on Hospitality Employees’ Work-Family Conflict, Family-Work Conflict and Job Performance: The Moderating Role of Marital Status</title> <excerpt>Drawing on the conservation of resources (COR) theory and congruence theory, this study aims to investigate the influence of psychological capital (PsyCap) and person-job fit (PJ fit) on work–family conflict (WFC), family–work conflict (FWC) and job performance (JP), especially the moderating effect of marital status on hypothesized relationships between two directions of conflicts in the work-family interface and JP. Utilizing a two-stage design, this study surveyed 312 flight attendants employed by two international airline companies in Malaysia and used the structural equation modeling technique to test the hypothesized relationships.</excerpt>', '<title>Building Sustainable Organizational Citizenship Behavior in Hospitality: Structural Relationships of Rapport, Trust, and Psychological Capital Among Airline Cabin Crew</title> <excerpt>This study examines the structural relationships among rapport, trust, psychological capital (PsyCap), and organizational citizenship behavior (OCB) in the emotionally demanding work context of airline cabin crews. Grounded in the job demands–resources (JD-R) model and social exchange theory (SET), we propose and test a sequential mediation model in which rapport is positively associated with trust, trust is positively associated with PsyCap, and PsyCap is positively associated with OCB.</excerpt>']"
2,42,2_personnel personality_competence pilot_trait personality inventory_pilot applicants,"['personnel personality', 'competence pilot', 'trait personality inventory', 'pilot applicants', 'air force pilot', 'personality inventory', 'assess personality', 'personality questionnaire', 'trait personality', 'multiphasic personality inventory']","[""<title>Cross validation study of the personality aspects of involvement in pilot error accidents</title> <excerpt>Pilot error accidents have dominated accident statistics consistently from the 1940s to the present. In an earlier study the authors found that three factors from Cattell's Sixteen Personality Factor Questionnaire (16 PF) exhibited significant differences (p<0.05) between pilot error accident groups; these were used to correctly classify 86% of the aviators tested as to their previous pilot error accident involvement.</excerpt>"", ""<title>The predictive validity of the EPI and 16PF for military flying training</title> <excerpt>The study was carried out to assess the validity of the Eysenck Personality Inventory (EPI) and Cattell's 16 Personality Factor Questionnaire (16PF) as predictors of flying training outcome. In addition, it examines differences in profile between self‐selected applicants for flying training and the general population; the effects of test‐taking conditions on scale scores; incidental selection effects related to personality differences and the reliability of the personality data.</excerpt>"", '<title>Toward the development of a new aptitude selection test battery for air traffic control specialists</title> <excerpt>In an effort to update and refine the selection battery for air traffic controllers, five experimental tests measuring aptitudes and skills considered important in air traffic work were administered to 1,828 newly selected air traffic control specialist (ATCS) trainees on their first day of training at the FAA Academy in Oklahoma City. The five experimental tests and the five tests presently used by the Office of Personnel Management (OPM) for selecting ATCS trainees were employed in an iterative stepwise regression (stepdown procedure).</excerpt>', '<title>Some personality and aptitude characteristics of Air Traffic Control Specialist trainees</title> <excerpt>This study examined the interrelations of personality traits, aptitude test scores, and job performance self-expectations as predictors of success in the FAA Academy screening program of prospective air traffic controllers. Based on the State-Trait Personality Inventory (STPI), men and women Air Traffic Control Specialist (ATCS) trainees exhibited less anxiety and anger than normative groups of college students and Navy recruits.</excerpt>', '<title>Mood as a predictor of discharge from air force basic training</title> <excerpt>In order to determine the predictive validity of the Total Mood score, the Negative Mood Scale, and the Positive Mood Scale of the ST-Depression Adjective Check Lists (ST-DACL), the state version of lists C and D of the ST-DACL was administered on the second day of the Air Force basic training program to 229 newly enlisted Air Force recruits (men = 113; women = 116). Findings were that DACL total score yielded the best overall classification rate, the Positive Mood Scale was most related to predicting eventual discharge, and the Negative Mood Scale was best at predicting graduation..</excerpt>']"
3,37,3_prolonged spaceflight_work astronauts_astronauts cosmonauts_astronauts,"['prolonged spaceflight', 'work astronauts', 'astronauts cosmonauts', 'astronauts', 'spaceflight', 'performance spaceflight', 'space flight', 'effects weightlessness', 'environmental psychological', 'cosmonauts']","[""<title>Some psychological and engineering aspects of the extravehicular activity of astronauts.</title> <excerpt>One of the main in-flight problems being fulfilled by astronauts is the preparation for and realization of egress into open space for the purpose of different kinds of extravehicular activity, such as, the performance of scientific experiments, repairing and dismantling operations etc. The astronaut's activity outside the space vehicle is the most difficult item of the space flight programme, which is complicated by a number of space factors affecting a man, viz dynamic weightlessness, work in a space suit under conditions of excessive pressure, difficulties of space orientation etc.</excerpt>"", '<title>Acute exposure to low-to-moderate carbon dioxide levels and submariner decision making</title> <excerpt>BACKGROUND: Submarines routinely operate with higher levels of ambient carbon dioxide (CO<inf>2</inf>) (ie, 2000 - 5000 ppm) than what is typically considered normal (ie, 400 - 600 ppm). Although significant cognitive impairments are rarely reported at these elevated CO<inf>2</inf> levels, recent studies using the Strategic Management Simulation (SMS) test have found impairments in decision-making performance during acute CO<inf>2</inf> exposure at levels as low as 1000 ppm.</excerpt>', '<title>Monitoring antioxidant defenses and free radical production in space-flight, aviation and railway engine operators, for the prevention and treatment of oxidative stress, immunological impairment, and pre-mature cell aging</title> <excerpt>Degenerative diseases, immune impairment, and premature ageing commonly affect professional categories exposed to severe environmental and psychological stress. Among these, cosmonauts routinely experience extreme conditions due to microgravity, space radiation, altered oxygen supply, physical and mental fatigue during training, spaceflight, and post-flight.</excerpt>', ""<title>The use of medicaments in space--therapeutic measures and potential impact of pharmacokinetics due to weightlessness.</title> <excerpt>In support of the preparatory programme for the European manned space infrastructure, the Long-Term Programme Office (LTPO) within ESA's Space Station and Microgravity Directorate initiated a series of studies aimed at a better understanding of the physiological and psychological aspects of living in space. In this context, in 1991 MEDES (Institut de medecine et physiologie spatiale) was contracted by the Agency to investigate the type and efficacy of drugs available for use by astronauts during space missions to counteract the effects of weightlessness or for medical treatments.</excerpt>"", '<title>Human performance during spaceflight.</title> <excerpt>The paper focuses on three different questions: (1) What attributes cause space to be an extreme environment for humans? (2) What do we know about mental performance during spaceflight? (3) What kinds of psychological countermeasures are currently applied and/or conceivable for prolonged spaceflight which might help maintain mental efficiency and stabilize the emotional state of astronauts? Topics discussed include stressors that originate in the space environment, stressors related to the space habitat and its life-support system, stressors related to the mission specific workload of astronauts, stressors that arise from the psychosocial situation in a space habitat, manual performance during spaceflight, and psychological countermeasures for prolonged spaceflight..</excerpt>']"
4,32,4_pilots mental health_pilots qualitative study_pilots physical mental_pilots qualitative,"['pilots mental health', 'pilots qualitative study', 'pilots physical mental', 'pilots qualitative', 'psychosocial risk factors', 'psychological resilience', 'quality life firefighters', 'flight safety', 'health pilots', 'female flight attendants']","['<title>The Role of Peer Support and Its Contribution as an Effective Response to Addressing the Emotional Well-Being of Pilots: A Qualitative Study of South African Stakeholders</title> <excerpt>The provision of pilot peer support in commercial aviation is a recent recommendation following the Germanwings pilot suicide?murder crash in 2015. Conducted in a South African aviation context, this study explored the phenomenon of peer support and its role and contribution as an effective response to addressing the emotional well-being of pilots.</excerpt>', '<title>Rumination and psychological resilience in Chinese civil aviation flight students: the chain mediating role of proactive coping and generalized anxiety disorder</title> <excerpt>Background: As the focus of aviation safety shifts from technology to human factors, the central role of psychological resilience in flight safety has become increasingly prominent. However, the internal mechanism of how rumination affects psychological resilience, particularly the chain mediating effect of proactive coping and generalized anxiety, has not been thoroughly explored in high-stress populations.</excerpt>', '<title>Pain, health perception and sleep: Impact on the quality of life of firefighters/rescue professionals</title> <excerpt>Objective: to evaluate the quality of life of firefighters and rescue professionals, and characterize their socio-demographic, health, work and lifestyle profile. Methods: cross-sectional study that used a socio-demographic, lifestyle, health, work data questionnaire and the WHOQOL-BREF quality of life aspects, in Fire Department bases, Civil Air Patrol Group of the Military Police and Rescue Group of Emergency Services.</excerpt>', '<title>Risk factors associated with work-related musculoskeletal disorders among female flight attendants: using a focus group to prepare a survey.</title> <excerpt>In preparation for surveying female flight attendants about work-related musculoskeletal disorder risk factors and symptoms, a focus group study was completed with members of the target population. The aims of this study were to ensure completeness of a previously developed list of physically strenuous job tasks performed by female flight attendants and assess the clarity, appropriateness, and applicability of existing self-reported measures to be used in the survey.</excerpt>', '<title>Associations of suffering with facets of health and well-being among working adults: longitudinal evidence from two samples</title> <excerpt>Suffering is an experiential state that every person encounters at one time or another, yet little is known about suffering and its consequences for the health and well-being of nonclinical adult populations. In a pair of longitudinal studies, we used two waves of data from garment factory workers (Study 1 [T1: 2017, T2: 2019]: n = 344) and flight attendants (Study 2 [T1: 2017/2018, T2: 2020]: n = 1402) to examine the prospective associations of suffering with 16 outcomes across different domains of health and well-being: physical health, health behavior, mental health, psychological well-being, character strengths, and social well-being.</excerpt>']"
5,32,5_pilot interaction cockpit_pilot responses_cockpit automation_aircraft automation,"['pilot interaction cockpit', 'pilot responses', 'cockpit automation', 'aircraft automation', 'automated aircraft', 'interaction cockpit automation', 'level cockpit automation', 'flight deck automation', 'automation related', 'automation surprises']","['<title>National culture and flight Deck automation: Results of a multination survey</title> <excerpt>Attitudes regarding flight deck automation were surveyed in a sample of 5,879 airline pilots from 12 nations. The average difference in endorsement levels across 11 items for pilots flying automated aircraft in 12 nations was 53%, reflecting significant national differences in attitudes on all items, with the largest differences observed for preference and enthusiasm for automation.</excerpt>', '<title>Design of a Primary Flight Display to Avoid Decelerating below the Minimum Safe Operating Speed</title> <excerpt>Analysis of recent airliner accidents and incidents identified a class of events in which structurally, mechanically, and electronically sound aircraft decelerated through the minimum safe operating speed for the phase of flight to the stick-shaker activation speed. Despite the differences in the sequences of events, a subset of the incidents and accidents had one thing in common - the automation was no longer actively controlling to the airspeed target.</excerpt>', '<title>Automation in general aviation: Two studies of pilot responses to autopilot malfunctions</title> <excerpt>Study 1 examined 4 automation-related malfunctions (runaway pitch trim up, roll servo failure, roll sensor failure, pitch drift up) and subsequent pilot responses. Study 2 examined 4 additional malfunctions, 2 more immediately obvious (runaway pitch trim down, runaway roll servo) and 2 more subtle (failed attitude indicator, pitch sensor drift down) than those in Study 1, and the effect of an auditory warning.</excerpt>', ""<title>Applying adaptive control and display characteristics to future air force crew stations</title> <excerpt>The Human Effectiveness Directorate of the Air Force Research Laboratory is developing and evaluating human-machine interface concepts to enhance overall weapon system performance by embedding knowledge of the operator's state inside the interface, enabling the interface to make informed, automated decisions regarding many of the interface's information management display characteristics. Some of these characteristics include information modality, spatial arrangement, and temporal organization.</excerpt>"", '<title>Anthropomorphic AI: Sociopathic AI Features as Predictors of Career Opportunities and Threats Perceived by Pilots in Commercial Aviation</title> <excerpt>Objective: The study aims to investigate how anthropomorphic, particularly sociopathic, features ascribed to AI affect commercial pilots’ perceptions of career threats, opportunities, and performance benefits of AI integration in the cockpit. Background: Although technology has long been an irreplaceable, valuable ally for airline pilots, artificial intelligence (AI) differs significantly from previously used technologies and pilots perceive AI not only as a tool but as an agent with human-like attributes.</excerpt>']"
6,30,6_pilot selection classification_pilot selection test_pilot selection_pilots predictive validity,"['pilot selection classification', 'pilot selection test', 'pilot selection', 'pilots predictive validity', 'automated pilot selection', 'pilot training', 'military pilot training', 'pilot candidates', 'airline pilot candidates', 'automated pilot']","['<title>Investigating the Predictive Validity of the COMPASS Pilot Selection Test</title> <excerpt>Objective: The present study examined the predictive validity of a widely used pilot selection test known as COMPASS, in terms of its ability to distinguish between candidates and predict individuals’ aptitude for flying. Background: The Computerized Pilot Aptitude Screening System, more commonly known as COMPASS is a widely used selection test for ab-initio pilots.</excerpt>', '<title>Improving the Pilot Selection System: Statistical Approaches and Selection Processes</title> <excerpt>Pilot selection systems traditionally use one of three statistical approaches to model candidate performance: multiple linear regression, linear discriminant analysis, and logistic regression. This article reviews the literature comparing selection decisions using these three approaches and compares the classification accuracy of linear discriminant analysis and logistic regression to the results from two Monte Carlo simulations.</excerpt>', '<title>Predicting Success in Primary Flying School From the Canadian Automated Pilot Selection System: Derivation and Cross-Validation</title> <excerpt>This research derived and cross-validated an equation predicting outcome in Primary Flying School (PFS)öthe initial stage of Canadian Forces (CF) pilot trainingöfrom the Canadian Automated Pilot Selection System (CAPSS), a computer-driven, moving-base flight simulator recording up to 250,000 instrument readings per candidate. For the derivation study, 225 pilot candidates operated CAPSS before entering PFS.</excerpt>', '<title>Selection of Air Force Pilot Candidates: A Case Study on the Predictive Accuracy of Discriminant Analysis, Logistic Regression, and Four Neural Network Types</title> <excerpt>We evaluated the predictive classification accuracy of discriminant analysis, logistic regression and four neural network typologies (multiple layer perceptrons, radial basis networks, probabilistic neural networks, and linear neural networks) on a flight screening program with a pass-fail criterion using several psychometric tests as predictors. A stepwise (for logistic regression and discriminant analysis) and sensitivity (for neural networks) selection procedure identified spatial visualization, eye-hand-foot coordination, and concentration capacity as significant predictors.</excerpt>', '<title>Investigating the Validity of Previous Flying Experience, Both Actual and Simulated, in Predicting Initial and Advanced Military Pilot Training Performance</title> <excerpt>This study examined the validity of cognitive ability, previous flying experience, and a simulation in predicting the job knowledge and flying performance of military pilots undergoing training. Archival data were analyzed for 300 Canadian pilot candidates who attempted entry-level military pilot training and 150 candidates who completed intermediate-level training on fixed-wing aircraft.</excerpt>']"
7,28,7_space crew_mission control personnel_space station missions_crewmembers,"['space crew', 'mission control personnel', 'space station missions', 'crewmembers', 'international space missions', 'space missions', 'station missions', 'crewmember', 'personnel interactions', 'crew tension']","['<title>Content analysis of the crew communication with external communicants under prolonged isolation</title> <excerpt>Background: The communication between space crews and outside monitoring personnel in Mission Control gives us valuable information about crewmember psychological health. Studying the formal parameters of similar communication during ground-based space simulation missions helps us understand the psychological climate of confined groups over time, and this information can be applied to long-term space missions.</excerpt>', '<title>The activities of the 42nd Japanese Antarctic Research Expedition (JARE-42) wintering team 2001-2002</title> <excerpt>The 42nd Japanese Antarctic Research Expedition (JARE-42) wintering team has conducted the Vth five-year JARE program during the period of February 1st 2001 to January 31st 2002, in which 40 members were engaged in the various scientific activities and maintenance of Syowa Station. The major observation programs of JARE-42 were as follows : Upper Atmospheric Physics-observations using Fabry-Perot imager, sodium Lidar and HF/MF radar; Atmospheric Sciences and Glaciology-aerosols and air sampling, and shallow ice core drilling; Geophysics-superconducting gravity measurement, geodetic VLBI observations, and natural earthquake monitoring; Biology and Medicine-photosynthesis under sea water, populations census of penguins, and physiological and psychological adaptation to Antarctic environment, etc.</excerpt>', '<title>Crewmember and ground personnel interactions over time during Shuttle/Mir space missions</title> <excerpt>Background: Anecdotal reports from space and results from simulation studies on Earth have suggested that space crewmembers may experience decrements in their mood and interpersonal environment during the 2nd hall of the mission and that negative emotions may be displaced to outside monitoring personnel. Methods: To evaluate these issues, we studied 5 American astronauts, 8 Russian cosmonauts, and 42 American and 16 Russian mission control personnel who participated in the Shuttle/Mir space program.</excerpt>', '<title>Psychosocial issues affecting crews during long-duration international space missions</title> <excerpt>Psychosocial issues can negatively impact on crew performance and morale during long-duration international space missions. Major psychosocial factors that have been described in anecdotal reports from space and in studies from analog situations on Earth include: 1) crew heterogeneity due to gender differences, cultural issues, and work experiences and motivations; 2) language and dialect variations; and 3) task versus supportive leadership roles.</excerpt>', '<title>Crewmember and mission control personnel interactions during international space station missions</title> <excerpt>Introduction: Reports from astronauts and cosmonauts, studies from space analogue environments on Earth, and our previous research on the Mir Space Station have identified a number of psychosocial issues that can lead to problems during long-duration space missions. Three of these issues (time effects, displacement, leader role) were studied during a series of long-duration missions to the International Space Station (ISS).</excerpt>']"
8,28,8_pilot risk perception_pilots risk taking_pilots risk_pilot risk,"['pilot risk perception', 'pilots risk taking', 'pilots risk', 'pilot risk', 'pilots safety behavior', 'risk assessment flight', 'pilots safety', 'risk risky flight', 'risk perception', 'risk attitudes']","['<title>Measuring expertise in weather-related aeronautical risk perception: The validity of the Cochran-Weiss-Shanteau (CWS) index</title> <excerpt>Two studies were conducted to measure expertise in aeronautical weather-related risk perception using the Cochran-Weiss-Shanteau (CWS) index. In the first study, qualified pilots, student pilots, and geography students were presented with weather-related scenarios, and rated the risk involved in each scenario.</excerpt>', '<title>Why Pilots Push On: Motivational Influences on Weather-Related Risk Appraisal in Small Airplane and Helicopter Operations</title> <excerpt>This study explores the multilevel influences associated with commercial pilots’ risk appraisal when deciding whether to continue a flight into deteriorating conditions, focusing on small airplane and helicopter commercial operations in Australia and New Zealand. Deductive content analysis of online survey responses identified congruences with the extant literature.</excerpt>', '<title>Modelling Pilot Decisions During One Engine Inoperative in Maritime SAR Helicopter Hoist Task: RPDM and PCM</title> <excerpt>This paper undertakes a comprehensive examination of pilot decision-making in response to a single-engine failure during maritime search and rescue (SAR) helicopter hoist tasks, employing two distinct decision models–namely, RPDM and PCM. The primary goal of this research is to assess the strengths and weaknesses of each model in accounting for the decision-making processes involved in this critical scenario.</excerpt>', '<title>Risk Perception and Safety Attitudes in Indian Army Aviators</title> <excerpt>Risk perception and safety attitudes with respect to risk taking and hazardous events were studied in 275 army helicopter pilots using a questionnaire-based method. Results indicated that higher risk-taking tendency was associated with low scores on both the delayed risk and immediate high risk components of risk perception, and with lower levels of self-confidence and safety orientation attitudes.</excerpt>', '<title>After the Accident: Is There a Blame Bias Against the Airline?</title> <excerpt>Based on the deontological ethical perspective and concepts from blame psychology such as the defensive attribution hypothesis and culpable control, it is argued that people are predisposed to blame a transportation company when it is involved in an accident. This was tested in a scenario of an airline accident of uncertain cause, finding that respondents blamed the airline the most among a list of five blamable entities (pilots, mechanics-maintenance-inspectors, the weather, ground crew-air traffic control, and airline).</excerpt>']"
9,27,9_aviation psychology_symposium aviation psychology_aaf aviation psychology_problems aviation psychological,"['aviation psychology', 'symposium aviation psychology', 'aaf aviation psychology', 'problems aviation psychological', 'naval aviation psychology', 'aviation psychology program', 'psychology aviation year', 'psychological analysis pilot', 'predisposition cowardice aviation', 'psychological research aaf']","['<title>ARMY Air Forces aviation psychology program research reports; special</title>', '<title>Chapter III: Psychological Research in the AAF Aviation Psychology Program</title>', '<title>Minor studies from the psychological laboratory of Cornell University; Centrifugal swing effects in the human stylus maze</title>', '<title>Selected papers from the First International Symposium on Aviation Psychology: I.</title>', '<title>Selected papers from the First International Symposium on Aviation Psychology: III.</title>']"
